window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.02,0.02531645569620253
2,0,200,0.025,0.06329113924050633
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.01,0.0273972602739726
2,2,10,0.1,0.017543859649122806
2,2,25,0.04,0.017543859649122806
2,2,50,0.04,0.03508771929824561
2,2,100,0.02,0.03508771929824561
2,2,200,0.015,0.05263157894736842
2,3,10,0.0,0.0
2,3,25,0.04,0.013333333333333334
2,3,50,0.02,0.013333333333333334
2,3,100,0.01,0.013333333333333334
2,3,200,0.005,0.013333333333333334
2,4,10,0.0,0.0
2,4,25,0.04,0.012345679012345678
2,4,50,0.04,0.024691358024691357
2,4,100,0.02,0.024691358024691357
2,4,200,0.02,0.04938271604938271
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.01,0.013333333333333334
3,0,200,0.015,0.04
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.02,0.014492753623188406
3,1,100,0.01,0.014492753623188406
3,1,200,0.005,0.014492753623188406
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.02,0.0136986301369863
3,2,100,0.03,0.0410958904109589
3,2,200,0.025,0.0684931506849315
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.02,0.014084507042253521
3,3,100,0.01,0.014084507042253521
3,3,200,0.015,0.04225352112676056
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.02,0.011111111111111112
3,4,100,0.02,0.022222222222222223
3,4,200,0.035,0.07777777777777778
4,0,10,0.0,0.0
4,0,25,0.04,0.01282051282051282
4,0,50,0.02,0.01282051282051282
4,0,100,0.01,0.01282051282051282
4,0,200,0.02,0.05128205128205128
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.02,0.012658227848101266
4,1,100,0.01,0.012658227848101266
4,1,200,0.005,0.012658227848101266
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.0,0.0
4,2,100,0.0,0.0
4,2,200,0.01,0.025
4,3,10,0.0,0.0
4,3,25,0.0,0.0
4,3,50,0.02,0.010638297872340425
4,3,100,0.01,0.010638297872340425
4,3,200,0.005,0.010638297872340425
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.0,0.0
4,4,100,0.0,0.0
4,4,200,0.01,0.017094017094017096
5,0,10,0.0,0.0
5,0,25,0.04,0.008620689655172414
5,0,50,0.02,0.008620689655172414
5,0,100,0.01,0.008620689655172414
5,0,200,0.015,0.02586206896551724
5,1,10,0.0,0.0
5,1,25,0.08,0.019801980198019802
5,1,50,0.04,0.019801980198019802
5,1,100,0.02,0.019801980198019802
5,1,200,0.02,0.039603960396039604
5,2,10,0.0,0.0
5,2,25,0.04,0.012048192771084338
