window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00030172346570379405,0.9003944322529392,0.0,76,226797,0.00033510143432232347
0,1,0.0004196921830285732,1.6582953843494628,0.0,55,217317,0.00025308650496739783
0,2,0.0001603022905255746,0.7390481303154183,0.0,47,216686,0.00021690372243707485
0,3,0.00018150002976282834,0.6562356731849358,0.0,61,220553,0.00027657751198124713
0,4,0.0002971687310761124,1.0058687799673964,0.0,69,233554,0.00029543488871952524
1,0,0.0006121812325882712,1.0399894478661529,0.0,92,156292,0.0005886417730913931
1,1,0.0010706982730958716,1.8325383336276233,0.0,84,143769,0.0005842706007553784
1,2,0.0004294978293918958,1.2752953777933322,0.0,48,142525,0.0003367830205227153
1,3,0.0004289265023044191,0.973115454081935,0.0,65,147467,0.00044077658052310006
1,4,0.0005385769033057907,0.9318627657913623,0.0,95,164372,0.0005779573163312487
2,0,0.00930529126643606,5.0288620927749506,0.0,79,42694,0.0018503771021689231
2,1,0.01684697541625524,9.094366578470826,0.0,73,39407,0.001852462760423275
2,2,0.010077583732219812,6.901200059709967,0.04,57,39034,0.0014602654096428755
2,3,0.00657230734796471,3.5834848584042787,0.02,75,40893,0.0018340547281930893
2,4,0.00950060209891359,5.31658385110562,0.04,81,45328,0.0017869749382280267
3,0,0.01208667072179296,6.875381773384707,0.0,75,42663,0.001757963574994726
3,1,0.012150666614216965,6.942961342010612,0.02,69,39427,0.0017500697491566694
3,2,0.016041137182365647,8.581568909355145,0.02,73,39053,0.0018692546027193814
3,3,0.012458465512782334,7.173444065183868,0.02,71,40881,0.0017367481225997407
3,4,0.01928882475188507,9.725211119625433,0.02,90,45377,0.001983383652511184
4,0,0.006353318583010296,8.130292918996867,0.02,78,99816,0.0007814378456359702
4,1,0.005620653475743832,6.508574429886655,0.02,79,91480,0.0008635767380848273
4,2,0.004932709780369539,5.5946794328951315,0.0,80,90736,0.0008816787162757891
4,3,0.007124707249809129,7.17306430539826,0.02,94,94638,0.0009932585219467867
4,4,0.005935154625341809,5.374967338780701,0.0,117,105957,0.001104221523825703
5,0,0.010168563639563363,8.741633648832222,0.02,116,99722,0.001163233789936022
5,1,0.009972606702353505,9.026196452432137,0.04,101,91415,0.0011048515013947382
5,2,0.01558366317625619,17.020739778076248,0.04,83,90654,0.0009155690868577228
5,3,0.01749882287223097,14.381902109493758,0.04,115,94516,0.0012167252105463626
5,4,0.01028687069326237,9.300649936285241,0.0,117,105783,0.0011060378321658489
6,0,0.00935954745671428,6.932928786103491,0.0,135,99999,0.0013500135001350013
6,1,0.00927719894908008,9.332352406568567,0.0,91,91541,0.0009940900798549284
6,2,0.012313651166676766,13.463123085223895,0.02,83,90748,0.0009146207078943888
6,3,0.016474949841364446,17.51157589879861,0.06,89,94600,0.0009408033826638478
6,4,0.01210085385689436,12.437680536580924,0.04,103,105867,0.0009729188510111744
7,0,0.01813865711032217,14.04944450503233,0.02,129,99918,0.0012910586681078484
7,1,0.017910374962226378,16.560764889315177,0.0,99,91540,0.0010814944286650645
7,2,0.02115480818005797,16.267868212429153,0.06,118,90741,0.0013004044478240266
7,3,0.019930922129788704,17.313388640908656,0.02,109,94685,0.0011511855098484448
7,4,0.01663328487223139,14.682339167425916,0.02,120,105925,0.0011328770356384234
8,0,0.005758248635931023,6.483212139194738,0.04,120,135108,0.0008881783462119194
8,1,0.0033563335748165845,4.860517396218687,0.0,86,124542,0.0006905301022948082
8,2,0.004224905193033225,4.442058159098873,0.02,118,124065,0.0009511143352275018
8,3,0.010820823584462133,15.572259378628202,0.02,89,128080,0.0006948782011242973
8,4,0.005453416534543925,5.680628954829887,0.02,137,142708,0.000960002242341004
9,0,0.023920513200165635,9.870201759218345,0.02,104,42913,0.0024235080278703423
9,1,0.023807585258479206,9.412328831939753,0.0,100,39535,0.0025294043252813963
9,2,0.02202101080425355,9.28813085814677,0.0,93,39226,0.002370876459491154
9,3,0.03293893154842829,13.127283506130414,0.08,103,41049,0.0025091963263416893
9,4,0.014162260168832088,7.9799964983415475,0.0,81,45641,0.0017747200981573586
