window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00030172346570379405,0.9003944322529392,0.0,76,226797,0.00033510143432232347
0,1,0.0004196921830285732,1.6582953843494628,0.0,55,217317,0.00025308650496739783
0,2,0.0001603022905255746,0.7390481303154183,0.0,47,216686,0.00021690372243707485
0,3,0.00018150002976282834,0.6562356731849358,0.0,61,220553,0.00027657751198124713
0,4,0.0002971687310761124,1.0058687799673964,0.0,69,233554,0.00029543488871952524
1,0,0.0006122163704894352,1.0400491410492914,0.0,92,156292,0.0005886417730913931
1,1,0.0010708010295745745,1.8327142050107976,0.0,84,143769,0.0005842706007553784
1,2,0.00042952080351805176,1.2753635941960484,0.0,48,142525,0.0003367830205227153
1,3,0.00042889868731469695,0.973052349572868,0.0,65,147467,0.00044077658052310006
1,4,0.0005382620694068037,0.9313180302372119,0.0,95,164372,0.0005779573163312487
2,0,0.009433614812360132,5.098212035429158,0.0,79,42694,0.0018503771021689231
2,1,0.01687561453064477,9.10982660012491,0.0,73,39407,0.001852462760423275
2,2,0.009900692740959045,6.780063867554304,0.04,57,39034,0.0014602654096428755
2,3,0.006566929404767717,3.58055258865555,0.02,75,40893,0.0018340547281930893
2,4,0.009468008122535966,5.298344100966793,0.04,81,45328,0.0017869749382280267
3,0,0.012196486134042612,6.937849172488799,0.0,75,42663,0.001757963574994726
3,1,0.012258993920170503,7.004860192616847,0.02,69,39427,0.0017500697491566694
3,2,0.016074590326642286,8.599465425018646,0.02,73,39053,0.0018692546027193814
3,3,0.012487663261172765,7.190255799718364,0.02,71,40881,0.0017367481225997407
3,4,0.019245083101087686,9.703157065311734,0.02,90,45377,0.001983383652511184
4,0,0.006406396437241982,8.198216240765971,0.02,78,99816,0.0007814378456359702
4,1,0.005628081256205064,6.517175611615687,0.02,79,91480,0.0008635767380848273
4,2,0.00493581191716524,5.598197876448815,0.0,80,90736,0.0008816787162757891
4,3,0.007087216724773725,7.135319323395062,0.02,94,94638,0.0009932585219467867
4,4,0.0061200210058593605,5.542385177075557,0.0,117,105957,0.001104221523825703
5,0,0.010164956580196316,8.738532759399458,0.02,116,99722,0.001163233789936022
5,1,0.009951846939239147,9.00740681139155,0.04,101,91415,0.0011048515013947382
5,2,0.015701707297401377,17.14966955829668,0.04,83,90654,0.0009155690868577228
5,3,0.0174041910379171,14.304126262084978,0.04,115,94516,0.0012167252105463626
5,4,0.010801943094339713,9.766341421782375,0.0,117,105783,0.0011060378321658489
6,0,0.009152595687305982,6.779632712110452,0.0,135,99999,0.0013500135001350013
6,1,0.009225376553167769,9.280221923665172,0.0,91,91541,0.0009940900798549284
6,2,0.01227994796929832,13.4262737146733,0.02,83,90748,0.0009146207078943888
6,3,0.016367317560950244,17.397171250178573,0.06,89,94600,0.0009408033826638478
6,4,0.012691113354643662,13.044369878796704,0.04,103,105867,0.0009729188510111744
7,0,0.018440399409814658,14.283161459146209,0.02,129,99918,0.0012910586681078484
7,1,0.017948178173370195,16.595719494851593,0.0,99,91540,0.0010814944286650645
7,2,0.021673195709327128,16.666503829322483,0.06,118,90741,0.0013004044478240266
7,3,0.020200475284377732,17.547541305516564,0.02,109,94685,0.0011511855098484448
7,4,0.01868540530150099,16.49376297134577,0.02,120,105925,0.0011328770356384234
8,0,0.0053480700621308065,6.021392082953075,0.04,120,135108,0.0008881783462119194
8,1,0.0033808274981953455,4.895988584654008,0.0,86,124542,0.0006905301022948082
8,2,0.004289808313090875,4.510297189522198,0.02,118,124065,0.0009511143352275018
8,3,0.010311135355678343,14.838766475902046,0.02,89,128080,0.0006948782011242973
8,4,0.005121205997457191,5.334577120329349,0.02,137,142708,0.000960002242341004
9,0,0.021889037324427648,9.03196402599196,0.04,104,42913,0.0024235080278703423
9,1,0.024193586497147777,9.564934421647374,0.0,100,39535,0.0025294043252813963
9,2,0.02211226297286412,9.32661964917815,0.0,93,39226,0.002370876459491154
9,3,0.029145931121461268,11.615643947620034,0.04,103,41049,0.0025091963263416893
9,4,0.015001851892517681,8.453080521313574,0.0,81,45641,0.0017747200981573586
