window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.04,0.012048192771084338
2,0,50,0.04,0.024096385542168676
2,0,100,0.03,0.03614457831325301
2,0,200,0.02,0.04819277108433735
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.0,0.0
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.02,0.015384615384615385
2,2,100,0.01,0.015384615384615385
2,2,200,0.01,0.03076923076923077
2,3,10,0.0,0.0
2,3,25,0.04,0.014925373134328358
2,3,50,0.02,0.014925373134328358
2,3,100,0.02,0.029850746268656716
2,3,200,0.015,0.04477611940298507
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.01,0.013333333333333334
2,4,200,0.01,0.02666666666666667
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.005,0.014492753623188406
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.0,0.0
3,1,200,0.005,0.011494252873563218
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.02,0.012658227848101266
3,2,100,0.01,0.012658227848101266
3,2,200,0.01,0.02531645569620253
3,3,10,0.0,0.0
3,3,25,0.04,0.0136986301369863
3,3,50,0.04,0.0273972602739726
3,3,100,0.02,0.0273972602739726
3,3,200,0.01,0.0273972602739726
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.02,0.0136986301369863
3,4,100,0.01,0.0136986301369863
3,4,200,0.015,0.0410958904109589
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.005,0.012345679012345678
4,1,10,0.1,0.011235955056179775
4,1,25,0.04,0.011235955056179775
4,1,50,0.02,0.011235955056179775
4,1,100,0.01,0.011235955056179775
4,1,200,0.01,0.02247191011235955
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.04,0.020618556701030927
4,2,100,0.02,0.020618556701030927
4,2,200,0.015,0.030927835051546393
4,3,10,0.0,0.0
4,3,25,0.04,0.013513513513513514
4,3,50,0.02,0.013513513513513514
4,3,100,0.01,0.013513513513513514
4,3,200,0.005,0.013513513513513514
4,4,10,0.0,0.0
4,4,25,0.04,0.011627906976744186
4,4,50,0.02,0.011627906976744186
4,4,100,0.01,0.011627906976744186
4,4,200,0.015,0.03488372093023256
5,0,10,0.1,0.0125
5,0,25,0.04,0.0125
5,0,50,0.02,0.0125
5,0,100,0.02,0.025
5,0,200,0.01,0.025
5,1,10,0.1,0.009345794392523364
5,1,25,0.04,0.009345794392523364
5,1,50,0.04,0.018691588785046728
5,1,100,0.02,0.018691588785046728
5,1,200,0.02,0.037383177570093455
5,2,10,0.0,0.0
5,2,25,0.04,0.006535947712418301
