window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.01,0.012658227848101266
2,0,200,0.005,0.012658227848101266
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.02,0.012048192771084338
2,1,100,0.02,0.024096385542168676
2,1,200,0.01,0.024096385542168676
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.04,0.023809523809523808
2,2,100,0.02,0.023809523809523808
2,2,200,0.055,0.13095238095238096
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.04,0.02564102564102564
2,3,100,0.02,0.02564102564102564
2,3,200,0.01,0.02564102564102564
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.0,0.0
2,4,200,0.005,0.024390243902439025
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.005,0.013513513513513514
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.0,0.0
3,1,200,0.0,0.0
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.02,0.014084507042253521
3,2,100,0.01,0.014084507042253521
3,2,200,0.02,0.056338028169014086
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.0,0.0
3,3,100,0.0,0.0
3,3,200,0.01,0.02247191011235955
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.02,0.013513513513513514
3,4,100,0.04,0.05405405405405406
3,4,200,0.02,0.05405405405405406
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.005,0.010752688172043012
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.02,0.012345679012345678
4,1,100,0.01,0.012345679012345678
4,1,200,0.005,0.012345679012345678
4,2,10,0.1,0.010526315789473684
4,2,25,0.04,0.010526315789473684
4,2,50,0.02,0.010526315789473684
4,2,100,0.02,0.021052631578947368
4,2,200,0.015,0.031578947368421054
4,3,10,0.1,0.01098901098901099
4,3,25,0.04,0.01098901098901099
4,3,50,0.02,0.01098901098901099
4,3,100,0.01,0.01098901098901099
4,3,200,0.01,0.02197802197802198
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.0,0.0
4,4,100,0.02,0.030303030303030304
4,4,200,0.015,0.045454545454545456
5,0,10,0.0,0.0
5,0,25,0.04,0.01020408163265306
5,0,50,0.04,0.02040816326530612
5,0,100,0.02,0.02040816326530612
5,0,200,0.015,0.030612244897959183
5,1,10,0.0,0.0
5,1,25,0.04,0.007936507936507936
5,1,50,0.02,0.007936507936507936
5,1,100,0.01,0.007936507936507936
5,1,200,0.01,0.015873015873015872
5,2,10,0.1,0.007936507936507936
5,2,25,0.04,0.007936507936507936
5,2,50,0.04,0.015873015873015872
