window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00015604392331271014,0.8191011951138591,0.0,41,215216,0.00019050628206081333
0,1,0.0003958342575023383,1.0687210084403758,0.0,88,237593,0.00037038128227683475
0,2,0.000862692502516158,2.8484407190275554,0.0,66,217919,0.000302864825921558
0,3,0.00043538849625432977,1.4932480839402726,0.0,68,233219,0.0002915714414348745
0,4,0.0004189410741688528,1.9213093032116382,0.0,46,210961,0.00021804978171320765
1,0,0.0003054681878993422,0.6629505589320678,0.0,65,141068,0.0004607706921484674
1,1,0.00044193969512827127,0.7480610546577784,0.0,99,167575,0.0005907802476503058
1,2,0.003709201439467966,6.98062076618418,0.0,77,144912,0.0005313569614662692
1,3,0.0006050467480614057,0.9847861880797052,0.0,100,162762,0.0006143940231749425
1,4,0.0028367793547596793,6.755594393404675,0.0,58,138123,0.00041991558248807224
2,0,0.0015836798831422934,0.7784087324356361,0.0,79,38830,0.0020345093999484935
2,1,0.005641543227153422,3.1363581822956665,0.02,83,46143,0.0017987560410029691
2,2,0.02294374404464803,10.847474416537523,0.04,84,39714,0.002115123130382233
2,3,0.012409275671964858,7.184652427511961,0.04,78,45160,0.0017271922054915856
2,4,0.011006850746892546,10.069657674760794,0.0,41,37509,0.0010930709962942227
3,0,0.007480455625358661,3.925419633026048,0.0,74,38832,0.0019056448290070045
3,1,0.007806467195692164,4.742736971403872,0.0,76,46173,0.0016459835834795227
3,2,0.013749815057793859,7.671815824147939,0.02,71,39615,0.0017922504101981573
3,3,0.014901750078901625,7.566572896804982,0.0,89,45191,0.0019694186895620807
3,4,0.018635247847152765,9.467713217048045,0.02,74,37596,0.0019682944994148313
4,0,0.0033515387389031663,3.242343444506644,0.0,93,89970,0.001033677892630877
4,1,0.0036745048326102866,4.919980513836403,0.02,81,108455,0.0007468535337236642
4,2,0.00839692820698806,8.140424147444067,0.02,95,92098,0.0010315099133531673
4,3,0.007749612208117187,8.927808745472145,0.02,91,104835,0.00086803071493299
4,4,0.006949716787141876,9.186999098905565,0.0,66,87247,0.0007564730019370293
5,0,0.006044932276447926,5.543943093291701,0.04,98,89878,0.0010903669418545138
5,1,0.01080033709891974,9.28974709340972,0.02,126,108377,0.001162608302499608
5,2,0.019723272285068993,14.392510081354512,0.04,126,91945,0.0013703844689760183
5,3,0.010349577075205178,12.598443898511679,0.02,86,104687,0.0008214964608786191
5,4,0.023934861796799524,20.070992616929647,0.12,104,87211,0.0011925101191363474
6,0,0.011808527360403701,9.942117877047185,0.02,107,90088,0.0011877275552792824
6,1,0.008708617113668262,8.289839578430286,0.0,114,108518,0.0010505169649274774
6,2,0.01838494154380857,17.625605156087726,0.04,96,92035,0.0010430814364100615
6,3,0.010170253298459983,11.711661358815588,0.0,91,104792,0.0008683868997633407
6,4,0.014167386309321774,13.302414057017161,0.02,93,87322,0.0010650237053663452
7,0,0.016547585852695064,12.9574791829147,0.0,115,90050,0.0012770682953914493
7,1,0.015052813257141534,11.92556383433305,0.06,137,108538,0.0012622307394645194
7,2,0.01645542793405728,16.464192238065635,0.04,92,92049,0.0009994676748253648
7,3,0.022061100439927758,15.948197726304187,0.02,145,104822,0.0013832973994008892
7,4,0.018708813936909385,18.784294324172087,0.02,87,87351,0.0009959817288869046
8,0,0.004850861611260709,5.837774161818379,0.04,102,122752,0.0008309436913451512
8,1,0.004658484868097611,5.774809143711737,0.02,117,145037,0.0008066907065093735
8,2,0.005338830378103296,8.188528753947239,0.0,82,125769,0.0006519889638941233
8,3,0.008452892736273298,8.824506946567979,0.02,135,140935,0.0009578883882640933
8,4,0.005724937523625625,6.189482679258923,0.0,111,120007,0.0009249460448140525
9,0,0.01922703717176448,7.8254041289081435,0.02,96,39072,0.002457002457002457
9,1,0.01669105401703693,8.689287705296316,0.0,89,46333,0.0019208771286124361
9,2,0.022548763370611357,9.893703558920553,0.02,91,39928,0.002279102384291725
9,3,0.026372135242709076,11.162560795722376,0.04,107,45290,0.0023625524398321923
9,4,0.023313522122032884,9.56234518777077,0.0,92,37735,0.002438054856234265
