condition,method,n_seeds,auprc_mean,auprc_std,auprc_ci_lo,auprc_ci_hi,ap_lift_mean,ap_lift_std,ap_lift_ci_lo,ap_lift_ci_hi,p_at_budget_mean,p_at_budget_std,p_at_budget_ci_lo,p_at_budget_ci_hi,window_macro_auprc_mean,window_macro_auprc_std,window_macro_auprc_ci_lo,window_macro_auprc_ci_hi,transaction_weighted_window_auprc_mean,transaction_weighted_window_auprc_std,transaction_weighted_window_auprc_ci_lo,transaction_weighted_window_auprc_ci_hi
control,ablate_g1,10,0.0012805868437936322,9.474285166133315e-05,0.0012263286991562581,0.0013380431839694494,1.2106675550223855,0.08613614896796358,1.1608468525156563,1.2625767189780668,0.013066666666666667,0.003488251888061971,0.011111111111111112,0.015155555555555558,0.009047836815566365,0.0018487303348470917,0.007919133033700686,0.0100979935433193,0.007655761712157367,0.0015182352150542367,0.006730196019395929,0.008524177442195784
control,ablate_g3,10,0.001288186386819936,9.054206105504717e-05,0.001234718013568887,0.0013428615849746877,1.2173927503276123,0.08252986169305039,1.1684249434935094,1.266957588944136,0.013244444444444444,0.0032847488123059175,0.011377777777777778,0.015200000000000002,0.009048953706950724,0.0018126934913759638,0.00792438420450518,0.010065685618394122,0.007662007989446419,0.0014892678605271702,0.0067387091947646496,0.008514071092644763
control,ablate_nommd,10,0.0012877387242459458,9.219982888982963e-05,0.0012347200788279647,0.0013442047625665061,1.2171678506406889,0.0837677894020988,1.168819768444028,1.26792456280845,0.012933333333333333,0.0034391436711298,0.010977777777777777,0.014977777777777779,0.009064478494049562,0.0017620093025397033,0.007972028356632853,0.01005249679145147,0.007670813681004795,0.0014597970497415677,0.006770861817908863,0.008496268815342198
control,ablate_random,10,0.001276211284907318,9.740388101035742e-05,0.0012188228838425018,0.0013340872352611305,1.2062817615272994,0.08870084341336767,1.1541806366782628,1.2583613923145307,0.013422222222222224,0.003224052268737291,0.011644444444444443,0.015377777777777778,0.009058283247923826,0.001887598184317617,0.007909255763984813,0.010141979651424729,0.007678733545144323,0.00154444847108439,0.006740832652787156,0.008570619156889125
control,ablate_rho0,10,0.00129560376216702,9.550308155862777e-05,0.0012402177428057141,0.001352912661176166,1.2247424786400103,0.0871715806490394,1.1739755569991954,1.2766465023788316,0.012888888888888889,0.0031980789844330234,0.01111111111111111,0.014800000000000002,0.009103366023347156,0.0017792493612589484,0.008000196799910297,0.010106877872010813,0.007694702593836625,0.0014655571879887918,0.006788544684765676,0.008520873416158347
control,ablate_samplewt,10,0.0012905829090826579,9.043722712015886e-05,0.0012383553069699343,0.0013451986212553245,1.220011588705612,0.08214323351053998,1.1724560411982357,1.2692190966756969,0.01288888888888889,0.0033456562342625827,0.011022222222222221,0.01488888888888889,0.00907142393278075,0.0017846835888399222,0.007973513633869243,0.01008484614333667,0.007655817899508666,0.0014752135157116153,0.00674774267500098,0.008498142764580774
control,cda_fedavg,10,0.0012834108384534141,9.180403954795416e-05,0.0012295167530985435,0.001338415680557673,1.213217700608796,0.08355123302696525,1.164306371695969,1.2630144157233474,0.013066666666666667,0.003386084652364245,0.011155555555555556,0.015111111111111112,0.009045672380141066,0.0018606113975495047,0.007901270243035542,0.01010640335569937,0.007641209708394087,0.0015268500190825267,0.006704774072435548,0.008508767830685852
control,fedavg,10,0.0012834108384534141,9.180403954795416e-05,0.0012295167530985435,0.001338415680557673,1.213217700608796,0.08355123302696525,1.164306371695969,1.2630144157233474,0.013066666666666667,0.003386084652364245,0.011155555555555556,0.015111111111111112,0.009045672380141066,0.0018606113975495047,0.007901270243035542,0.01010640335569937,0.007641209708394087,0.0015268500190825267,0.006704774072435548,0.008508767830685852
control,fedproto,10,0.00124811645171904,9.3336105031414e-05,0.0011933652349552174,0.0013036357592491274,1.1796495513298084,0.08521968065857291,1.1294885457183776,1.2303914646561434,0.01248888888888889,0.003328885921968712,0.01057777777777778,0.01448888888888889,0.00839141040662242,0.0018941200716047675,0.007194857000582789,0.009435414352270383,0.006996634000644648,0.0015616162938661396,0.006020017226329614,0.007867884565748119
control,fedprox,10,0.0012861965810789398,9.56804302574595e-05,0.0012302316985887715,0.0013439571482303878,1.2158328647658798,0.08726438943386851,1.164641103517777,1.2675359197263947,0.013066666666666667,0.003630083116039533,0.011022222222222221,0.015244444444444444,0.009150591585037003,0.0019204736062278889,0.007956607631080768,0.010226773746640955,0.007727599307570438,0.0015903720744646682,0.006750337758414046,0.00862847292638343
