condition,reference,comparison,metric,seed,difference
control,fedtypo,local_only,auprc,42,0.0021237349274553603
control,fedtypo,local_only,auprc,43,0.0021988104438879796
control,fedtypo,local_only,auprc,44,0.0018698656915613998
control,fedtypo,local_only,auprc,45,0.0027533297050137203
control,fedtypo,local_only,auprc,46,0.0018666912334748802
control,fedtypo,local_only,auprc,47,0.00235588897804084
control,fedtypo,local_only,auprc,48,0.00348519057925714
control,fedtypo,local_only,auprc,49,0.0028770112919539203
control,fedtypo,local_only,auprc,50,0.00213041755052338
control,fedtypo,local_only,auprc,51,0.00163772297552178
control,fedtypo,fedavg,auprc,42,0.0021854346810056603
control,fedtypo,fedavg,auprc,43,0.0021954270966118797
control,fedtypo,fedavg,auprc,44,0.0018565545506508798
control,fedtypo,fedavg,auprc,45,0.00272434285872864
control,fedtypo,fedavg,auprc,46,0.00193709439175752
control,fedtypo,fedavg,auprc,47,0.00239192099707588
control,fedtypo,fedavg,auprc,48,0.00348649398523686
control,fedtypo,fedavg,auprc,49,0.0028871555580463203
control,fedtypo,fedavg,auprc,50,0.00209563541091238
control,fedtypo,fedavg,auprc,51,0.0016643948746020202
control,fedtypo,fedprox,auprc,42,0.0021914772544524203
control,fedtypo,fedprox,auprc,43,0.002195984804973139
control,fedtypo,fedprox,auprc,44,0.0018370161667490398
control,fedtypo,fedprox,auprc,45,0.00271965855191826
control,fedtypo,fedprox,auprc,46,0.00193692636285732
control,fedtypo,fedprox,auprc,47,0.0024007865635007203
control,fedtypo,fedprox,auprc,48,0.0034885998646403404
control,fedtypo,fedprox,auprc,49,0.0028885436244239604
control,fedtypo,fedprox,auprc,50,0.0020982183959993997
control,fedtypo,fedprox,auprc,51,0.0016393853888581802
control,fedtypo,fedproto,auprc,42,0.00219130119366866
control,fedtypo,fedproto,auprc,43,0.0022620520082913993
control,fedtypo,fedproto,auprc,44,0.0018638234258363596
control,fedtypo,fedproto,auprc,45,0.0027849607271639002
control,fedtypo,fedproto,auprc,46,0.00192129475932104
control,fedtypo,fedproto,auprc,47,0.00244502478210994
control,fedtypo,fedproto,auprc,48,0.0035399694120783203
control,fedtypo,fedproto,auprc,49,0.0029381157808182406
control,fedtypo,fedproto,auprc,50,0.00216086023604972
control,fedtypo,fedproto,auprc,51,0.0016699959466342004
control,fedtypo,fedtypo_noreg,auprc,42,0.00213801728573072
control,fedtypo,fedtypo_noreg,auprc,43,0.0022083814640999396
control,fedtypo,fedtypo_noreg,auprc,44,0.0018313408936952798
control,fedtypo,fedtypo_noreg,auprc,45,0.00276121581030418
control,fedtypo,fedtypo_noreg,auprc,46,0.00189743381148514
control,fedtypo,fedtypo_noreg,auprc,47,0.00242618039804382
control,fedtypo,fedtypo_noreg,auprc,48,0.0034840005112173602
control,fedtypo,fedtypo_noreg,auprc,49,0.0028884671667681002
control,fedtypo,fedtypo_noreg,auprc,50,0.00209611123181288
control,fedtypo,fedtypo_noreg,auprc,51,0.00164241881801132
control,fedtypo,cda_fedavg,auprc,42,0.0021854346810056603
control,fedtypo,cda_fedavg,auprc,43,0.0021954270966118797
control,fedtypo,cda_fedavg,auprc,44,0.0018565545506508798
control,fedtypo,cda_fedavg,auprc,45,0.00272434285872864
control,fedtypo,cda_fedavg,auprc,46,0.00193709439175752
control,fedtypo,cda_fedavg,auprc,47,0.00239192099707588
