condition,seed,method,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
control,42,local_only,0.00132699296081624,1.2524874791578429,0.012,0.01117580431660059,0.009560557390561384
control,42,fedavg,0.0012652932072659399,1.1948182036779387,0.012,0.009924047465741355,0.008369106002361784
control,42,fedprox,0.0012592506338191798,1.1893096388586013,0.012,0.010067889868971665,0.008490648699038521
control,42,fedproto,0.00125942669460294,1.1893392661077276,0.011555555555555557,0.009645653660556456,0.00787526741196488
control,42,fedtypo_noreg,0.00131271060254088,1.2401204943221675,0.012,0.009964361036055755,0.008345977415895347
control,42,fedtypo,0.0034507278882716,3.2694897958534397,0.011555555555555557,0.010245924315628421,0.008711125851123859
control,42,cda_fedavg,0.0012652932072659399,1.1948182036779387,0.012,0.009924047465741355,0.008369106002361784
control,42,ablate_g1,0.00126904339607696,1.1982979598322714,0.012,0.009825936612516434,0.008265321881478915
control,42,ablate_g3,0.0013096886254608398,1.2372217909192664,0.012,0.01004010876901499,0.008420652519485528
control,42,ablate_random,0.00127053894364602,1.1995872432541927,0.012,0.009974292642505489,0.008402100298028011
control,42,ablate_nommd,0.00131270744135454,1.2401169935360348,0.012,0.0099693708723371,0.008352967900411913
control,42,ablate_samplewt,0.0013144438987911602,1.2417639278828514,0.012444444444444445,0.010054613062144079,0.008427632857447815
control,42,ablate_rho0,0.0013140938134814,1.2414032675409978,0.012,0.0100015374072613,0.00838462029258913
control,43,local_only,0.0012923469427470599,1.222313543891258,0.012444444444444445,0.009739503313276854,0.007996373155953253
control,43,fedavg,0.00129573029002316,1.2237421012191247,0.011555555555555553,0.009387007733552211,0.007685335335445739
control,43,fedprox,0.0012951725816619,1.2230477119836645,0.011111111111111112,0.009519553093256434,0.0078048288829507245
control,43,fedproto,0.0012291053783436401,1.1596705472257394,0.013333333333333336,0.008425219796899856,0.006900476880645061
control,43,fedtypo_noreg,0.0012827759225351,1.2117176648223011,0.012,0.009379184543695811,0.007688552371637317
control,43,fedtypo,0.0034911573866350395,3.312342855093031,0.01688888888888889,0.010529053914106365,0.008852508481628843
control,43,cda_fedavg,0.00129573029002316,1.2237421012191247,0.011555555555555553,0.009387007733552211,0.007685335335445739
control,43,ablate_g1,0.0012860395617381002,1.2148516629947275,0.011111111111111112,0.009348339619294323,0.007685128330453477
control,43,ablate_g3,0.00128655682923198,1.2153760811417027,0.012444444444444445,0.0094425653295407,0.007737164102348717
control,43,ablate_random,0.00126472971207244,1.1945738220242528,0.011999999999999999,0.0092969552558096,0.007644344248984777
control,43,ablate_nommd,0.00128158199194082,1.2105983358862633,0.012,0.009375961084261234,0.007681609372346529
control,43,ablate_samplewt,0.0012810329466670799,1.210082504380392,0.011555555555555557,0.009410181706178355,0.007716303239781744
control,43,ablate_rho0,0.0012831656570422398,1.21192561232565,0.012444444444444445,0.009407067185845344,0.00770705115296732
