condition,reference,comparison,metric,seed,difference
control,fedtypo_noreg,ablate_g1,auprc,42,-2.068055630002029e-05
control,fedtypo_noreg,ablate_g1,auprc,43,4.17038236573998e-05
control,fedtypo_noreg,ablate_g1,auprc,44,-1.095611337183981e-05
control,fedtypo_noreg,ablate_g1,auprc,45,0.00014775614058892004
control,fedtypo_noreg,ablate_g1,auprc,46,-1.2397634562859652e-05
control,fedtypo_noreg,ablate_g1,auprc,47,1.1231578405040011e-05
control,fedtypo_noreg,ablate_g1,auprc,48,-3.920866236020119e-06
control,fedtypo_noreg,ablate_g1,auprc,49,2.1792128809640116e-05
control,fedtypo_noreg,ablate_g1,auprc,50,-3.3033618506604027e-06
control,fedtypo_noreg,ablate_g1,auprc,51,-6.102322915816022e-05
control,fedtypo_noreg,ablate_g3,auprc,42,-2.8542225296000496e-06
control,fedtypo_noreg,ablate_g3,auprc,43,-3.396098649451995e-05
control,fedtypo_noreg,ablate_g3,auprc,44,-3.68251234844001e-06
control,fedtypo_noreg,ablate_g3,auprc,45,0.00012516501833187985
control,fedtypo_noreg,ablate_g3,auprc,46,-6.771893915397034e-07
control,fedtypo_noreg,ablate_g3,auprc,47,7.0545095451600166e-06
control,fedtypo_noreg,ablate_g3,auprc,48,3.7721509465998143e-06
control,fedtypo_noreg,ablate_g3,auprc,49,5.942678973641993e-05
control,fedtypo_noreg,ablate_g3,auprc,50,-7.996427002120209e-06
control,fedtypo_noreg,ablate_g3,auprc,51,1.8225943261239918e-05
control,fedtypo_noreg,ablate_random,auprc,42,2.2946228492599875e-05
control,fedtypo_noreg,ablate_random,auprc,43,2.6497188978959977e-05
control,fedtypo_noreg,ablate_random,auprc,44,-1.0396556982220084e-05
control,fedtypo_noreg,ablate_random,auprc,45,0.0001454837018002198
control,fedtypo_noreg,ablate_random,auprc,46,-3.627130326251974e-05
control,fedtypo_noreg,ablate_random,auprc,47,-4.999666633114007e-05
control,fedtypo_noreg,ablate_random,auprc,48,-2.0114234924601803e-06
control,fedtypo_noreg,ablate_random,auprc,49,3.480805484890048e-05
control,fedtypo_noreg,ablate_random,auprc,50,-5.658170366620082e-06
control,fedtypo_noreg,ablate_random,auprc,51,-2.4754708087840194e-05
control,fedtypo_noreg,ablate_nommd,auprc,42,1.4378180419197598e-06
control,fedtypo_noreg,ablate_nommd,auprc,43,-0.0011273910830123203
control,fedtypo_noreg,ablate_nommd,auprc,44,2.037064508839982e-06
control,fedtypo_noreg,ablate_nommd,auprc,45,7.359986294399636e-07
control,fedtypo_noreg,ablate_nommd,auprc,46,1.212980807880227e-06
control,fedtypo_noreg,ablate_nommd,auprc,47,-3.7889707217202487e-06
control,fedtypo_noreg,ablate_nommd,auprc,48,0.0
control,fedtypo_noreg,ablate_nommd,auprc,49,3.32420234971805e-05
control,fedtypo_noreg,ablate_nommd,auprc,50,-9.222229180186683e-09
control,fedtypo_noreg,ablate_nommd,auprc,51,1.8730949667797748e-06
control,fedtypo_noreg,ablate_samplewt,auprc,42,5.861012487139812e-06
control,fedtypo_noreg,ablate_samplewt,auprc,43,8.597196609139938e-06
control,fedtypo_noreg,ablate_samplewt,auprc,44,4.982249026139933e-06
control,fedtypo_noreg,ablate_samplewt,auprc,45,8.294324130089987e-05
control,fedtypo_noreg,ablate_samplewt,auprc,46,3.927513539520077e-06
control,fedtypo_noreg,ablate_samplewt,auprc,47,-3.923229962396035e-05
control,fedtypo_noreg,ablate_samplewt,auprc,48,9.934445844399231e-07
control,fedtypo_noreg,ablate_samplewt,auprc,49,-3.762041188459797e-06
control,fedtypo_noreg,ablate_samplewt,auprc,50,-5.234954299801302e-07
control,fedtypo_noreg,ablate_samplewt,auprc,51,3.836380278419982e-06
control,fedtypo_noreg,ablate_rho0,auprc,42,1.6332369122119784e-05
control,fedtypo_noreg,ablate_rho0,auprc,43,-1.2985921692960098e-05
