typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.36115378
1,1334,9,0.006746626686656672,0.35703796
2,345,10,0.028985507246376812,0.37033865
3,1870,2,0.0010695187165775401,0.35991544
4,394,13,0.03299492385786802,0.3772041
5,656,0,0.0,0.34867164
6,529,0,0.0,0.36303204
7,338,1,0.0029585798816568047,0.3399922
8,382,0,0.0,0.33927333
9,364,1,0.0027472527472527475,0.36250523
10,506,0,0.0,0.3602229
11,54,0,0.0,0.30758384
12,945,1,0.0010582010582010583,0.36885044
13,250,1,0.004,0.34080955
14,383,0,0.0,0.3458317
15,354,0,0.0,0.36630386
16,237,0,0.0,0.37123933
