window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0015220623772347975,2.058501477202138,0.004,5,5,354,500430,0.0007073916431868593
2,0.0010839595216259512,1.0185907689699207,0.008,5,5,527,507591,0.0010382374785998963
3,0.0009163438738411858,0.8737086209903826,0.0,5,5,505,491282,0.001027922863039965
4,0.0008991295666276412,0.9777678636809302,0.0,5,5,459,499675,0.0009185970881072697
5,0.0010793434830577808,0.992639177742225,0.0,5,5,545,497384,0.0010957328743988548
6,0.000883899487549708,0.9959795005364673,0.0,5,5,447,505985,0.0008834253979861063
7,0.00142508706071901,1.1591603960174708,0.0,5,5,663,547205,0.0012116117360038742
8,0.0012989442357307817,1.3246643533860785,0.0,5,5,515,526706,0.0009777750775574988
9,0.0017156257734826901,1.531420934468593,0.004,5,5,549,495320,0.0011083743842364533
10,0.0016774369444200296,1.9764301436320655,0.0,5,5,433,505142,0.0008571847124174985
11,0.0021440103070576827,1.8642975784687927,0.0,5,5,596,515249,0.001156722283789003
12,0.0020597717539182123,1.9042774629210968,0.0,5,5,541,498124,0.0010860749532244983
13,0.0015935889843397121,2.13675068081296,0.0,5,5,384,505970,0.0007589382769729431
14,0.006230158101114404,4.539420119864458,0.02,5,5,639,500366,0.0012770651882821774
15,0.008344361592074,6.996291403544509,0.024,5,5,496,514226,0.0009645564401644413
16,0.009221152568461625,7.104645101127785,0.05600000000000001,5,5,620,500613,0.0012384816215320017
17,0.0037966909640766407,4.100813654994299,0.008,5,5,450,491817,0.0009149744722122253
18,0.0090805814542,6.209524289486043,0.024,5,5,604,413396,0.0014610688056972008
