window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.001449563842186305,2.1133033311059024,0.004,5,5,354,500430,0.0007073916431868593
2,0.0035846665388265656,3.43359087687692,0.008,5,5,527,507591,0.0010382374785998963
3,0.0009356695189169852,0.9278593108109607,0.0,5,5,505,491282,0.001027922863039965
4,0.0010193798077735242,1.1229568503722818,0.004,5,5,459,499675,0.0009185970881072697
5,0.001181354695942875,1.0795513142987823,0.004,5,5,545,497384,0.0010957328743988548
6,0.0008774582147325833,0.9875941145639973,0.0,5,5,447,505985,0.0008834253979861063
7,0.0017835547318577351,1.4509523401176907,0.004,5,5,663,547205,0.0012116117360038742
8,0.001296651579044963,1.3377109768729007,0.0,5,5,515,526706,0.0009777750775574988
9,0.0026571310983578315,2.4189646245744076,0.008,5,5,549,495320,0.0011083743842364533
10,0.0013795562827543105,1.593196917216262,0.0,5,5,433,505142,0.0008571847124174985
11,0.01691765491968292,15.498393216964285,0.044,5,5,596,515249,0.001156722283789003
12,0.002090149101127787,1.98892453661709,0.0,5,5,541,498124,0.0010860749532244983
13,0.0074996431922944055,9.321463306213877,0.04,5,5,384,505970,0.0007589382769729431
14,0.0024157255060764738,1.8636987457492347,0.0,5,5,639,500366,0.0012770651882821774
15,0.009512467153466406,8.66916668284645,0.052000000000000005,5,5,496,514226,0.0009645564401644413
16,0.003172275250079177,2.457796588368126,0.0,5,5,620,500613,0.0012384816215320017
17,0.004909856795972338,4.997869933269575,0.012,5,5,450,491817,0.0009149744722122253
18,0.0028331218365885797,1.928429624020221,0.0,5,5,604,413396,0.0014610688056972008
