window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0026238882650254022,2.6180949275689605,0.0,101,100777,0.001002212806493545
0,2,0.0008185025811904205,0.8148861361123036,0.0,98,97567,0.0010044379759549847
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015626975989317686,1.0913475303503777,0.0,139,97074,0.001431897315450069
1,0,0.0006676300876534913,1.2287731763262508,0.0,54,99387,0.0005433306166802499
1,1,0.0004950316662328732,0.8467394921815041,0.0,61,104339,0.0005846327835229396
1,2,0.001977142124454487,2.068370040957849,0.02,92,96245,0.000955893812665593
1,3,0.0006633474401071895,1.2100542785184403,0.0,55,100329,0.0005481964337330184
1,4,0.0008953925719160848,0.974518024195191,0.0,92,100130,0.0009188055527813842
2,0,0.0007483172201510988,0.9435718908190243,0.0,80,100874,0.0007930685806055079
2,1,0.0015675358751711442,1.800541374482695,0.0,90,103378,0.0008705914217725241
2,2,0.001510491668076682,0.8242474562163468,0.0,179,97677,0.0018325706153956406
2,3,0.004763102785521641,6.377223057479214,0.04,75,100416,0.0007468929254302103
2,4,0.0008700245750693891,0.8889961789102226,0.0,103,105246,0.0009786595215020048
3,0,0.0008303341588061879,0.8473603792414979,0.0,95,96948,0.000979906754136238
3,1,0.0010021055161938833,0.8273167813238674,0.0,121,99895,0.0012112718354271986
3,2,0.0008281029506332579,0.8095948496866047,0.0,100,97765,0.0010228609420549276
3,3,0.00879322388721179,11.286845144369668,0.04,77,98836,0.000779068355659881
3,4,0.001236733461125516,1.080352931871413,0.0,112,97838,0.0011447494838406345
4,0,0.0011668551967005483,0.9198798921213873,0.0,129,101696,0.0012684864694776589
4,1,0.000696459197929222,0.8962894139504527,0.0,78,100380,0.0007770472205618649
4,2,0.002476980655478991,2.346975243600162,0.02,103,97594,0.001055392749554276
4,3,0.0009069781649494759,1.4263167414953075,0.0,63,99074,0.0006358883258978138
4,4,0.0007923021264430788,0.9298586735351906,0.0,86,100931,0.0008520672538665029
5,0,0.0013481288368013306,1.0516041838311858,0.0,127,99066,0.0012819736337391235
5,1,0.0007630646493476132,0.8706118787497826,0.0,85,96980,0.0008764693751288925
5,2,0.0008996244723867273,0.8682875532652564,0.0,102,98447,0.0010360904852357105
5,3,0.0012491282438257404,1.1783086206305533,0.0,105,99047,0.0010601027794885256
5,4,0.0020732569591914995,1.7086928227800167,0.0,126,103844,0.0012133584992873926
6,0,0.000843541274910241,1.03413942597621,0.0,80,98076,0.0008156939516293487
6,1,0.0006991940779067641,0.904683537434731,0.0,76,98336,0.0007728603970061829
6,2,0.0008332529459412751,0.8373525504353062,0.0,100,100492,0.000995104087887593
6,3,0.0009791265950433177,0.9788426483307551,0.0,100,99971,0.001000290084124396
6,4,0.0009292210329181828,1.1141462296890432,0.0,91,109110,0.0008340207130418843
7,0,0.0019599990877193097,1.5742059339532257,0.02,132,106018,0.0012450715916165179
7,1,0.0019524525036692813,1.5414256229515753,0.0,137,108159,0.0012666537227600107
7,2,0.001457892593143007,1.3076833737447333,0.0,126,113018,0.001114866658408395
7,3,0.0011967092057125674,0.898245011824816,0.0,146,109587,0.0013322748136184036
7,4,0.0013597138821443474,1.230685950885453,0.0,122,110423,0.0011048422882913886
8,0,0.0008801553232000674,1.2992727144604652,0.0,70,103333,0.0006774215400694841
8,1,0.028217298603264277,29.308179367266472,0.14,100,103866,0.0009627789652051682
8,2,0.001454729101062271,1.3039873821950536,0.0,119,106669,0.0011156005962369574
8,3,0.001102554969263105,1.107157868649349,0.0,103,103430,0.0009958425988591318
8,4,0.0012857212072297202,1.1436437873218637,0.0,123,109408,0.0011242322316466803
9,0,0.0017164755496171327,1.4693643731704662,0.02,112,95876,0.0011681755600984605
9,1,0.0014628683947209144,1.4571746814591084,0.0,102,101603,0.0010039073649400117
9,2,0.0019358810654433174,1.5122764872263514,0.0,126,98429,0.0012801105365288685
9,3,0.0012260563476064223,1.36500940033515,0.0,90,100200,0.0008982035928143712
9,4,0.0025375141075557957,2.1155617616708033,0.02,119,99212,0.001199451679232351
10,0,0.0018007614263757985,1.576020243914778,0.0,117,102398,0.0011426004414148714
10,1,0.0019576102273871033,2.006571089495227,0.0,95,97376,0.0009755997371015446
10,2,0.0008364861834331714,1.4741874002747597,0.0,56,98692,0.0005674218781664168
10,3,0.001021375399425973,1.0772715120745584,0.0,95,100199,0.0009481132546232997
10,4,0.0008715118766001828,1.3256567154965382,0.0,70,106477,0.000657418973111564
11,0,0.0016410952337541072,1.2932456814208988,0.0,131,103233,0.0012689740683696105
11,1,0.0018164467511745139,1.3587552048201765,0.0,137,102480,0.0013368462138953943
11,2,0.002430517106817646,2.488681065700599,0.0,101,103417,0.0009766286007136158
11,3,0.00113625483348465,1.1232927031026647,0.0,103,101825,0.0010115394058433588
11,4,0.0020678196398153047,1.7392030767330433,0.0,124,104294,0.0011889466316374864
12,0,0.0013207529427397588,1.6284883783981225,0.0,80,98640,0.0008110300081103001
12,1,0.008143161073753688,6.344540371588343,0.0,128,99728,0.001283491095780523
12,2,0.005566298055941587,4.496850597193585,0.0,124,100176,0.0012378214342756747
12,3,0.0011412540680561319,1.5378398567056377,0.0,74,99715,0.0007421150278293135
12,4,0.002890219890437789,2.1380134026560724,0.0,135,99865,0.0013518249637009963
13,0,0.0014302943994629164,2.2746597588458526,0.0,64,101782,0.0006287948753217661
13,1,0.0007198633130990869,1.1501422275687134,0.0,65,103852,0.0006258906905981589
13,2,0.001088081711748044,1.3172773928078605,0.0,81,98062,0.0008260080357324958
13,3,0.0012642435988798682,1.6577475231568608,0.0,78,102278,0.0007626273489900077
13,4,0.0021965957001589577,2.2880289961780744,0.0,96,99996,0.0009600384015360614
14,0,0.0018992788845689842,1.8599366791029124,0.0,105,102825,0.0010211524434719183
14,1,0.007951498979584234,6.322282091100642,0.0,123,97798,0.0012576944313789648
14,2,0.0477356361847983,34.81210327799149,0.16,134,97722,0.0013712367737049999
14,3,0.001980689643572826,1.3745849527109648,0.0,145,100629,0.0014409365093561498
14,4,0.00305555031059062,2.347033008268213,0.0,132,101392,0.001301877860186208
15,0,0.0019500696049059908,2.24320840140347,0.0,90,103529,0.0008693216393474292
15,1,0.005602233243254806,5.619093297586886,0.02,105,105316,0.0009969995062478637
15,2,0.005383772602154108,5.291673501911434,0.02,103,101238,0.0010174045318951381
15,3,0.002198909013011895,2.0040307017337162,0.0,112,102074,0.001097243176518996
