window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0026238882650254022,2.6180949275689605,0.0,101,100777,0.001002212806493545
0,2,0.0008185025811904205,0.8148861361123036,0.0,98,97567,0.0010044379759549847
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015626975989317686,1.0913475303503777,0.0,139,97074,0.001431897315450069
1,0,0.0006676300876534913,1.2287731763262508,0.0,54,99387,0.0005433306166802499
1,1,0.0004950316662328732,0.8467394921815041,0.0,61,104339,0.0005846327835229396
1,2,0.001977142124454487,2.068370040957849,0.02,92,96245,0.000955893812665593
1,3,0.0006633474401071895,1.2100542785184403,0.0,55,100329,0.0005481964337330184
1,4,0.0008953925719160848,0.974518024195191,0.0,92,100130,0.0009188055527813842
2,0,0.0007483172201510988,0.9435718908190243,0.0,80,100874,0.0007930685806055079
2,1,0.0015675358751711442,1.800541374482695,0.0,90,103378,0.0008705914217725241
2,2,0.001510491668076682,0.8242474562163468,0.0,179,97677,0.0018325706153956406
2,3,0.004763102785521641,6.377223057479214,0.04,75,100416,0.0007468929254302103
2,4,0.0008700245750693891,0.8889961789102226,0.0,103,105246,0.0009786595215020048
3,0,0.0008303341588061879,0.8473603792414979,0.0,95,96948,0.000979906754136238
3,1,0.0010021055161938833,0.8273167813238674,0.0,121,99895,0.0012112718354271986
3,2,0.0008281029506332579,0.8095948496866047,0.0,100,97765,0.0010228609420549276
3,3,0.00879322388721179,11.286845144369668,0.04,77,98836,0.000779068355659881
3,4,0.001236733461125516,1.080352931871413,0.0,112,97838,0.0011447494838406345
4,0,0.001163071291571948,0.9168968842457428,0.0,129,101696,0.0012684864694776589
4,1,0.0006998212624500945,0.9006161323684678,0.0,78,100380,0.0007770472205618649
4,2,0.0024785106018600173,2.3484248900769567,0.02,103,97594,0.001055392749554276
4,3,0.0008927816730502528,1.4039912932663612,0.0,63,99074,0.0006358883258978138
4,4,0.0007923652971063744,0.9299328116539939,0.0,86,100931,0.0008520672538665029
5,0,0.001335213575174553,1.0415296695924587,0.0,127,99066,0.0012819736337391235
5,1,0.000769010099885932,0.8773952880816198,0.0,85,96980,0.0008764693751288925
5,2,0.0009044111272841632,0.8729074730170983,0.0,102,98447,0.0010360904852357105
5,3,0.0012258222111015574,1.1563239289807234,0.0,105,99047,0.0010601027794885256
5,4,0.002131437623448577,1.7566429251539208,0.0,126,103844,0.0012133584992873926
6,0,0.0008401629432399135,1.029997760264972,0.0,80,98076,0.0008156939516293487
6,1,0.0007082964406268958,0.9164610366511372,0.0,76,98336,0.0007728603970061829
6,2,0.0008481754097395145,0.852348432755433,0.0,100,100492,0.000995104087887593
6,3,0.0009545535856547755,0.9542767651149355,0.0,100,99971,0.001000290084124396
6,4,0.0009595741201636133,1.1505399148467235,0.0,91,109110,0.0008340207130418843
7,0,0.0020419963494210285,1.6400634013099895,0.02,132,106018,0.0012450715916165179
7,1,0.0015456179718574285,1.2202371840739243,0.0,137,108159,0.0012666537227600107
7,2,0.001501054390196054,1.3463981354855368,0.0,126,113018,0.001114866658408395
7,3,0.0012100163583808475,0.9082333059306983,0.0,146,109587,0.0013322748136184036
7,4,0.0013491732311830722,1.22114553858138,0.0,122,110423,0.0011048422882913886
8,0,0.0007987283202711463,1.1790713359796907,0.0,70,103333,0.0006774215400694841
8,1,0.01359198885293175,14.117455141986092,0.14,100,103866,0.0009627789652051682
8,2,0.001393518779474562,1.249119787292202,0.0,119,106669,0.0011156005962369574
8,3,0.001097519572133182,1.1021014499585922,0.0,103,103430,0.0009958425988591318
8,4,0.001191683141667209,1.059997310272569,0.0,123,109408,0.0011242322316466803
9,0,0.0016360413036249598,1.4005097859495237,0.0,112,95876,0.0011681755600984605
9,1,0.0012210750877464532,1.2163224719637538,0.0,102,101603,0.0010039073649400117
9,2,0.001925965399960121,1.5045305424815456,0.0,126,98429,0.0012801105365288685
9,3,0.0012107153931275605,1.347929804348684,0.0,90,100200,0.0008982035928143712
9,4,0.0023002975625724684,1.917790939310418,0.02,119,99212,0.001199451679232351
10,0,0.0014929212575715911,1.3065995806223571,0.0,117,102398,0.0011426004414148714
10,1,0.001207493390407106,1.2376934356240248,0.0,95,97376,0.0009755997371015446
10,2,0.0008501905716150708,1.4983394266756171,0.0,56,98692,0.0005674218781664168
10,3,0.001015555024344223,1.0711326093080715,0.0,95,100199,0.0009481132546232997
10,4,0.0008369120245288873,1.2730268805108904,0.0,70,106477,0.000657418973111564
11,0,0.0018777023564907423,1.4797011249435785,0.0,131,103233,0.0012689740683696105
11,1,0.0014644263789658244,1.095433688441005,0.0,137,102480,0.0013368462138953943
11,2,0.002275574004719948,2.3300300677833947,0.0,101,103417,0.0009766286007136158
11,3,0.0011246113531066617,1.1117820488357846,0.0,103,101825,0.0010115394058433588
11,4,0.00194703777527823,1.637615788184417,0.0,124,104294,0.0011889466316374864
12,0,0.0012066794192985863,1.487835723995157,0.0,80,98640,0.0008110300081103001
12,1,0.0061938687000785315,4.825797950948687,0.0,128,99728,0.001283491095780523
12,2,0.005233840979473465,4.228268177094628,0.0,124,100176,0.0012378214342756747
12,3,0.0011531107099830057,1.5538166817021002,0.0,74,99715,0.0007421150278293135
12,4,0.0027917656027971454,2.065182754987681,0.0,135,99865,0.0013518249637009963
13,0,0.0018721131212526292,2.9773034016771107,0.0,64,101782,0.0006287948753217661
13,1,0.0006419384840355359,1.025639929908592,0.0,65,103852,0.0006258906905981589
13,2,0.0010980505097664501,1.3293460381323163,0.0,81,98062,0.0008260080357324958
13,3,0.0012816549429161106,1.6805782596355634,0.0,78,102278,0.0007626273489900077
13,4,0.0021865486642056427,2.2775637523532026,0.0,96,99996,0.0009600384015360614
14,0,0.0020888980893470767,2.045628057496316,0.0,105,102825,0.0010211524434719183
14,1,0.004725844054567107,3.7575455028337714,0.0,123,97798,0.0012576944313789648
14,2,0.039159425571704855,28.557741684463746,0.16,134,97722,0.0013712367737049999
14,3,0.0020558032689652647,1.4267132907083147,0.0,145,100629,0.0014409365093561498
14,4,0.0030934419717383345,2.376138396958282,0.0,132,101392,0.001301877860186208
15,0,0.002272481189091892,2.6140856113943833,0.0,90,103529,0.0008693216393474292
15,1,0.002510054227744844,2.517608295706438,0.0,105,105316,0.0009969995062478637
15,2,0.006331896318112622,6.223577858767822,0.04,103,101238,0.0010174045318951381
15,3,0.002165103477738995,1.9732211820243766,0.0,112,102074,0.001097243176518996
