window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0026238882650254022,2.6180949275689605,0.0,101,100777,0.001002212806493545
0,2,0.0008185025811904205,0.8148861361123036,0.0,98,97567,0.0010044379759549847
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015626975989317686,1.0913475303503777,0.0,139,97074,0.001431897315450069
1,0,0.0006676546438143238,1.228818371940263,0.0,54,99387,0.0005433306166802499
1,1,0.0004950417956910904,0.8467568183706997,0.0,61,104339,0.0005846327835229396
1,2,0.001977147385004237,2.068375544236226,0.02,92,96245,0.000955893812665593
1,3,0.0006633473033140008,1.2100540289852797,0.0,55,100329,0.0005481964337330184
1,4,0.000895408214182055,0.974535048761404,0.0,92,100130,0.0009188055527813842
2,0,0.0007485260378443071,0.943835194268833,0.0,80,100874,0.0007930685806055079
2,1,0.0015604761024460047,1.792432205762923,0.0,90,103378,0.0008705914217725241
2,2,0.0015148432504833594,0.826622034510967,0.0,179,97677,0.0018325706153956406
2,3,0.0048107573162424686,6.441026755570716,0.04,75,100416,0.0007468929254302103
2,4,0.0008694505366112489,0.8884096230697817,0.0,103,105246,0.0009786595215020048
3,0,0.0008324446140656924,0.8495141099414815,0.0,95,96948,0.000979906754136238
3,1,0.0010021767521656085,0.8273755922114334,0.0,121,99895,0.0012112718354271986
3,2,0.0008299929344936785,0.8114425924077449,0.0,100,97765,0.0010228609420549276
3,3,0.008769213742527857,11.256026096837443,0.04,77,98836,0.000779068355659881
3,4,0.00125129226040163,1.0930708229747739,0.0,112,97838,0.0011447494838406345
4,0,0.0011725290400450262,0.9243528159412324,0.0,129,101696,0.0012684864694776589
4,1,0.00069846479056825,0.8988704574005247,0.0,78,100380,0.0007770472205618649
4,2,0.002489993953815202,2.359305533287775,0.02,103,97594,0.001055392749554276
4,3,0.0009047398090319944,1.4227966958735843,0.0,63,99074,0.0006358883258978138
4,4,0.0007938380269984148,0.9316612314299652,0.0,86,100931,0.0008520672538665029
5,0,0.0013551328210673033,1.057067622455539,0.0,127,99066,0.0012819736337391235
5,1,0.0007556979122739491,0.8622068650862069,0.0,85,96980,0.0008764693751288925
5,2,0.0008976988366876393,0.8664289938763532,0.0,102,98447,0.0010360904852357105
5,3,0.0012421555878760308,1.1717312810700689,0.0,105,99047,0.0010601027794885256
5,4,0.0020689724163463017,1.7051616793894078,0.0,126,103844,0.0012133584992873926
6,0,0.0008348764889958108,1.023516831684414,0.0,80,98076,0.0008156939516293487
6,1,0.0006895614788697793,0.892219968238666,0.0,76,98336,0.0007728603970061829
6,2,0.0008271185650027383,0.8311879883425519,0.0,100,100492,0.000995104087887593
6,3,0.0009721115958941381,0.9718296835313288,0.0,100,99971,0.001000290084124396
6,4,0.0009277491942134957,1.1123814789080717,0.0,91,109110,0.0008340207130418843
7,0,0.0019547058851991875,1.5699546101291475,0.02,132,106018,0.0012450715916165179
7,1,0.002042293275134653,1.61235327259335,0.0,137,108159,0.0012666537227600107
7,2,0.0014585184358656658,1.3082447347989352,0.0,126,113018,0.001114866658408395
7,3,0.0012020336058266416,0.9022414846693437,0.0,146,109587,0.0013322748136184036
7,4,0.0013806559343572645,1.249640739668297,0.0,122,110423,0.0011048422882913886
8,0,0.0009208109587344509,1.3592879828415287,0.0,70,103333,0.0006774215400694841
8,1,0.027532449629132004,28.596854131794245,0.16,100,103866,0.0009627789652051682
8,2,0.0014459001529433721,1.2960733060026601,0.0,119,106669,0.0011156005962369574
8,3,0.0011019632748043942,1.1065637040098881,0.0,103,103430,0.0009958425988591318
8,4,0.0013580792885319955,1.2080060065016955,0.0,123,109408,0.0011242322316466803
9,0,0.0016309242007391455,1.3961293631255922,0.0,112,95876,0.0011681755600984605
9,1,0.0016483725039251546,1.6419567795716419,0.0,102,101603,0.0010039073649400117
9,2,0.0019458196486637222,1.5200403349073137,0.0,126,98429,0.0012801105365288685
9,3,0.001234577987713957,1.374496826321539,0.0,90,100200,0.0008982035928143712
9,4,0.0027057090402258102,2.255788279822547,0.02,119,99212,0.001199451679232351
10,0,0.0019118845092426287,1.6732747861318522,0.0,117,102398,0.0011426004414148714
10,1,0.0018324331068565384,1.8782632232974976,0.0,95,97376,0.0009755997371015446
10,2,0.0008368275222231224,1.474788961129364,0.0,56,98692,0.0005674218781664168
10,3,0.0010290001464045686,1.0853135333641195,0.0,95,100199,0.0009481132546232997
10,4,0.0008981859487465004,1.3662306466383018,0.0,70,106477,0.000657418973111564
11,0,0.0016915610043864442,1.333014634853632,0.0,131,103233,0.0012689740683696105
11,1,0.0017462535395771348,1.306248633108502,0.0,137,102480,0.0013368462138953943
11,2,0.002406527427516923,2.4641172967476987,0.0,101,103417,0.0009766286007136158
11,3,0.001149070758766779,1.1359624272954103,0.0,103,101825,0.0010115394058433588
11,4,0.002151457108559402,1.809548932903986,0.0,124,104294,0.0011889466316374864
12,0,0.0014899745232657097,1.83713858718662,0.0,80,98640,0.0008110300081103001
12,1,0.01078460849013188,8.402558089874002,0.0,128,99728,0.001283491095780523
12,2,0.0046271950494902545,3.7381765425623854,0.0,124,100176,0.0012378214342756747
12,3,0.0011709491576198882,1.5778539898927995,0.0,74,99715,0.0007421150278293135
12,4,0.002945917450123818,2.1792151567156672,0.0,135,99865,0.0013518249637009963
13,0,0.0012842261279741693,2.0423609962104203,0.0,64,101782,0.0006287948753217661
13,1,0.0006820841112143295,1.089781524889701,0.0,65,103852,0.0006258906905981589
13,2,0.0010975420564660974,1.328730483224425,0.0,81,98062,0.0008260080357324958
13,3,0.001269190546668853,1.6642342401563712,0.0,78,102278,0.0007626273489900077
13,4,0.0021910416033868556,2.2822437101278337,0.0,96,99996,0.0009600384015360614
14,0,0.0019029117899614534,1.8634943314551091,0.0,105,102825,0.0010211524434719183
14,1,0.006902214818263993,5.487990282899041,0.0,123,97798,0.0012576944313789648
14,2,0.03564985094742036,25.998318912565765,0.16,134,97722,0.0013712367737049999
14,3,0.0019910250004480934,1.3817576191040772,0.0,145,100629,0.0014409365093561498
14,4,0.00303186849039532,2.328842499834563,0.0,132,101392,0.001301877860186208
15,0,0.0018526468845724729,2.131140881254484,0.0,90,103529,0.0008693216393474292
15,1,0.0044485079005201905,4.46189579096366,0.02,105,105316,0.0009969995062478637
15,2,0.004478658301767003,4.402042807323183,0.0,103,101238,0.0010174045318951381
15,3,0.0021596874279725155,1.9682851296684514,0.0,112,102074,0.001097243176518996
