window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0026238882650254022,2.6180949275689605,0.0,101,100777,0.001002212806493545
0,2,0.0008185025811904205,0.8148861361123036,0.0,98,97567,0.0010044379759549847
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015626975989317686,1.0913475303503777,0.0,139,97074,0.001431897315450069
1,0,0.0006855196298404774,1.2616988787213987,0.0,54,99387,0.0005433306166802499
1,1,0.0004752595253762564,0.8129197314464461,0.0,61,104339,0.0005846327835229396
1,2,0.0018647168720964536,1.9507573408143823,0.02,92,96245,0.000955893812665593
1,3,0.0006406569342919596,1.1686630829196003,0.0,55,100329,0.0005481964337330184
1,4,0.0009055064583097048,0.9855256703320733,0.0,92,100130,0.0009188055527813842
2,0,0.0007708420641415906,0.9719740297277351,0.0,80,100874,0.0007930685806055079
2,1,0.0021355813625648402,2.4530236677692008,0.0,90,103378,0.0008705914217725241
2,2,0.0015333294353893727,0.8367096048074177,0.0,179,97677,0.0018325706153956406
2,3,0.002894118422933797,3.8748772740976025,0.02,75,100416,0.0007468929254302103
2,4,0.0008871139492662247,0.9064582010143019,0.0,103,105246,0.0009786595215020048
3,0,0.0008472105064000359,0.8645827807839018,0.0,95,96948,0.000979906754136238
3,1,0.0010384524394385333,0.8573240201463825,0.0,121,99895,0.0012112718354271986
3,2,0.0008612562815172209,0.8420072036253111,0.0,100,97765,0.0010228609420549276
3,3,0.003854198855110508,4.947189584983145,0.04,77,98836,0.000779068355659881
3,4,0.001166469248196109,1.0189733777233116,0.0,112,97838,0.0011447494838406345
4,0,0.0011879561139678965,0.9365146121401489,0.0,129,101696,0.0012684864694776589
4,1,0.0007000193720909267,0.9008710842370157,0.0,78,100380,0.0007770472205618649
4,2,0.0013483354916144742,1.2775675142584757,0.02,103,97594,0.001055392749554276
4,3,0.0008233804589296994,1.294850723619064,0.0,63,99074,0.0006358883258978138
4,4,0.0007830994431175782,0.9190582545732591,0.0,86,100931,0.0008520672538665029
5,0,0.0013873085945482824,1.0821662458859853,0.0,127,99066,0.0012819736337391235
5,1,0.0007989504554962784,0.9115554726356362,0.0,85,96980,0.0008764693751288925
5,2,0.0009557911327401712,0.9224977416163886,0.0,102,98447,0.0010360904852357105
5,3,0.0013035245711939477,1.2296209352671137,0.0,105,99047,0.0010601027794885256
5,4,0.002464727164418245,2.0313264100146684,0.0,126,103844,0.0012133584992873926
6,0,0.000908058999129553,1.1132349299828754,0.0,80,98076,0.0008156939516293487
6,1,0.0007752771220639398,1.003126987832626,0.0,76,98336,0.0007728603970061829
6,2,0.000941661445700987,0.9462944200138359,0.0,100,100492,0.000995104087887593
6,3,0.0009953529135156424,0.9950642611707229,0.0,100,99971,0.001000290084124396
6,4,0.0009772137456787588,1.1716900196814217,0.0,91,109110,0.0008340207130418843
7,0,0.0025601964813457053,2.056264473934159,0.04,132,106018,0.0012450715916165179
7,1,0.0024371980445603483,1.9241233817635235,0.0,137,108159,0.0012666537227600107
7,2,0.0016004411576583698,1.4355449107637592,0.0,126,113018,0.001114866658408395
7,3,0.001325248441526102,0.9947260339830201,0.0,146,109587,0.0013322748136184036
7,4,0.001271399880476411,1.1507523688675962,0.0,122,110423,0.0011048422882913886
8,0,0.0009889221406815959,1.4598327366150192,0.0,70,103333,0.0006774215400694841
8,1,0.012437290807147146,12.918116469751455,0.14,100,103866,0.0009627789652051682
8,2,0.0018063020761941322,1.6191297156769067,0.0,119,106669,0.0011156005962369574
8,3,0.0010647695715424385,1.0692147260644118,0.0,103,103430,0.0009958425988591318
8,4,0.001144040137079875,1.017619051362886,0.0,123,109408,0.0011242322316466803
9,0,0.07360620176615904,63.00953750475236,0.16,112,95876,0.0011681755600984605
9,1,0.0016732265633035163,1.666714103052227,0.0,102,101603,0.0010039073649400117
9,2,0.0025656593932407894,2.0042483207722035,0.0,126,98429,0.0012801105365288685
9,3,0.0012993565901532487,1.4466170037039503,0.0,90,100200,0.0008982035928143712
9,4,0.0019270605847934515,1.6066179389792261,0.02,119,99212,0.001199451679232351
10,0,0.0810591947950775,70.94273015919954,0.28,117,102398,0.0011426004414148714
10,1,0.006295803032593779,6.453264380019493,0.02,95,97376,0.0009755997371015446
10,2,0.0007465083838636284,1.3156143825048072,0.0,56,98692,0.0005674218781664168
10,3,0.0009837923674335099,1.0376316992049501,0.0,95,100199,0.0009481132546232997
10,4,0.0007353841039221741,1.118592760476019,0.0,70,106477,0.000657418973111564
11,0,0.1168232777417838,92.06120176425624,0.3,131,103233,0.0012689740683696105
11,1,0.002752938426452637,2.0592783207508485,0.0,137,102480,0.0013368462138953943
11,2,0.008877868938846763,9.090322495531838,0.08,101,103417,0.0009766286007136158
11,3,0.0012760691420182295,1.2615120425825845,0.0,103,101825,0.0010115394058433588
11,4,0.0015385209125342498,1.294020161708444,0.0,124,104294,0.0011889466316374864
12,0,0.0012778092885866147,1.5755388528272958,0.0,80,98640,0.0008110300081103001
12,1,0.01862985597679547,14.514986537920773,0.1,128,99728,0.001283491095780523
12,2,0.005286783324101162,4.271038760283533,0.02,124,100176,0.0012378214342756747
12,3,0.0008493675438495338,1.144522765337247,0.0,74,99715,0.0007421150278293135
12,4,0.0022863412761069974,1.6912997891735206,0.0,135,99865,0.0013518249637009963
13,0,0.13427931765013018,213.5502735791492,0.18,64,101782,0.0006287948753217661
13,1,0.0007260373481193648,1.1600066257983428,0.0,65,103852,0.0006258906905981589
13,2,0.001210894707993721,1.4659599611762997,0.0,81,98062,0.0008260080357324958
13,3,0.0019982212414809265,2.6201804120023873,0.0,78,102278,0.0007626273489900077
13,4,0.0018393353558066848,1.915897689992138,0.0,96,99996,0.0009600384015360614
14,0,0.08711084485345538,85.3064059243481,0.18,105,102825,0.0010211524434719183
14,1,0.06099452934637973,48.497097406644265,0.2,123,97798,0.0012576944313789648
14,2,0.023870459572987626,17.407977987996244,0.16,134,97722,0.0013712367737049999
14,3,0.001845492552638047,1.280759103995959,0.0,145,100629,0.0014409365093561498
14,4,0.0028773046059542076,2.2101187015674926,0.0,132,101392,0.001301877860186208
15,0,0.11285857200506953,129.82372334569826,0.2,90,103529,0.0008693216393474292
15,1,0.02424467657838345,24.317641509800296,0.12,105,105316,0.0009969995062478637
15,2,0.022683279626389812,22.295241386567493,0.08,103,101238,0.0010174045318951381
15,3,0.004074791211670316,3.713662840536035,0.0,112,102074,0.001097243176518996
