window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.000939708825798007,1.2656910289598398,0.004,5,5,354,500430,0.0007073916431868593
2,0.0018918944709390303,2.166916079763083,0.008,5,5,527,507591,0.0010382374785998963
3,0.0025380998792572085,2.9702938654939315,0.008,5,5,505,491282,0.001027922863039965
4,0.0012044461152381637,1.2988692971068623,0.004,5,5,459,499675,0.0009185970881072697
5,0.001275221024049452,1.1426433816688029,0.0,5,5,545,497384,0.0010957328743988548
6,0.0008640009068086541,0.9829320885456468,0.0,5,5,447,505985,0.0008834253979861063
7,0.0015473252370061205,1.2815436169644836,0.004,5,5,663,547205,0.0012116117360038742
8,0.0036187834929935513,3.7428699243409893,0.028000000000000004,5,5,515,526706,0.0009777750775574988
9,0.001730567421079858,1.5386224091113467,0.008,5,5,549,495320,0.0011083743842364533
10,0.001043134306721792,1.2465272560180913,0.0,5,5,433,505142,0.0008571847124174985
11,0.0017310380161822902,1.5336719816686848,0.0,5,5,596,515249,0.001156722283789003
12,0.003386764182820564,2.889569758786423,0.0,5,5,541,498124,0.0010860749532244983
13,0.0014277511780203807,1.8456931225439823,0.0,5,5,384,505970,0.0007589382769729431
14,0.010669124183925969,7.962508670416616,0.032,5,5,639,500366,0.0012770651882821774
15,0.0029653307647145946,3.0159359268613133,0.008,5,5,496,514226,0.0009645564401644413
16,0.005121350409262596,3.941503758285136,0.012,5,5,620,500613,0.0012384816215320017
17,0.002205643428941851,2.409439694965728,0.0,5,5,450,491817,0.0009149744722122253
18,0.012678614887807641,9.002725538749505,0.027999999999999997,5,5,604,413396,0.0014610688056972008
