window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0018020204731579675,1.4530039364743976,0.0,119,95952,0.0012402034350508587
0,1,0.0017754089942657225,1.4432198674849799,0.0,123,99986,0.0012301722241113756
0,2,0.0008810605968309842,1.0158527410128277,0.0,87,100310,0.0008673113348619281
0,3,0.0018526613251026495,1.5132383314994684,0.02,120,98015,0.0012243024026934652
0,4,0.0020296462772270156,1.9691335243018555,0.0,97,94108,0.001030730649891614
1,0,0.0010912331891819616,1.61423437130149,0.0,69,102070,0.000676006662094641
1,1,0.0015269912777991313,1.6770559261217426,0.0,91,99943,0.0009105189958276218
1,2,0.0009053073456854422,1.208814651017639,0.0,75,100144,0.0007489215529637323
1,3,0.0010834970797579942,1.9392082466590086,0.0,56,100227,0.0005587316790884692
1,4,0.0005734542150531935,0.892458602684213,0.0,63,98046,0.0006425555351569671
2,0,0.0005964553183103181,0.7886611080925768,0.0,77,101813,0.0007562884896820641
2,1,0.0009735018802388576,0.7971821468346436,0.0,126,103179,0.0012211787282295815
2,2,0.0014825231896231778,1.0971412864806327,0.0,140,103607,0.0013512600499966218
2,3,0.0007664824838111231,0.8499601772446199,0.0,89,98693,0.0009017863475626437
2,4,0.0007504249585475683,0.7922828728143427,0.0,95,100299,0.0009471679677763487
3,0,0.0005309028775510893,0.6768103565433209,0.0,76,96887,0.0007844189622962833
3,1,0.0007188235389146448,0.8025338074009776,0.0,88,98248,0.000895692533181337
3,2,0.0009940444177983683,0.8127340020891948,0.0,121,98930,0.001223087031234206
3,3,0.0011703978667315013,1.0005909897955412,0.0,118,100880,0.001169706582077716
3,4,0.0008289083066450767,0.782887642522223,0.0,102,96337,0.0010587832297040598
4,0,0.0008932080580018726,0.9541094805372475,0.0,93,99341,0.0009361693560564117
4,1,0.0005026232496819274,0.7562379392639709,0.0,67,100807,0.000664636384378069
4,2,0.0008717456847629703,0.9129401160500857,0.0,98,102631,0.000954877181358459
4,3,0.0007328752060341834,0.9869895049042304,0.0,72,96965,0.0007425359665858815
4,4,0.0009757694111815183,0.7558884730913202,0.0,129,99931,0.0012908907145930692
5,0,0.0010648927003501247,0.8963532959938706,0.0,119,100166,0.0011880278737296088
5,1,0.0009054536790627435,0.9278730894287033,0.0,96,98377,0.0009758378482775446
5,2,0.0014485562542011108,0.9690841340605432,0.0,148,99012,0.0014947683109118087
5,3,0.000559467316046818,0.9090518442179739,0.0,61,99116,0.0006154404939666653
5,4,0.000995968038413224,0.8289828847331491,0.0,121,100713,0.0012014337771687866
6,0,0.0007676131504298976,0.9454681925493839,0.0,83,102231,0.0008118868053721474
6,1,0.0010836486350448793,1.122208465641893,0.0,96,99416,0.0009656393337088597
6,2,0.0008154075055213644,0.828861729362467,0.0,102,103683,0.000983767830791933
6,3,0.0006036985354003562,0.8648568448741741,0.0,72,103147,0.0006980329044955258
6,4,0.0008991482605113798,0.9327037083611024,0.0,94,97508,0.0009640234647413546
7,0,0.00146359937024438,1.0699594409525863,0.0,150,109657,0.0013679017299397212
7,1,0.001518204599747993,0.9978192703943718,0.0,165,108444,0.0015215226291911033
7,2,0.00161524363818476,1.1716139060390154,0.0,158,114605,0.0013786484010296235
7,3,0.0008901675328092393,0.9870381600515115,0.0,96,106447,0.0009018572622995481
7,4,0.0008607530992102453,0.9894265305943131,0.0,94,108052,0.0008699515048310073
8,0,0.0013256363719130967,1.1840142195137142,0.0,120,107180,0.0011196118678857996
8,1,0.0011095207471808423,1.1273584268855188,0.0,104,105672,0.00098417745476569
8,2,0.0010492800843684507,1.1913570728135745,0.0,94,106728,0.0008807435724458437
8,3,0.0009412278536879105,1.0521510502085503,0.0,93,103960,0.0008945748364755675
8,4,0.001313882370160517,1.3033460442305758,0.0,104,103166,0.0010080840587015103
9,0,0.001331295221633894,1.2467963778069198,0.0,104,97399,0.0010677727697409624
9,1,0.002045978096255816,1.8503081910502601,0.02,110,99480,0.0011057498994772818
9,2,0.0012040387157203703,1.0957071969351577,0.0,113,102833,0.0010988690400941332
9,3,0.0015425219766348694,1.2392393975074874,0.0,122,98013,0.0012447328415618336
9,4,0.0013425552536705338,1.3102667998197575,0.0,100,97595,0.001024642655873764
10,0,0.0011732334462754468,1.5480506577960764,0.0,76,100280,0.0007578779417630634
10,1,0.0009292317645094397,1.2519891164443873,0.0,74,99703,0.0007422043469103237
10,2,0.0017509350200917942,1.5667796613996836,0.0,114,102010,0.0011175374963238898
10,3,0.0011897748778820346,1.6836471247606508,0.0,72,101887,0.0007066652271634262
10,4,0.0012459475936678062,1.30069221886587,0.0,97,101262,0.0009579111611463332
11,0,0.0015360881586775426,1.1977824658229526,0.0,130,101369,0.0012824433505312274
11,1,0.0012452647808618006,1.094865703266108,0.0,112,98473,0.001137367603302428
11,2,0.0013024261461117956,1.0580851693423594,0.0,134,108861,0.0012309275130671224
11,3,0.0012972477566388207,1.2370864042552496,0.0,109,103945,0.0010486314878060514
11,4,0.0013163185206066864,1.2167170858807803,0.0,111,102601,0.0010818608005769925
12,0,0.0020203886345047783,1.747897425997647,0.0,116,100355,0.0011558965671864879
12,1,0.001570562381754415,1.4948911904277904,0.0,105,99941,0.0010506198657207753
12,2,0.0023981328218021613,1.7712398966401117,0.0,137,101187,0.0013539288643798116
12,3,0.0019055887897868934,2.3675131609820705,0.0,79,98150,0.000804890473764646
12,4,0.0016698758364177778,1.581420586582917,0.0,104,98491,0.001055934044735052
13,0,0.0013805028184431945,1.7382746106007199,0.0,81,101992,0.0007941799356812299
13,1,0.0015880014763052365,2.3807460341855538,0.0,67,100447,0.0006670184276285006
13,2,0.0016194816536269406,1.5971687952880806,0.0,99,97636,0.001013970256872465
13,3,0.001054334795306569,1.8438134187576773,0.0,58,101430,0.0005718229320713793
13,4,0.0009759026915565561,1.2904768946007041,0.0,79,104465,0.0007562341454075528
14,0,0.0025201565307446955,1.9659369910493758,0.0,129,100631,0.0012819111407021693
14,1,0.023403104855368763,14.596124023864247,0.08,161,100413,0.001603378048659038
14,2,0.0022269178504069355,1.8590018160397046,0.0,122,101844,0.001197910529829936
14,3,0.0020018485774710715,1.7274890295127132,0.0,113,97513,0.0011588198496610708
14,4,0.001992868734580183,1.7475186232658597,0.0,114,99965,0.0011403991396988947
15,0,0.002579271935651536,2.833193025997486,0.0,94,103254,0.0009103763534584617
15,1,0.002630024474569112,2.342393408091872,0.0,118,105095,0.0011227936628764451
15,2,0.0011680995566687737,1.4448979245560967,0.0,85,105142,0.0008084305035095395
15,3,0.0018482227186201196,1.5679296480072011,0.0,119,100953,0.0011787663566213981
15,4,0.0013428253711833882,1.6748725148427606,0.0,80,99782,0.0008017478102262933
16,0,0.00228673439127776,2.1968413082652973,0.0,103,98951,0.001040919242857576
16,1,0.005005576207770999,3.6531275520974518,0.02,138,100714,0.0013702166530968883
16,2,0.0015113369329407414,1.5801336070004215,0.0,98,102461,0.0009564614829056909
16,3,0.0036217698431929017,2.3845732647582065,0.0,150,98760,0.0015188335358444715
16,4,0.0034091746703081155,2.5953187965329576,0.0,131,99727,0.0013135860900257703
17,0,0.002605965099395006,2.7614635913365655,0.0,94,99609,0.0009436898272244476
17,1,0.0017909644717559116,1.9732765142330646,0.0,88,96958,0.0009076094803935724
17,2,0.0024834409768017727,2.357412374998444,0.0,103,97773,0.0010534605668231516
17,3,0.0019890198231177735,2.1267378260879934,0.0,92,98370,0.0009352444851072481
17,4,0.0015655436521706805,2.1254292429545156,0.0,73,99107,0.0007365776383101093
18,0,0.0038212261051832836,2.5849218960167044,0.0,125,84558,0.0014782752666808582
18,1,0.005944169679233039,3.8534008722140554,0.0,128,82978,0.001542577550676083
18,2,0.0027854147699914573,1.6837732089822461,0.0,139,84025,0.0016542695626301695
18,3,0.0021991845085883636,1.7766797936908525,0.0,101,81596,0.001237805774792882
18,4,0.0030192188687326615,2.182514439713874,0.0,111,80239,0.0013833671905183265
