typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.36791044
1,1334,18,0.013493253373313344,0.37093028
2,345,12,0.034782608695652174,0.38330254
3,1870,1,0.0005347593582887701,0.3676361
4,394,7,0.017766497461928935,0.39077678
5,656,0,0.0,0.3501929
6,529,0,0.0,0.37177667
7,338,0,0.0,0.3474533
8,382,0,0.0,0.3438936
9,364,0,0.0,0.36672202
10,506,0,0.0,0.3659068
11,54,0,0.0,0.30817792
12,945,0,0.0,0.3750782
13,250,0,0.0,0.3409758
14,383,0,0.0,0.34906784
15,354,0,0.0,0.37177062
16,237,0,0.0,0.3748856
