typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.390585
1,1334,13,0.009745127436281859,0.39055055
2,345,11,0.03188405797101449,0.4048557
3,1870,1,0.0005347593582887701,0.39527425
4,394,8,0.02030456852791878,0.41077504
5,656,0,0.0,0.3689031
6,529,0,0.0,0.39723998
7,338,0,0.0,0.36709422
8,382,0,0.0,0.3606979
9,364,0,0.0,0.381505
10,506,0,0.0,0.40030527
11,54,0,0.0,0.32087702
12,945,1,0.0010582010582010583,0.3980772
13,250,1,0.004,0.35880548
14,383,0,0.0,0.35804227
15,354,0,0.0,0.40301555
16,237,0,0.0,0.40811488
