window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0010359888074149759,1.4661622163018115,0.0,5,5,354,500430,0.0007073916431868593
2,0.0009134413082145326,0.8647332642495644,0.0,5,5,527,507591,0.0010382374785998963
3,0.0008487249602867451,0.8152334320958644,0.0,5,5,505,491282,0.001027922863039965
4,0.0007957488425035023,0.8737015409890084,0.0,5,5,459,499675,0.0009185970881072697
5,0.0009951881089296656,0.906561519136153,0.0,5,5,545,497384,0.0010957328743988548
6,0.000834309601896692,0.9394582948350484,0.0,5,5,447,505985,0.0008834253979861063
7,0.0012705703914260556,1.0436782352497045,0.0,5,5,663,547205,0.0012116117360038742
8,0.0011505068769723694,1.174397000985959,0.0,5,5,515,526706,0.0009777750775574988
9,0.001501151986260781,1.3556538592508445,0.004,5,5,549,495320,0.0011083743842364533
10,0.0012802611966867172,1.4941190814802774,0.0,5,5,433,505142,0.0008571847124174985
11,0.0013516727750089127,1.171490855990014,0.0,5,5,596,515249,0.001156722283789003
12,0.0019749975445934606,1.850213979178966,0.0,5,5,541,498124,0.0010860749532244983
13,0.0013765090329096801,1.8405319644530196,0.0,5,5,384,505970,0.0007589382769729431
14,0.008356904252558101,5.58545228740307,0.028000000000000004,5,5,639,500366,0.0012770651882821774
15,0.0019669396159556437,2.0292182525231084,0.0,5,5,496,514226,0.0009645564401644413
16,0.0034082349857645503,2.662282400354881,0.004,5,5,620,500613,0.0012384816215320017
17,0.002122671309019654,2.3132613614918354,0.0,5,5,450,491817,0.0009149744722122253
18,0.003524485808958179,2.4008767838789664,0.0,5,5,604,413396,0.0014610688056972008
