typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3517933
1,1334,0,0.0,0.35066178
2,345,43,0.1246376811594203,0.3836114
3,1870,0,0.0,0.36381963
4,394,37,0.09390862944162437,0.38210413
5,656,1,0.001524390243902439,0.35268417
6,529,0,0.0,0.37183633
7,338,0,0.0,0.3482351
8,382,0,0.0,0.34929025
9,364,0,0.0,0.3714706
10,506,0,0.0,0.36681533
11,54,1,0.018518518518518517,0.31644404
12,945,0,0.0,0.36943373
13,250,0,0.0,0.3451823
14,383,1,0.0026109660574412533,0.3552252
15,354,0,0.0,0.36501205
16,237,0,0.0,0.3707519
