typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35024115
1,1334,0,0.0,0.34433943
2,345,51,0.14782608695652175,0.38455063
3,1870,0,0.0,0.35832033
4,394,28,0.07106598984771574,0.3792374
5,656,1,0.001524390243902439,0.35181972
6,529,0,0.0,0.3746625
7,338,0,0.0,0.34540984
8,382,0,0.0,0.34594834
9,364,0,0.0,0.36924174
10,506,0,0.0,0.36663026
11,54,1,0.018518518518518517,0.3149873
12,945,0,0.0,0.36950204
13,250,0,0.0,0.3511083
14,383,1,0.0026109660574412533,0.35270268
15,354,0,0.0,0.36159766
16,237,0,0.0,0.3694057
