window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0007154563724623763,1.042884245855623,0.0,5,5,354,500430,0.0007073916431868593
2,0.0011432932297883534,1.1081604696544451,0.004,5,5,527,507591,0.0010382374785998963
3,0.001012686585257113,0.9945646780816929,0.0,5,5,505,491282,0.001027922863039965
4,0.0010332559561458264,1.1139894381534567,0.0,5,5,459,499675,0.0009185970881072697
5,0.0012501730511813116,1.195462692684915,0.004,5,5,545,497384,0.0010957328743988548
6,0.0008062105257218165,0.9128660224137043,0.0,5,5,447,505985,0.0008834253979861063
7,0.0012333551525398774,1.0161028807683241,0.0,5,5,663,547205,0.0012116117360038742
8,0.0010846992418526947,1.1033085770997837,0.0,5,5,515,526706,0.0009777750775574988
9,0.0013736664502248096,1.231155200924763,0.0,5,5,549,495320,0.0011083743842364533
10,0.0009389430549400467,1.1232493901901694,0.0,5,5,433,505142,0.0008571847124174985
11,0.0013311865744588028,1.1485938631382449,0.0,5,5,596,515249,0.001156722283789003
12,0.0012623903445487966,1.142801041736898,0.0,5,5,541,498124,0.0010860749532244983
13,0.0010220450130660722,1.3643503108108623,0.0,5,5,384,505970,0.0007589382769729431
14,0.0016356983683204218,1.2850058195068201,0.0,5,5,639,500366,0.0012770651882821774
15,0.006112690597004207,5.75618010042727,0.016,5,5,496,514226,0.0009645564401644413
16,0.0015767845663349819,1.2791536481276133,0.0,5,5,620,500613,0.0012384816215320017
17,0.004657330360449791,5.5087003477268635,0.008,5,5,450,491817,0.0009149744722122253
18,0.0022433375373813284,1.5006538981280833,0.0,5,5,604,413396,0.0014610688056972008
