window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0007239325612508627,1.056178837843198,0.0,5,5,354,500430,0.0007073916431868593
2,0.0010126667259725453,0.9882558920445783,0.0,5,5,527,507591,0.0010382374785998963
3,0.000988137802789027,0.9693098923586632,0.0,5,5,505,491282,0.001027922863039965
4,0.0010184725472302649,1.0966451934567156,0.004,5,5,459,499675,0.0009185970881072697
5,0.0014584800328003625,1.3941885925260282,0.008,5,5,545,497384,0.0010957328743988548
6,0.0008167024234225313,0.923414888978583,0.0,5,5,447,505985,0.0008834253979861063
7,0.0013497512187863557,1.1115460346941073,0.0,5,5,663,547205,0.0012116117360038742
8,0.0012241295114739314,1.2425354965871735,0.0,5,5,515,526706,0.0009777750775574988
9,0.0018152237347874654,1.6312357480314883,0.0,5,5,549,495320,0.0011083743842364533
10,0.0013212067140735855,1.5374189290736562,0.0,5,5,433,505142,0.0008571847124174985
11,0.0233989915202283,20.51621193792915,0.08399999999999999,5,5,596,515249,0.001156722283789003
12,0.003927808329743353,3.3818412320341964,0.02,5,5,541,498124,0.0010860749532244983
13,0.020828647240095005,23.836584262051105,0.048,5,5,384,505970,0.0007589382769729431
14,0.008532973939649205,6.70397409654551,0.024,5,5,639,500366,0.0012770651882821774
15,0.01999567564173338,20.263363365505814,0.10800000000000001,5,5,496,514226,0.0009645564401644413
16,0.007140041234424059,5.551399187202873,0.036,5,5,620,500613,0.0012384816215320017
17,0.006888168326673903,7.146499835113429,0.036,5,5,450,491817,0.0009149744722122253
18,0.011059371777010524,7.001678418823961,0.039999999999999994,5,5,604,413396,0.0014610688056972008
