window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0012766215017739055,1.3433764519150508,0.0,93,97863,0.0009503080837497317
0,1,0.0075390632869607906,5.459063648544927,0.06,135,97754,0.0013810176565664833
0,2,0.0019010566888868667,1.6357117850095628,0.0,116,99809,0.001162219839894198
0,3,0.0017115057424923882,1.6101745348560008,0.0,102,95961,0.0010629318160502704
0,4,0.0010467421525909896,1.0151724092688454,0.0,100,96984,0.001031097913057824
1,0,0.0005701351108386376,0.9173473933393679,0.0,64,102976,0.0006215040397762585
1,1,0.02385513913235579,27.705465802426474,0.04,89,103365,0.0008610264596333382
1,2,0.0009984969061103452,1.0096114878329068,0.0,99,100102,0.0009889912289464747
1,3,0.00047762295681050683,0.9435441511791562,0.0,50,98775,0.0005062009617818274
1,4,0.0005235076215790451,0.9585424551112316,0.0,52,95212,0.0005461496450027307
2,0,0.0008910017281808854,0.8087893861136908,0.0,115,104389,0.00110164864114035
2,1,0.0009086821459035465,1.0696668107289702,0.0,86,101236,0.0008495001778023628
2,2,0.0008294374305695041,0.7888654204043827,0.0,106,100815,0.0010514308386648811
2,3,0.0011018870478168687,1.0231633398450635,0.0,108,100284,0.001076941486179251
2,4,0.0011180112379179784,1.0068789244202923,0.0,112,100867,0.001110373065521925
3,0,0.0009126926273887313,0.8571748387112854,0.0,105,98613,0.0010647683368318578
3,1,0.0006949044951649632,0.8479636445259275,0.0,81,98841,0.000819497981606823
3,2,0.000723085938429568,0.9134171825865873,0.0,77,97268,0.0007916272566517251
3,3,0.001271502529714042,1.0678991118149601,0.0,117,98265,0.0011906579148221645
3,4,0.0010565242901954533,0.8308084408380966,0.0,125,98295,0.0012716821811892772
4,0,0.0008928558435028858,0.9583472798587933,0.0,97,104115,0.0009316621044037843
4,1,0.0011434079055000885,0.9904281685218739,0.0,111,96149,0.0011544581846925086
4,2,0.0028813180740417835,3.759972326723294,0.02,78,101786,0.0007663136384178571
4,3,0.0007330344269682156,0.9182972797384358,0.0,79,98966,0.0007982539457995675
4,4,0.0009355513358050079,0.9819208429700668,0.0,94,98659,0.0009527767360301645
5,0,0.0011748475138182238,1.224970344994489,0.02,98,102181,0.0009590824125815954
5,1,0.0010630778785836567,0.879865265192085,0.0,120,99319,0.0012082280329040768
5,2,0.0010656110930363004,0.9155013817181427,0.0,113,97082,0.0011639644836323932
5,3,0.0009456715602874784,0.8862561236978849,0.0,111,104026,0.0010670409320746737
5,4,0.0009786055659126362,0.9004691370382136,0.0,103,94776,0.0010867730227061704
6,0,0.0007484904487147074,0.9667724410546928,0.0,81,104622,0.0007742157481218099
6,1,0.0008415005338716718,0.9015039508869003,0.0,95,101774,0.0009334407609016055
6,2,0.0007674112720338181,0.834281066874828,0.0,95,103278,0.0009198474021572843
6,3,0.0008891861661393141,0.9240703434151165,0.0,95,98727,0.0009622494353115155
6,4,0.0008188308470020761,0.9864788811586492,0.0,81,97584,0.0008300541072306936
