typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.33141384
1,1334,2,0.0014992503748125937,0.3311558
2,345,44,0.12753623188405797,0.33595014
3,1870,1,0.0005347593582887701,0.35345966
4,394,36,0.09137055837563451,0.35295114
5,656,0,0.0,0.34637976
6,529,0,0.0,0.36988795
7,338,0,0.0,0.3382253
8,382,0,0.0,0.33979118
9,364,0,0.0,0.3704349
10,506,0,0.0,0.3674045
11,54,6,0.1111111111111111,0.32529366
12,945,1,0.0010582010582010583,0.35450292
13,250,3,0.012,0.3496689
14,383,1,0.0026109660574412533,0.3466961
15,354,0,0.0,0.36050028
16,237,0,0.0,0.35478523
