window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.005301717850766137,6.327814414437759,0.008,5,5,354,500430,0.0007073916431868593
2,0.0010054609997009645,0.9766172641888161,0.0,5,5,527,507591,0.0010382374785998963
3,0.0009107310087185496,0.8840647129187913,0.0,5,5,505,491282,0.001027922863039965
4,0.0013736185906532531,1.5933571491593086,0.008,5,5,459,499675,0.0009185970881072697
5,0.0019836639794266068,1.9416048346985169,0.004,5,5,545,497384,0.0010957328743988548
6,0.00081662423758707,0.9261160315077429,0.0,5,5,447,505985,0.0008834253979861063
7,0.0012344421566481277,1.0221716195108193,0.0,5,5,663,547205,0.0012116117360038742
8,0.0011946728372410763,1.2192814378769197,0.0,5,5,515,526706,0.0009777750775574988
9,0.0017961147167158571,1.817148283424629,0.004,5,5,549,495320,0.0011083743842364533
10,0.0010805252517528765,1.2698608160519,0.0,5,5,433,505142,0.0008571847124174985
11,0.0018538458404458807,1.613803715127986,0.0,5,5,596,515249,0.001156722283789003
12,0.0014506125923841775,1.3680814420168712,0.0,5,5,541,498124,0.0010860749532244983
13,0.0018014892669320445,2.469112053437473,0.0,5,5,384,505970,0.0007589382769729431
14,0.0020931359304992092,1.607614169887432,0.0,5,5,639,500366,0.0012770651882821774
15,0.006982091106917883,7.370264742637792,0.02,5,5,496,514226,0.0009645564401644413
16,0.0024818710784362506,2.0058966017367394,0.0,5,5,620,500613,0.0012384816215320017
17,0.0033406856472415016,3.4234778625834124,0.008,5,5,450,491817,0.0009149744722122253
18,0.002917559758780327,2.0198635903992743,0.0,5,5,604,413396,0.0014610688056972008
