window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.005284980345538865,6.3069022579778276,0.008,5,5,354,500430,0.0007073916431868593
2,0.0009698039180777567,0.9394727763024798,0.0,5,5,527,507591,0.0010382374785998963
3,0.0009366170943168849,0.9051493107366253,0.0,5,5,505,491282,0.001027922863039965
4,0.0013369557549819731,1.5475756918052475,0.004,5,5,459,499675,0.0009185970881072697
5,0.0010838838393818588,0.9977079223739409,0.004,5,5,545,497384,0.0010957328743988548
6,0.0008518272607703922,0.9662562561631158,0.0,5,5,447,505985,0.0008834253979861063
7,0.0013069299076175543,1.0821785684034702,0.0,5,5,663,547205,0.0012116117360038742
8,0.0011884788608674851,1.2186651512421456,0.0,5,5,515,526706,0.0009777750775574988
9,0.002831874748825568,2.541694073407709,0.016,5,5,549,495320,0.0011083743842364533
10,0.007084172906003605,7.492209792108136,0.016,5,5,433,505142,0.0008571847124174985
11,0.013164761363964037,13.207246334829401,0.06,5,5,596,515249,0.001156722283789003
12,0.0016261095743100647,1.5477860659645686,0.0,5,5,541,498124,0.0010860749532244983
13,0.03194063774421683,50.15858602362776,0.052000000000000005,5,5,384,505970,0.0007589382769729431
14,0.0023536170168992577,1.79518190518917,0.0,5,5,639,500366,0.0012770651882821774
15,0.019821444729081907,20.20715167346122,0.052000000000000005,5,5,496,514226,0.0009645564401644413
16,0.0401149682242711,34.234080850652404,0.096,5,5,620,500613,0.0012384816215320017
17,0.011957269513976874,14.349191417883057,0.06000000000000001,5,5,450,491817,0.0009149744722122253
18,0.01903795060312295,13.945462485522048,0.064,5,5,604,413396,0.0014610688056972008
