window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.018088948150322644,15.863349747900221,0.04,110,96466,0.0011402981361308647
0,1,0.0012656527490814166,1.474470562647508,0.0,85,99024,0.0008583777670059784
0,2,0.000885287189572566,0.9065611827505597,0.0,98,100355,0.0009765333067609985
0,3,0.001540934654564376,1.2884452677040885,0.0,117,97829,0.0011959643868382586
0,4,0.0010849788661409716,0.7554723800511146,0.0,136,94697,0.001436159540428947
1,0,0.006323983990540299,10.525908500713888,0.02,61,101531,0.0006008017255813495
1,1,0.08280095350286311,136.8170378256981,0.1,61,100794,0.0006051947536559716
1,2,0.000639413599902152,0.9030501312195548,0.0,71,100274,0.000708059915830624
1,3,0.001162602968023294,1.416500923702481,0.0,80,97471,0.0008207569430907655
1,4,0.000754680313486468,0.9350582254506411,0.0,81,100360,0.0008070944599442008
2,0,0.0013102510698782723,1.636356183032601,0.02,80,99911,0.0008007126342444775
2,1,0.011636164038936728,12.597066216678398,0.02,95,102845,0.000923720161407944
2,2,0.0011245295010260373,1.0881202062381,0.0,106,102568,0.0010334607284923172
2,3,0.0009883816044792125,0.7957667538966305,0.0,124,99835,0.001242049381479441
2,4,0.0009225578584071408,0.7745856274783627,0.0,122,102432,0.001191034051858794
3,0,0.005915226792103658,5.738355654359569,0.02,101,97980,0.0010308226168605837
3,1,0.0008996047947153826,0.804651913860559,0.0,111,99284,0.0011180049151927802
3,2,0.0009383022593394785,0.7853828462093301,0.0,118,98769,0.001194706841215361
3,3,0.0013172863410105342,1.2530653712765158,0.0,101,96076,0.0010512510928847995
3,4,0.0006168137075387592,0.8266387272667751,0.0,74,99173,0.0007461708327871498
4,0,0.0010816633817833166,0.9138313914691577,0.0,118,99691,0.0011836575016801918
4,1,0.0007901780182791504,0.9595865412694983,0.0,84,102009,0.0008234567538158398
4,2,0.0007497372478530602,0.8094635988260502,0.0,92,99329,0.0009262149019923688
4,3,0.0008301444787135411,1.0281493099326229,0.0,81,100320,0.0008074162679425837
4,4,0.0007695778512592448,0.9008275214632917,0.0,84,98326,0.0008543009987185485
5,0,0.0011549451080946744,0.9083419448593277,0.0,129,101456,0.0012714871471376755
5,1,0.0010668442406074684,0.9104766930959756,0.0,114,97291,0.0011717425044454265
5,2,0.0009350750568162214,0.974214627051529,0.0,98,102102,0.0009598244892362539
5,3,0.0010775452109548181,1.1530917872832989,0.0,91,97380,0.0009344834668309714
5,4,0.00101588592540848,0.8914174241936091,0.0,113,99155,0.0011396298724219657
6,0,0.0009215920646174514,0.9234808721162218,0.0,101,101207,0.0009979546869287698
6,1,0.0007511853634274233,1.19773427569964,0.0,61,97262,0.0006271719684974604
6,2,0.000887549503619777,0.841081724934936,0.0,107,101398,0.0010552476380204737
6,3,0.0009621913773361619,1.1204110307174393,0.0,87,101306,0.0008587842773379662
6,4,0.000840442572158858,0.9680051304737827,0.0,91,104812,0.0008682211960462543
7,0,0.0011867807508132713,1.0718101395650634,0.0,121,109278,0.0011072677025567817
7,1,0.0014100499981113575,1.098234811210167,0.0,138,107483,0.0012839239693719006
7,2,0.0014671244945484705,1.1023430816950184,0.0,146,109699,0.001330914593569677
7,3,0.0014353854640573455,1.397206664363786,0.02,117,113888,0.001027325091317786
7,4,0.0014868805901058716,1.1268340369995966,0.0,141,106857,0.0013195204806423538
8,0,0.0010328714448178174,1.0954400284234824,0.0,97,102876,0.000942882693728372
8,1,0.000991789241438929,1.1181052073804914,0.0,94,105972,0.0008870267617861322
8,2,0.0016460371284359675,1.665867956697601,0.02,105,106265,0.0009880957982402485
8,3,0.0017159034728820473,1.6374820465943838,0.02,111,105927,0.0010478914724291258
8,4,0.0011246669021569215,1.1003616007714192,0.0,108,105666,0.0010220884674351258
9,0,0.0018998989493289409,1.9808063482030234,0.02,94,98003,0.000959154311602706
9,1,0.001798943814089468,1.5173091658614615,0.0,117,98683,0.0011856145435384007
9,2,0.0011648852228854307,1.367968061800794,0.0,86,100993,0.0008515441664273762
9,3,0.0031000258374520497,1.958203248930659,0.04,153,96646,0.0015830970759265774
9,4,0.0013924727399898316,1.4205331755078083,0.0,99,100995,0.0009802465468587555
10,0,0.0010430981803276616,1.4916610772268009,0.0,68,97242,0.0006992863166121635
10,1,0.0010734529465847868,1.3968612197704136,0.0,79,102801,0.0007684750148344861
10,2,0.0014539284946850559,1.8447161047199172,0.0,82,104040,0.000788158400615148
10,3,0.0025135866062575723,2.3003887604722713,0.02,110,100670,0.0010926790503625707
10,4,0.0018986454557564547,2.027692751680157,0.0,94,100389,0.0009363575690563707
11,0,0.0025072563312625927,2.8673152432835725,0.0,89,101781,0.0008744264646643283
11,1,0.0021299059192279716,2.241660778785831,0.02,98,103142,0.0009501464001085882
11,2,0.008765105996493994,6.913661355051358,0.12,131,103329,0.0012677951010848841
11,3,0.0022869416406773938,1.5273030506727656,0.0,159,106186,0.0014973725349857797
11,4,0.006423938784863977,5.442047838999348,0.06,119,100811,0.0011804267391455298
12,0,0.0014656824152591403,1.355811542885092,0.0,106,98054,0.0010810369796234727
12,1,0.0014028683924624252,1.6093367043332962,0.0,91,104393,0.0008717059572959872
12,2,0.0015768906672048318,1.6966130586303063,0.0,91,97909,0.0009294344748695217
12,3,0.0026035458807568018,2.2688275134620053,0.0,112,97601,0.0011475292261349781
12,4,0.004255433922359293,3.023078366673499,0.0,141,100167,0.0014076492257929258
13,0,0.002756523847008464,4.642519679106836,0.0,62,104420,0.0005937559854434016
13,1,0.05359149515763979,89.32837863824399,0.12,62,103344,0.0005999380709088094
13,2,0.0801840937548927,99.25287355097812,0.14,80,99025,0.0008078767987881848
13,3,0.0022016358831814633,2.4635805161008943,0.0,88,98470,0.0008936731999593785
13,4,0.012761825726486296,13.970176421088711,0.02,92,100711,0.000913504979595079
14,0,0.0026842970733605516,2.710948308588917,0.0,98,98973,0.000990169035999717
14,1,0.004373333510279948,2.839234545256177,0.04,158,102576,0.0015403213227265637
14,2,0.007066771823685043,4.12414394503501,0.0,176,102713,0.0017135124083611617
14,3,0.0014231087999672855,1.5177837907780123,0.0,93,99187,0.0009376228739653382
14,4,0.00391635560965818,3.3294862861512438,0.0,114,96917,0.001176264226090366
15,0,0.00645927975770053,6.3265127797105665,0.02,101,98924,0.0010209858072864017
15,1,0.05869011170727831,91.25725469364704,0.08,70,108843,0.0006431281754453662
15,2,0.12802203180304553,107.87707737717787,0.32,121,101960,0.0011867398979992154
15,3,0.002425335885151547,2.7086420647137492,0.0,90,100513,0.0008954065643250127
15,4,0.050665991461266185,46.21538410606338,0.14,114,103986,0.0010963014251918527
16,0,0.0034609943082474347,2.662343651965489,0.0,132,101540,0.0012999803033287374
16,1,0.005930969820639667,4.275466687418546,0.06,140,100922,0.0013872099244961456
16,2,0.05033115904241278,42.68664630785524,0.2,121,102622,0.001179084406852332
16,3,0.003473541758187438,2.6430851536453024,0.0,124,94354,0.0013141997159632872
16,4,0.057090654988477894,56.079097266594665,0.24,103,101175,0.0010180380528786756
17,0,0.07445784389408677,84.74704194561552,0.14,85,96746,0.0008785892956814752
17,1,0.02031196656271151,28.864174998465746,0.04,70,99473,0.0007037085440270224
17,2,0.02867055361974205,33.20016379103047,0.1,85,98429,0.0008635666317853479
17,3,0.028080103302565558,28.111303417346186,0.04,99,99110,0.0009988901220865706
