window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.018088948150322644,15.863349747900221,0.04,110,96466,0.0011402981361308647
0,1,0.0012656527490814166,1.474470562647508,0.0,85,99024,0.0008583777670059784
0,2,0.000885287189572566,0.9065611827505597,0.0,98,100355,0.0009765333067609985
0,3,0.001540934654564376,1.2884452677040885,0.0,117,97829,0.0011959643868382586
0,4,0.0010849788661409716,0.7554723800511146,0.0,136,94697,0.001436159540428947
1,0,0.006323983990540299,10.525908500713888,0.02,61,101531,0.0006008017255813495
1,1,0.08280095350286311,136.8170378256981,0.1,61,100794,0.0006051947536559716
1,2,0.000639413599902152,0.9030501312195548,0.0,71,100274,0.000708059915830624
1,3,0.001162602968023294,1.416500923702481,0.0,80,97471,0.0008207569430907655
1,4,0.0007546804220040894,0.9350583599053138,0.0,81,100360,0.0008070944599442008
2,0,0.0013102509130256243,1.6363559871412894,0.02,80,99911,0.0008007126342444775
2,1,0.011636179194222331,12.597082623471533,0.02,95,102845,0.000923720161407944
2,2,0.001124529724461855,1.0881204224396563,0.0,106,102568,0.0010334607284923172
2,3,0.0009883816044792125,0.7957667538966305,0.0,124,99835,0.001242049381479441
2,4,0.000922557878883853,0.7745856446707445,0.0,122,102432,0.001191034051858794
3,0,0.005915227230628386,5.7383560797719735,0.02,101,97980,0.0010308226168605837
3,1,0.0008996047947153826,0.804651913860559,0.0,111,99284,0.0011180049151927802
3,2,0.0009383022593394785,0.7853828462093301,0.0,118,98769,0.001194706841215361
3,3,0.001317287055018236,1.2530660504745748,0.0,101,96076,0.0010512510928847995
3,4,0.0006168138839167754,0.8266389636443022,0.0,74,99173,0.0007461708327871498
4,0,0.0010823206771853494,0.9143867002481751,0.0,118,99691,0.0011836575016801918
4,1,0.0007885717310501217,0.9576358775320459,0.0,84,102009,0.0008234567538158398
4,2,0.000749666841868098,0.8093875840860468,0.0,92,99329,0.0009262149019923688
4,3,0.0008300670968573956,1.0280534710707891,0.0,81,100320,0.0008074162679425837
4,4,0.0007710821137852119,0.9025883323814851,0.0,84,98326,0.0008543009987185485
5,0,0.0011591224509182425,0.9116273440338077,0.0,129,101456,0.0012714871471376755
5,1,0.0010666030237795501,0.910270831460844,0.0,114,97291,0.0011717425044454265
5,2,0.0009317333286845495,0.97073302372806,0.0,98,102102,0.0009598244892362539
5,3,0.0010755506379772197,1.1509573750134248,0.0,91,97380,0.0009344834668309714
5,4,0.0010099481529949406,0.8862071602673746,0.0,113,99155,0.0011396298724219657
6,0,0.000923267665647713,0.9251599072990899,0.0,101,101207,0.0009979546869287698
6,1,0.0007510100182156001,1.1974546949456673,0.0,61,97262,0.0006271719684974604
6,2,0.0008854995240822102,0.8391390723634389,0.0,107,101398,0.0010552476380204737
6,3,0.0009619941462726319,1.120181367612589,0.0,87,101306,0.0008587842773379662
6,4,0.0008406575654362555,0.9682527554780749,0.0,91,104812,0.0008682211960462543
7,0,0.0011707762321070939,1.0573560751421405,0.0,121,109278,0.0011072677025567817
7,1,0.0014083161705511237,1.0968843982561336,0.0,138,107483,0.0012839239693719006
7,2,0.0014503979488631946,1.0897753739201614,0.0,146,109699,0.001330914593569677
7,3,0.0014312774885940848,1.3932079540256677,0.02,117,113888,0.001027325091317786
7,4,0.001505552862753856,1.1409848386899915,0.0,141,106857,0.0013195204806423538
8,0,0.0010050967250713598,1.0659827906024868,0.0,97,102876,0.000942882693728372
8,1,0.000990944565374621,1.1171529519348864,0.0,94,105972,0.0008870267617861322
8,2,0.0015958468313951,1.6150729860780981,0.02,105,106265,0.0009880957982402485
8,3,0.001711858045192047,1.633621505883405,0.02,111,105927,0.0010478914724291258
8,4,0.0011296965861812692,1.1052825877354628,0.0,108,105666,0.0010220884674351258
9,0,0.001967158848452009,2.0509305172855554,0.02,94,98003,0.000959154311602706
9,1,0.0018014012965987339,1.519381915831221,0.0,117,98683,0.0011856145435384007
9,2,0.0010989570126746409,1.290546111407558,0.0,86,100993,0.0008515441664273762
9,3,0.003073695495794145,1.9415710776896793,0.04,153,96646,0.0015830970759265774
9,4,0.0014248507289159815,1.4535636299683792,0.0,99,100995,0.0009802465468587555
10,0,0.0009141887796910865,1.3073168428635387,0.0,68,97242,0.0006992863166121635
10,1,0.001066867099029273,1.3882911980671935,0.0,79,102801,0.0007684750148344861
10,2,0.0012587305361394766,1.5970527436579407,0.0,82,104040,0.000788158400615148
10,3,0.0024082568077545717,2.20399284396957,0.02,110,100670,0.0010926790503625707
10,4,0.008208511760906733,8.766428586868788,0.06,94,100389,0.0009363575690563707
11,0,0.0025124796330781483,2.8732886464531124,0.0,89,101781,0.0008744264646643283
11,1,0.0017372479181741902,1.8284002528196155,0.02,98,103142,0.0009501464001085882
11,2,0.0030771717745452986,2.427183834290009,0.0,131,103329,0.0012677951010848841
11,3,0.0022085684597079724,1.4749625815254763,0.0,159,106186,0.0014973725349857797
11,4,0.016036859611012918,13.585645833998514,0.08,119,100811,0.0011804267391455298
12,0,0.0014390756602237085,1.3311992904488257,0.0,106,98054,0.0010810369796234727
12,1,0.0013664842509056247,1.5675976967559437,0.0,91,104393,0.0008717059572959872
12,2,0.0015473638476430041,1.6648444720755922,0.0,91,97909,0.0009294344748695217
12,3,0.00247305335703116,2.1551114348178415,0.0,112,97601,0.0011475292261349781
12,4,0.005030384991727129,3.5736069040165344,0.02,141,100167,0.0014076492257929258
13,0,0.01676827010495905,28.241012328384258,0.08,62,104420,0.0005937559854434016
13,1,0.038735739473898544,64.56623000307373,0.1,62,103344,0.0005999380709088094
13,2,0.07022305051380867,86.9229697141238,0.14,80,99025,0.0008078767987881848
13,3,0.002135734107555966,2.3898379269435908,0.0,88,98470,0.0008936731999593785
13,4,0.014104317488729642,15.439781723994033,0.04,92,100711,0.000913504979595079
14,0,0.0025063801074496797,2.5312648813736445,0.0,98,98973,0.000990169035999717
14,1,0.003869162205274696,2.5119188757484636,0.04,158,102576,0.0015403213227265637
14,2,0.006642485818642715,3.8765320789218705,0.0,176,102713,0.0017135124083611617
14,3,0.0013687082728090802,1.4597641661840242,0.0,93,99187,0.0009376228739653382
14,4,0.014835608721248412,12.612479740677475,0.1,114,96917,0.001176264226090366
15,0,0.02610164738045466,25.56514223231779,0.2,101,98924,0.0010209858072864017
15,1,0.05381142378253236,83.67138283945958,0.08,70,108843,0.0006431281754453662
15,2,0.1195266339285847,100.71847599469832,0.32,121,101960,0.0011867398979992154
15,3,0.0023616849497329617,2.6375559928056576,0.0,90,100513,0.0008954065643250127
15,4,0.06548973348888948,59.73697742610229,0.16,114,103986,0.0010963014251918527
16,0,0.02911289186734276,22.394871516742302,0.18,132,101540,0.0012999803033287374
16,1,0.003629305623988989,2.6162627298872625,0.02,140,100922,0.0013872099244961456
16,2,0.01813915736302542,15.384104189325576,0.14,121,102622,0.001179084406852332
16,3,0.0033631196885711896,2.5590628636729518,0.0,124,94354,0.0013141997159632872
16,4,0.08674751223962972,85.21048107616055,0.3,103,101175,0.0010180380528786756
17,0,0.04650083547577879,52.92670386987876,0.16,85,96746,0.0008785892956814752
17,1,0.019756102051436446,28.07426770517911,0.04,70,99473,0.0007037085440270224
17,2,0.030285633181973148,35.07040692315805,0.12,85,98429,0.0008635666317853479
