window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.018088948150322644,15.863349747900221,0.04,110,96466,0.0011402981361308647
0,1,0.0012656527490814166,1.474470562647508,0.0,85,99024,0.0008583777670059784
0,2,0.000885287189572566,0.9065611827505597,0.0,98,100355,0.0009765333067609985
0,3,0.001540934654564376,1.2884452677040885,0.0,117,97829,0.0011959643868382586
0,4,0.0010849788661409716,0.7554723800511146,0.0,136,94697,0.001436159540428947
1,0,0.006323997811260784,10.525931504510142,0.02,61,101531,0.0006008017255813495
1,1,0.08280097053178757,136.8170659636229,0.1,61,100794,0.0006051947536559716
1,2,0.0006394104082888352,0.903045623672601,0.0,71,100274,0.000708059915830624
1,3,0.00116266972908265,1.416582264542687,0.0,80,97471,0.0008207569430907655
1,4,0.0007548256835807126,0.9352383407921028,0.0,81,100360,0.0008070944599442008
2,0,0.00131329355123669,1.6401558999701118,0.02,80,99911,0.0008007126342444775
2,1,0.011637161047482048,12.598145557139906,0.02,95,102845,0.000923720161407944
2,2,0.001119769054792405,1.0835138906787491,0.0,106,102568,0.0010334607284923172
2,3,0.000989575962833679,0.7967283568508093,0.0,124,99835,0.001242049381479441
2,4,0.0009220037325709363,0.7741203797926735,0.0,122,102432,0.001191034051858794
3,0,0.005918127224562468,5.741169361016145,0.02,101,97980,0.0010308226168605837
3,1,0.0009029731022843419,0.8076646980828703,0.0,111,99284,0.0011180049151927802
3,2,0.0009373427050736091,0.78457967489335,0.0,118,98769,0.001194706841215361
3,3,0.0013178527095042887,1.2536041279042975,0.0,101,96076,0.0010512510928847995
3,4,0.0006174771426953723,0.8275278469260561,0.0,74,99173,0.0007461708327871498
4,0,0.0010836978130838205,0.9155501583401623,0.0,118,99691,0.0011836575016801918
4,1,0.0007922311672020733,0.9620798706561463,0.0,84,102009,0.0008234567538158398
4,2,0.0007507275090195926,0.8105327472109469,0.0,92,99329,0.0009262149019923688
4,3,0.0008317474358991652,1.0301346020914104,0.0,81,100320,0.0008074162679425837
4,4,0.0007726916061307223,0.9044723198143976,0.0,84,98326,0.0008543009987185485
5,0,0.0011609791623405816,0.9130876115846981,0.0,129,101456,0.0012714871471376755
5,1,0.0010702193605596824,0.9133571211246673,0.0,114,97291,0.0011717425044454265
5,2,0.0009344951044076598,0.9736103994921519,0.0,98,102102,0.0009598244892362539
5,3,0.0010788925173429544,1.1545335531742518,0.0,91,97380,0.0009344834668309714
5,4,0.0010075684880615032,0.8841190569357376,0.0,113,99155,0.0011396298724219657
6,0,0.000922201564996873,0.9240916216696883,0.0,101,101207,0.0009979546869287698
6,1,0.0007532376433442537,1.2010065519171935,0.0,61,97262,0.0006271719684974604
6,2,0.0008859813588464873,0.8395956806010852,0.0,107,101398,0.0010552476380204737
6,3,0.0009614351305611111,1.1195304291565968,0.0,87,101306,0.0008587842773379662
6,4,0.0008416458639755543,0.9693910581868769,0.0,91,104812,0.0008682211960462543
7,0,0.0011830183709628248,1.0684122441493848,0.0,121,109278,0.0011072677025567817
7,1,0.0014118377581023708,1.099627230102298,0.0,138,107483,0.0012839239693719006
7,2,0.0014520904717148474,1.0910470729907331,0.0,146,109699,0.001330914593569677
7,3,0.0014325404484184898,1.394437321277649,0.02,117,113888,0.001027325091317786
7,4,0.0014895667603991602,1.1288697540139934,0.0,141,106857,0.0013195204806423538
8,0,0.001026561609807082,1.0887479605207564,0.0,97,102876,0.000942882693728372
8,1,0.0009930811853484066,1.1195616954653334,0.0,94,105972,0.0008870267617861322
8,2,0.0015977217014466866,1.61697044384983,0.02,105,106265,0.0009880957982402485
8,3,0.0016603705549567405,1.584487133107231,0.02,111,105927,0.0010478914724291258
8,4,0.0011268386960705005,1.1024864598054214,0.0,108,105666,0.0010220884674351258
9,0,0.0018872880271584018,1.9676583885702643,0.02,94,98003,0.000959154311602706
9,1,0.0018057007500242859,1.5230082659371504,0.0,117,98683,0.0011856145435384007
9,2,0.0010909470333205185,1.281139694606269,0.0,86,100993,0.0008515441664273762
9,3,0.0029326453415153167,1.8524734750071197,0.04,153,96646,0.0015830970759265774
9,4,0.0013660546118463026,1.3935826820547204,0.0,99,100995,0.0009802465468587555
10,0,0.0010218654409937205,1.4612976354869318,0.0,68,97242,0.0006992863166121635
10,1,0.0010654840484016189,1.386491464047276,0.0,79,102801,0.0007684750148344861
10,2,0.0012962273056367434,1.64462791315179,0.0,82,104040,0.000788158400615148
10,3,0.0024187668099060504,2.2136114068476553,0.02,110,100670,0.0010926790503625707
10,4,0.009670841516014337,10.32815009522514,0.14,94,100389,0.0009363575690563707
11,0,0.002464276463160637,2.8181631763702564,0.0,89,101781,0.0008744264646643283
11,1,0.001743918281620629,1.835420606152193,0.02,98,103142,0.0009501464001085882
11,2,0.0029799881037138693,2.3505281738064916,0.0,131,103329,0.0012677951010848841
11,3,0.0022030518909631775,1.471278415684377,0.0,159,106186,0.0014973725349857797
11,4,0.016185236915504303,13.711343854528607,0.08,119,100811,0.0011804267391455298
12,0,0.0014511109949335473,1.3423324292190004,0.0,106,98054,0.0010810369796234727
12,1,0.0013643858751681993,1.5651904908399323,0.0,91,104393,0.0008717059572959872
12,2,0.0015384342956243293,1.655236960992115,0.0,91,97909,0.0009294344748695217
12,3,0.002496294198823478,2.1753643758872347,0.0,112,97601,0.0011475292261349781
12,4,0.0049931300374587385,3.5471408259725496,0.02,141,100167,0.0014076492257929258
13,0,0.0026086314484088514,4.3934402555298755,0.0,62,104420,0.0005937559854434016
13,1,0.03988385478010359,66.47995303862945,0.1,62,103344,0.0005999380709088094
13,2,0.06389249091103122,79.08692390581083,0.14,80,99025,0.0008078767987881848
13,3,0.002041923638252743,2.2848661438494045,0.0,88,98470,0.0008936731999593785
13,4,0.013667991867405289,14.96214270606798,0.02,92,100711,0.000913504979595079
14,0,0.002654017134419288,2.6803677331110225,0.0,98,98973,0.000990169035999717
14,1,0.003830524501573238,2.4868346916036486,0.04,158,102576,0.0015403213227265637
14,2,0.006785403727939272,3.959938483567196,0.0,176,102713,0.0017135124083611617
14,3,0.0013989545506782682,1.4920226346034988,0.0,93,99187,0.0009376228739653382
14,4,0.013104933239153264,11.141147497710675,0.1,114,96917,0.001176264226090366
15,0,0.005691959637734771,5.574964506963114,0.02,101,98924,0.0010209858072864017
15,1,0.05379615518605256,83.64764169879314,0.08,70,108843,0.0006431281754453662
15,2,0.11757685046091426,99.07550142970923,0.32,121,101960,0.0011867398979992154
15,3,0.002255198886393503,2.5186311740896685,0.0,90,100513,0.0008954065643250127
15,4,0.057524805879000766,52.47170582573486,0.16,114,103986,0.0010963014251918527
16,0,0.0033849696853316047,2.6038622867315997,0.0,132,101540,0.0012999803033287374
16,1,0.004022692049944392,2.8998437647463424,0.02,140,100922,0.0013872099244961456
16,2,0.03542578464574098,30.045164230704387,0.16,121,102622,0.001179084406852332
16,3,0.0032662730240058165,2.485370362153587,0.0,124,94354,0.0013141997159632872
16,4,0.04434469869099822,43.55897951516257,0.22,103,101175,0.0010180380528786756
17,0,0.024917573459724396,28.360888963935253,0.08,85,96746,0.0008785892956814752
17,1,0.02073954478205322,29.471781972931144,0.04,70,99473,0.0007037085440270224
17,2,0.029477366449184944,34.1344435556097,0.1,85,98429,0.0008635666317853479
