window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.018088948150322644,15.863349747900221,0.04,110,96466,0.0011402981361308647
0,1,0.0012656527490814166,1.474470562647508,0.0,85,99024,0.0008583777670059784
0,2,0.000885287189572566,0.9065611827505597,0.0,98,100355,0.0009765333067609985
0,3,0.001540934654564376,1.2884452677040885,0.0,117,97829,0.0011959643868382586
0,4,0.0010849788661409716,0.7554723800511146,0.0,136,94697,0.001436159540428947
1,0,0.006323983990540299,10.525908500713888,0.02,61,101531,0.0006008017255813495
1,1,0.08280095350286311,136.8170378256981,0.1,61,100794,0.0006051947536559716
1,2,0.000639413599902152,0.9030501312195548,0.0,71,100274,0.000708059915830624
1,3,0.001162602968023294,1.416500923702481,0.0,80,97471,0.0008207569430907655
1,4,0.000754680313486468,0.9350582254506411,0.0,81,100360,0.0008070944599442008
2,0,0.0013102510698782723,1.636356183032601,0.02,80,99911,0.0008007126342444775
2,1,0.011636164038936728,12.597066216678398,0.02,95,102845,0.000923720161407944
2,2,0.0011245295010260373,1.0881202062381,0.0,106,102568,0.0010334607284923172
2,3,0.0009883816044792125,0.7957667538966305,0.0,124,99835,0.001242049381479441
2,4,0.0009225578584071408,0.7745856274783627,0.0,122,102432,0.001191034051858794
3,0,0.005915226792103658,5.738355654359569,0.02,101,97980,0.0010308226168605837
3,1,0.0008996047947153826,0.804651913860559,0.0,111,99284,0.0011180049151927802
3,2,0.0009383022593394785,0.7853828462093301,0.0,118,98769,0.001194706841215361
3,3,0.0013172863410105342,1.2530653712765158,0.0,101,96076,0.0010512510928847995
3,4,0.0006168137075387592,0.8266387272667751,0.0,74,99173,0.0007461708327871498
4,0,0.001081949231531541,0.9140728884797529,0.0,118,99691,0.0011836575016801918
4,1,0.0007886276863481934,0.9577038292463436,0.0,84,102009,0.0008234567538158398
4,2,0.000749636881921438,0.8093552374388535,0.0,92,99329,0.0009262149019923688
4,3,0.0008299560813540846,1.027915976314096,0.0,81,100320,0.0008074162679425837
4,4,0.000771039856902163,0.9025388686876438,0.0,84,98326,0.0008543009987185485
5,0,0.0011578514602678795,0.910627734518899,0.0,129,101456,0.0012714871471376755
5,1,0.001066182781513475,0.9099121841774342,0.0,114,97291,0.0011717425044454265
5,2,0.0009315525439576641,0.9705446718690349,0.0,98,102102,0.0009598244892362539
5,3,0.00107453468767812,1.149870196550498,0.0,91,97380,0.0009344834668309714
5,4,0.0010097913562060932,0.8860695745541165,0.0,113,99155,0.0011396298724219657
6,0,0.0009223144893692514,0.924204777481127,0.0,101,101207,0.0009979546869287698
6,1,0.0007502528060312278,1.196247351150972,0.0,61,97262,0.0006271719684974604
6,2,0.0008853255780574192,0.8389742333071607,0.0,107,101398,0.0010552476380204737
6,3,0.0009618054343028791,1.1199616244538788,0.0,87,101306,0.0008587842773379662
6,4,0.0008405524317591339,0.9681316645883334,0.0,91,104812,0.0008682211960462543
7,0,0.0011832952430833443,1.0686622939972041,0.0,121,109278,0.0011072677025567817
7,1,0.0014075042016368964,1.096251986264772,0.0,138,107483,0.0012839239693719006
7,2,0.0014487881543352537,1.0885658338522124,0.0,146,109699,0.001330914593569677
7,3,0.0014294876646000205,1.3914657362903173,0.02,117,113888,0.001027325091317786
7,4,0.0015026597902542105,1.1387923206183983,0.0,141,106857,0.0013195204806423538
8,0,0.001029556387365924,1.0919241536768745,0.0,97,102876,0.000942882693728372
8,1,0.0009892837646483714,1.115280628801247,0.0,94,105972,0.0008870267617861322
8,2,0.0015970435223419239,1.616284094301567,0.02,105,106265,0.0009880957982402485
8,3,0.0017105513986838427,1.6323745766521027,0.02,111,105927,0.0010478914724291258
8,4,0.0011275606494694146,1.1031928109892144,0.0,108,105666,0.0010220884674351258
9,0,0.0019182404823203016,1.999928957328048,0.02,94,98003,0.000959154311602706
9,1,0.0017820752993229292,1.503081510795595,0.0,117,98683,0.0011856145435384007
9,2,0.0011064951342540507,1.299398408066504,0.0,86,100993,0.0008515441664273762
9,3,0.00307264636100017,1.940908367354395,0.04,153,96646,0.0015830970759265774
9,4,0.0014035167599967288,1.4317997492512082,0.0,99,100995,0.0009802465468587555
10,0,0.001031786632911265,1.475485231728783,0.0,68,97242,0.0006992863166121635
10,1,0.0010659218408514757,1.3870611539414248,0.0,79,102801,0.0007684750148344861
10,2,0.0012536570659101346,1.5906156236254927,0.0,82,104040,0.000788158400615148
10,3,0.0024719993720684883,2.262328879873952,0.02,110,100670,0.0010926790503625707
10,4,0.004216810962845767,4.503419529245997,0.0,94,100389,0.0009363575690563707
11,0,0.0028308970589488833,3.237432961313217,0.0,89,101781,0.0008744264646643283
11,1,0.0014433121717076897,1.5190418776966788,0.0,98,103142,0.0009501464001085882
11,2,0.003033458995218577,2.392704461961377,0.0,131,103329,0.0012677951010848841
11,3,0.0022062484742023766,1.4734132105764375,0.0,159,106186,0.0014973725349857797
11,4,0.018432950694255927,15.615497415450708,0.08,119,100811,0.0011804267391455298
12,0,0.0014644619456003294,1.3546825623952332,0.0,106,98054,0.0010810369796234727
12,1,0.0013561154170132067,1.555702821189667,0.0,91,104393,0.0008717059572959872
12,2,0.001547399711906241,1.6648830592640458,0.0,91,97909,0.0009294344748695217
12,3,0.002492324201332027,2.1719047711982786,0.0,112,97601,0.0011475292261349781
12,4,0.004872787283361003,3.461648821364692,0.02,141,100167,0.0014076492257929258
13,0,0.0068665728373309065,11.564637672162794,0.06,62,104420,0.0005937559854434016
13,1,0.039889421763359516,66.48923230181656,0.1,62,103344,0.0005999380709088094
13,2,0.06060159485669102,75.01341163354785,0.14,80,99025,0.0008078767987881848
13,3,0.0021788278997171224,2.4380589009675573,0.0,88,98470,0.0008936731999593785
13,4,0.014959033744633162,16.375426602779896,0.04,92,100711,0.000913504979595079
14,0,0.002552624503044803,2.5779684177536053,0.0,98,98973,0.000990169035999717
14,1,0.003869335085611425,2.5120311122890984,0.04,158,102576,0.0015403213227265637
14,2,0.0065755439666989,3.837465042338319,0.0,176,102713,0.0017135124083611617
14,3,0.001382258722204289,1.4742160847234065,0.0,93,99187,0.0009376228739653382
14,4,0.01462575487393154,12.434072676463359,0.1,114,96917,0.001176264226090366
15,0,0.016256984464496395,15.922831001641994,0.12,101,98924,0.0010209858072864017
15,1,0.044125863754018266,68.61130555112301,0.08,70,108843,0.0006431281754453662
15,2,0.12466479392326765,105.04811891253198,0.34,121,101960,0.0011867398979992154
15,3,0.002386449830271552,2.665213686556495,0.0,90,100513,0.0008954065643250127
15,4,0.06826780406342083,62.271016432797175,0.16,114,103986,0.0010963014251918527
16,0,0.0036644229319394454,2.818829579614631,0.0,132,101540,0.0012999803033287374
16,1,0.003828856455854184,2.7601132231265426,0.02,140,100922,0.0013872099244961456
16,2,0.022163925894856308,18.797573580016067,0.16,121,102622,0.001179084406852332
16,3,0.0035066455083835324,2.6682744378872565,0.0,124,94354,0.0013141997159632872
16,4,0.10284063583538389,101.0184595208249,0.3,103,101175,0.0010180380528786756
17,0,0.07413237421006594,84.3765961803181,0.14,85,96746,0.0008785892956814752
17,1,0.019472309103463373,27.670985763554462,0.04,70,99473,0.0007037085440270224
17,2,0.03603449818283939,41.72752496045527,0.1,85,98429,0.0008635666317853479
17,3,0.016726499585789013,16.745084585328776,0.02,99,99110,0.0009988901220865706
