typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3637071
1,1334,1,0.0007496251874062968,0.3480676
2,345,72,0.20869565217391303,0.38581467
3,1870,1,0.0005347593582887701,0.35616574
4,394,46,0.116751269035533,0.37687448
5,656,0,0.0,0.3497646
6,529,1,0.001890359168241966,0.37254992
7,338,0,0.0,0.34237814
8,382,0,0.0,0.33992577
9,364,0,0.0,0.36687332
10,506,0,0.0,0.363103
11,54,0,0.0,0.311775
12,945,17,0.01798941798941799,0.373294
13,250,0,0.0,0.34910718
14,383,0,0.0,0.34710786
15,354,1,0.002824858757062147,0.3644011
16,237,0,0.0,0.37052873
