typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3628719
1,1334,5,0.0037481259370314842,0.3486809
2,345,80,0.2318840579710145,0.38611537
3,1870,1,0.0005347593582887701,0.3560027
4,394,50,0.12690355329949238,0.37706605
5,656,0,0.0,0.34984973
6,529,1,0.001890359168241966,0.37270138
7,338,0,0.0,0.3423481
8,382,0,0.0,0.33969948
9,364,0,0.0,0.36686337
10,506,0,0.0,0.3632796
11,54,0,0.0,0.31221145
12,945,17,0.01798941798941799,0.37293717
13,250,0,0.0,0.34890482
14,383,0,0.0,0.34703147
15,354,1,0.002824858757062147,0.3644461
16,237,0,0.0,0.37072113
