typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.36277473
1,1334,5,0.0037481259370314842,0.3476438
2,345,29,0.08405797101449275,0.38373846
3,1870,1,0.0005347593582887701,0.35573325
4,394,27,0.06852791878172589,0.37574768
5,656,0,0.0,0.34858894
6,529,1,0.001890359168241966,0.3716826
7,338,0,0.0,0.34120172
8,382,0,0.0,0.33916166
9,364,0,0.0,0.36605453
10,506,0,0.0,0.36267537
11,54,0,0.0,0.31183743
12,945,16,0.016931216931216932,0.37205324
13,250,0,0.0,0.34850344
14,383,0,0.0,0.34664002
15,354,1,0.002824858757062147,0.36367622
16,237,0,0.0,0.37011328
