window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.018389297992768904,21.50585970782695,0.032,5,5,354,500430,0.0007073916431868593
2,0.0013120448660187546,1.2625786554622356,0.004,5,5,527,507591,0.0010382374785998963
3,0.0015365298697806802,1.8093491504623647,0.004,5,5,505,491282,0.001027922863039965
4,0.006732253555777859,9.390716095394216,0.008,5,5,459,499675,0.0009185970881072697
5,0.0014504524837607468,1.3469691982328773,0.012,5,5,545,497384,0.0010957328743988548
6,0.0008924128874483433,1.0148341963981458,0.0,5,5,447,505985,0.0008834253979861063
7,0.0014058204226250798,1.164028442882368,0.0,5,5,663,547205,0.0012116117360038742
8,0.0014342116793072917,1.4933120285880153,0.004,5,5,515,526706,0.0009777750775574988
9,0.0019350716545321895,1.7170732508525912,0.0,5,5,549,495320,0.0011083743842364533
10,0.0018888826077172818,2.1445487132321577,0.0,5,5,433,505142,0.0008571847124174985
11,0.001994438151911425,1.717739701523913,0.0,5,5,596,515249,0.001156722283789003
12,0.005355967788375762,4.671768391678369,0.036,5,5,541,498124,0.0010860749532244983
13,0.0018803342180459689,2.4411254626103576,0.0,5,5,384,505970,0.0007589382769729431
14,0.011852496444721198,10.260111848456319,0.032,5,5,639,500366,0.0012770651882821774
15,0.003410725644409292,3.513419265532351,0.008,5,5,496,514226,0.0009645564401644413
16,0.02658740515648697,21.448094493548325,0.068,5,5,620,500613,0.0012384816215320017
17,0.003680644175999663,4.108196214877564,0.008,5,5,450,491817,0.0009149744722122253
18,0.017930249516845714,12.156276172988674,0.04,5,5,604,413396,0.0014610688056972008
