window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.01838929810339792,21.505859860822344,0.032,5,5,354,500430,0.0007073916431868593
2,0.0013120457073891667,1.2625795287550061,0.004,5,5,527,507591,0.0010382374785998963
3,0.00153653001225255,1.809349398961404,0.004,5,5,505,491282,0.001027922863039965
4,0.006732396725281142,9.390710383009027,0.008,5,5,459,499675,0.0009185970881072697
5,0.001401155786448678,1.3003299329949152,0.008,5,5,545,497384,0.0010957328743988548
6,0.000890959030091258,1.0134943825896545,0.0,5,5,447,505985,0.0008834253979861063
7,0.0014037024719679716,1.1632416603126874,0.0,5,5,663,547205,0.0012116117360038742
8,0.0014475344531449988,1.5063912106092863,0.004,5,5,515,526706,0.0009777750775574988
9,0.0019958116106747674,1.7840302742242027,0.0,5,5,549,495320,0.0011083743842364533
10,0.0071714784700431175,7.315226062156308,0.032,5,5,433,505142,0.0008571847124174985
11,0.0019916216670193524,1.7205525339653065,0.0,5,5,596,515249,0.001156722283789003
12,0.003526130674453654,3.1656966217194564,0.012,5,5,541,498124,0.0010860749532244983
13,0.001922537399149302,2.492617211302249,0.0,5,5,384,505970,0.0007589382769729431
14,0.009953863038189691,8.555288283585872,0.032,5,5,639,500366,0.0012770651882821774
15,0.00351959902149646,3.6110184705916857,0.004,5,5,496,514226,0.0009645564401644413
16,0.020505556634277777,16.54094302749091,0.05600000000000001,5,5,620,500613,0.0012384816215320017
17,0.003147911114609319,3.4430446414606797,0.008,5,5,450,491817,0.0009149744722122253
18,0.01812784734692306,12.274080968452335,0.04,5,5,604,413396,0.0014610688056972008
