typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.37517345
1,1334,0,0.0,0.3620916
2,345,2,0.005797101449275362,0.39159015
3,1870,0,0.0,0.3614908
4,394,3,0.007614213197969543,0.3907106
5,656,0,0.0,0.35195842
6,529,0,0.0,0.3746818
7,338,0,0.0,0.34633362
8,382,0,0.0,0.34684604
9,364,1,0.0027472527472527475,0.37014586
10,506,0,0.0,0.36650115
11,54,3,0.05555555555555555,0.33952707
12,945,1,0.0010582010582010583,0.37973878
13,250,1,0.004,0.3530638
14,383,0,0.0,0.35468566
15,354,0,0.0,0.36917904
16,237,0,0.0,0.37328497
