typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3611617
1,1334,6,0.004497751124437781,0.35017538
2,345,57,0.16521739130434782,0.3836089
3,1870,2,0.0010695187165775401,0.36619666
4,394,53,0.13451776649746192,0.38674256
5,656,0,0.0,0.3558132
6,529,1,0.001890359168241966,0.36840954
7,338,0,0.0,0.34699106
8,382,1,0.002617801047120419,0.34433028
9,364,1,0.0027472527472527475,0.3680965
10,506,1,0.001976284584980237,0.37420702
11,54,1,0.018518518518518517,0.30536062
12,945,3,0.0031746031746031746,0.37044972
13,250,0,0.0,0.33792025
14,383,0,0.0,0.35341153
15,354,0,0.0,0.37160504
16,237,3,0.012658227848101266,0.37342456
