typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35932392
1,1334,0,0.0,0.3430138
2,345,81,0.23478260869565218,0.3860566
3,1870,0,0.0,0.36255318
4,394,44,0.1116751269035533,0.38089883
5,656,0,0.0,0.3560661
6,529,2,0.003780718336483932,0.37051183
7,338,1,0.0029585798816568047,0.34705207
8,382,1,0.002617801047120419,0.34540138
9,364,1,0.0027472527472527475,0.36719543
10,506,1,0.001976284584980237,0.37362513
11,54,1,0.018518518518518517,0.2922027
12,945,3,0.0031746031746031746,0.37032717
13,250,0,0.0,0.33661956
14,383,1,0.0026109660574412533,0.35308126
15,354,0,0.0,0.37097555
16,237,3,0.012658227848101266,0.37103835
