window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0023747288229926562,3.3638182671784547,0.012,5,5,354,500430,0.0007073916431868593
2,0.0032362639695478596,3.66239566133669,0.004,5,5,527,507591,0.0010382374785998963
3,0.00196822814894219,1.915063983564266,0.008,5,5,505,491282,0.001027922863039965
4,0.002928314439474484,3.152112558384086,0.004,5,5,459,499675,0.0009185970881072697
5,0.0010881734804777526,0.991861066796514,0.004,5,5,545,497384,0.0010957328743988548
6,0.0008105399444766898,0.9144611897825239,0.0,5,5,447,505985,0.0008834253979861063
7,0.0012398211949273617,1.0138214931630112,0.0,5,5,663,547205,0.0012116117360038742
8,0.0018639018927494844,1.901251737775278,0.004,5,5,515,526706,0.0009777750775574988
9,0.0014039489627310372,1.3085460877678825,0.0,5,5,549,495320,0.0011083743842364533
10,0.03402253552262052,39.279852037427204,0.06000000000000001,5,5,433,505142,0.0008571847124174985
11,0.002531499518279446,2.1463840599059685,0.016,5,5,596,515249,0.001156722283789003
12,0.013579025322723029,10.979112690400028,0.044,5,5,541,498124,0.0010860749532244983
13,0.001012778843359298,1.303625239358758,0.0,5,5,384,505970,0.0007589382769729431
14,0.011370460536417973,8.719497704145954,0.088,5,5,639,500366,0.0012770651882821774
15,0.006338355345118368,7.201931533766292,0.016,5,5,496,514226,0.0009645564401644413
16,0.034091521640730975,26.91571999027567,0.124,5,5,620,500613,0.0012384816215320017
17,0.004041871316089757,4.804394201397697,0.016,5,5,450,491817,0.0009149744722122253
18,0.021186870410345067,16.25978101260174,0.072,5,5,604,413396,0.0014610688056972008
