typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35517672
1,1334,0,0.0,0.32670566
2,345,69,0.2,0.38133433
3,1870,1,0.0005347593582887701,0.3553543
4,394,65,0.1649746192893401,0.3846178
5,656,0,0.0,0.35104644
6,529,1,0.001890359168241966,0.36209014
7,338,1,0.0029585798816568047,0.34248477
8,382,1,0.002617801047120419,0.33643612
9,364,1,0.0027472527472527475,0.36058435
10,506,0,0.0,0.36297238
11,54,0,0.0,0.2994745
12,945,2,0.0021164021164021165,0.36740202
13,250,1,0.004,0.34252864
14,383,1,0.0026109660574412533,0.3434526
15,354,1,0.002824858757062147,0.36342165
16,237,1,0.004219409282700422,0.3676028
