window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0034051759322418816,4.655742009496653,0.008,5,5,326,500402,0.0006514762131246478
2,0.0010866909597023375,1.2264239620486692,0.008,5,5,439,507503,0.0008650195171260071
3,0.0008798409152050406,0.9572488308329608,0.0,5,5,442,491219,0.000899802328492994
4,0.0008516574718124562,1.0147686008434147,0.0,5,5,420,499636,0.000840611965510892
5,0.001025841616358078,1.1003841776722696,0.004,5,5,457,497296,0.0009189697886168399
6,0.0007903192588027382,0.9884536412681186,0.0,5,5,396,505934,0.0007827107883636996
7,0.0012419580501069837,1.1471521248036456,0.0,5,5,610,547152,0.0011148638769482703
8,0.0009778096362025655,1.0785896164737319,0.0,5,5,480,526671,0.0009113849063267201
9,0.0012336373757877693,1.0825153701758903,0.0,5,5,565,495336,0.0011406398888835054
10,0.001007971375600353,1.107940502636536,0.0,5,5,464,505173,0.0009184972276823979
11,0.0012623649245043262,1.0438135429524802,0.0,5,5,623,515276,0.0012090607751962055
12,0.0011855256436210664,1.0187073953300965,0.0,5,5,601,498184,0.0012063815778908997
13,0.0009603753114400078,1.0655544591854758,0.0,5,5,459,506045,0.0009070339594304854
14,0.0046507237285267405,3.441979763333587,0.008,5,5,699,500426,0.0013968099179499068
15,0.002532986431798381,1.9579201402636304,0.004,5,5,559,514289,0.001086937500121527
16,0.0014243862024385114,1.0937400940839788,0.0,5,5,676,500669,0.0013501934411757068
17,0.0015676480308538527,1.4915330249682015,0.008,5,5,511,491878,0.001038875493516685
18,0.0027332231465303316,1.7782060514982603,0.004,5,5,665,413457,0.00160838974790607
