window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0017377221714575926,1.5496567980727272,0.0,111,98987,0.0011213593704223787
0,1,0.000756853449403942,1.127073044513939,0.0,64,95306,0.0006715212053805637
0,2,0.0011185265969147918,0.9907324140132298,0.0,111,98318,0.0011289896051587705
0,3,0.0010074414398797134,1.2925081164004821,0.0,77,98788,0.0007794468963841762
0,4,0.0008483353099218651,0.8219435984301957,0.0,100,96889,0.0010321089081319862
1,0,0.0012064299659146022,2.834352894106764,0.0,43,101023,0.000425645645051127
1,1,0.0004767047326243235,0.8859512483678466,0.0,53,98500,0.0005380710659898477
1,2,0.0015426607461550717,1.5729836714466825,0.0,96,97887,0.000980722670017469
1,3,0.0017497505295502296,2.2662813156216335,0.02,79,102321,0.0007720800226737424
1,4,0.000419327545583531,0.8614613750237989,0.0,49,100665,0.0004867630258779119
2,0,0.0021502160406361125,2.0907808236638123,0.0,106,103070,0.0010284272824294168
2,1,0.0004466778858977518,0.5784826683066195,0.0,77,99721,0.0007721543105263686
2,2,0.000893671870714724,1.151988290559923,0.0,79,101835,0.0007757647174350665
2,3,0.0015178353185906655,1.534349366856932,0.0,100,101088,0.0009892371003482115
2,4,0.0007961666593588198,1.080525543415416,0.0,75,101787,0.0007368327979015002
3,0,0.000964970487738262,1.3214015046064058,0.0,73,99964,0.0007302628946420711
3,1,0.000846162409203912,0.7992784395987982,0.0,103,97293,0.001058657868500303
3,2,0.0008143202651987997,0.9612609231732867,0.0,83,97977,0.0008471375935168458
3,3,0.0009783671304919674,1.166684685201847,0.0,81,96591,0.000838587446035345
3,4,0.0007776884731686508,0.8222483680248885,0.0,94,99386,0.0009458072565552493
4,0,0.0007729859127124142,1.0008581957497125,0.0,78,100994,0.0007723231083034635
4,1,0.0010772217333854814,1.7978477542750115,0.02,61,101807,0.0005991729448859116
4,2,0.0008909908744229271,1.0852488848218025,0.0,81,98660,0.0008210014190147982
4,3,0.0008644560451830244,0.9148106098149356,0.0,96,101592,0.0009449562957713206
4,4,0.001261923848979054,1.2436001996209196,0.0,98,96577,0.0010147343570415315
5,0,0.0016129625038792139,1.6805221104219046,0.02,96,100021,0.0009597984423271113
5,1,0.0005830056091536016,0.8350364705867213,0.0,71,101693,0.0006981798157198627
5,2,0.0009422144239288706,1.1350739388268112,0.0,80,96375,0.0008300907911802854
5,3,0.0011298388726197393,0.8550620587986186,0.0,130,98384,0.001321353065539112
5,4,0.0007881049487878675,1.0058014828694986,0.0,79,100822,0.0007835591438376544
6,0,0.0007202555063648846,1.125318603078748,0.0,67,104680,0.0006400458540313336
6,1,0.00038214547288261465,0.8526909694574006,0.0,43,95947,0.00044816409059168083
6,2,0.0012909251786698548,0.9518453060097474,0.0,137,101015,0.0013562342226402018
6,3,0.0010185181802196068,0.924441657234144,0.0,112,101655,0.0011017657764005706
6,4,0.0007043562949527824,1.018548805057706,0.0,71,102671,0.0006915292536353985
7,0,0.0017653819961628593,1.548496275763303,0.02,124,108766,0.001140062151775371
7,1,0.0008640988376731522,1.1900987929873974,0.0,81,111559,0.0007260731989350926
7,2,0.0011652899073802882,0.9813948008602974,0.0,132,111169,0.0011873813743039877
7,3,0.0016998743272263483,1.36945817538925,0.0,138,111176,0.0012412750953443188
7,4,0.0013381333007626184,1.2050467154962534,0.0,116,104463,0.0011104410173937184
8,0,0.0007493069854463578,1.1397294759229601,0.0,67,101910,0.000657442841723089
8,1,0.0011622959850680287,1.2181326841906968,0.0,100,104804,0.0009541620548834014
8,2,0.0010859009884368347,0.8752522841021396,0.0,135,108812,0.001240671984707569
8,3,0.0011260388940271572,1.3254824133551195,0.0,92,108295,0.0008495313726395494
8,4,0.0010993855570373874,1.2291130527677991,0.0,92,102856,0.0008944543828264759
9,0,0.0012790266099250895,1.2662234243651325,0.0,99,98009,0.001010111316307686
9,1,0.0015175231016038026,1.5108308247257298,0.0,100,99559,0.001004429534246025
9,2,0.001500015403390596,1.1903098421270535,0.0,126,99985,0.001260189028354253
9,3,0.0016222272723581815,1.6842598326207476,0.0,92,95518,0.0009631692455872191
9,4,0.0014210974558223144,1.0606780966982112,0.0,137,102254,0.001339800887984822
10,0,0.002319299593204453,2.3213125702098756,0.02,106,106092,0.0009991328281114505
10,1,0.0014401499980841,1.4502166465707076,0.0,100,100699,0.000993058520938639
10,2,0.0012713679932777056,1.3266335815569201,0.0,98,102260,0.0009583414824955995
10,3,0.0006537760737875453,1.153570051941566,0.0,55,97046,0.000566741545246584
10,4,0.0010701861694225618,0.9552809553038403,0.0,111,99082,0.0011202842090389778
11,0,0.0016197822812772469,1.2328789573902643,0.0,137,104276,0.0013138210134642679
11,1,0.0021806459860567824,1.5005461159253932,0.0,150,103218,0.0014532349008893797
11,2,0.0031667778036295947,2.7849663814919823,0.0,118,103773,0.0011370973181848844
11,3,0.0014618978439714207,1.6317510956671333,0.0,91,101573,0.0008959073769604127
11,4,0.001185441553743929,1.065056844378197,0.0,114,102423,0.0011130312527459652
12,0,0.0011892337730464051,1.0619963774891277,0.0,112,100017,0.0011198096323624983
12,1,0.0030017633919948187,1.8838486061696516,0.0,155,97275,0.0015934207144692881
12,2,0.001140613484458541,0.8270705791902869,0.0,136,98615,0.0013791005425138163
12,3,0.0025107922021211605,2.9173452550268455,0.0,90,104573,0.0008606428045480191
12,4,0.0011712869134519075,1.0039161781875954,0.0,114,97710,0.0011667178385016887
13,0,0.0007708701829812401,0.8624936104441532,0.0,91,101816,0.0008937691521961185
13,1,0.00165230148490894,1.8296365377566668,0.0,92,101874,0.0009030763492156979
13,2,0.0016264330662428802,1.7947688885990183,0.0,92,101522,0.0009062075215224287
13,3,0.003697972057995086,4.570419539825778,0.0,81,100110,0.0008091099790230747
13,4,0.0010378470276832487,1.1486001319231611,0.0,91,100711,0.0009035755776429585
14,0,0.0019125285234454332,1.168359066470349,0.0,166,101409,0.0016369355777100653
