typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3595292
1,1334,0,0.0,0.31577173
2,345,35,0.10144927536231885,0.3893405
3,1870,1,0.0005347593582887701,0.3554992
4,394,24,0.06091370558375635,0.38235652
5,656,0,0.0,0.3481111
6,529,0,0.0,0.3707538
7,338,0,0.0,0.3430564
8,382,0,0.0,0.33494583
9,364,0,0.0,0.3716677
10,506,0,0.0,0.3687895
11,54,0,0.0,0.28662047
12,945,2,0.0021164021164021165,0.36919808
13,250,0,0.0,0.33297116
14,383,2,0.005221932114882507,0.3560939
15,354,0,0.0,0.3630425
16,237,0,0.0,0.36884293
