typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35037592
1,1334,0,0.0,0.32418084
2,345,22,0.06376811594202898,0.34876794
3,1870,1,0.0005347593582887701,0.35547963
4,394,30,0.07614213197969544,0.35105324
5,656,0,0.0,0.34520113
6,529,0,0.0,0.3636633
7,338,0,0.0,0.34049323
8,382,0,0.0,0.33020326
9,364,1,0.0027472527472527475,0.36523086
10,506,1,0.001976284584980237,0.3624956
11,54,0,0.0,0.302068
12,945,5,0.005291005291005291,0.3564019
13,250,0,0.0,0.33043385
14,383,2,0.005221932114882507,0.35259634
15,354,3,0.00847457627118644,0.3629441
16,237,0,0.0,0.36417294
