window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0005523994607374459,0.7323072430028835,0.0,76,100752,0.0007543274575194537
0,2,0.0005184573934932283,0.9913718630090123,0.0,51,97520,0.0005229696472518457
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015959124687953902,1.3828439049927341,0.0,112,97047,0.0011540799818644575
1,0,0.0006676710337935457,1.2288485376970208,0.0,54,99387,0.0005433306166802499
1,1,0.00033473603712086517,0.6984468256149124,0.0,50,104328,0.00047925772563453724
1,2,0.002101501575123127,2.9305896313260513,0.02,69,96222,0.0007170917253850471
1,3,0.0006634621520735563,1.2102635319161423,0.0,55,100329,0.0005481964337330184
1,4,0.0008995673095855752,1.169612742846232,0.0,77,100115,0.0007691155171552714
2,0,0.0007484073685726483,0.9436855612174665,0.0,80,100874,0.0007930685806055079
2,1,0.0016739565512935515,2.1629192599263978,0.0,80,103368,0.0007739339060444238
2,2,0.0012948227939436005,1.316322247418039,0.0,96,97594,0.0009836670287107815
2,3,0.004725345044307075,6.326669972921857,0.04,75,100416,0.0007468929254302103
2,4,0.0008550557421270369,1.0462402405614648,0.0,86,105229,0.0008172652025582301
3,0,0.000831705008779742,0.8487593388545097,0.0,95,96948,0.000979906754136238
3,1,0.0009035400874432501,0.9702563216418824,0.0,93,99867,0.0009312385472678663
3,2,0.0005759578260254083,0.9874342223658764,0.0,57,97722,0.0005832872843372014
3,3,0.00835628697579731,10.725999734284454,0.04,77,98836,0.000779068355659881
3,4,0.001151367546498959,1.1151963660530066,0.0,101,97827,0.0010324348083862328
4,0,0.0011655142512143266,0.9188227697014896,0.0,129,101696,0.0012684864694776589
4,1,0.0006675139622626439,0.999965804154318,0.0,67,100369,0.000667536789247676
4,2,0.002905291691467936,3.779435855596808,0.02,75,97566,0.0007687104114138122
4,3,0.0009017629546570607,1.4181152852332324,0.0,63,99074,0.0006358883258978138
4,4,0.0007700432709106578,1.0501621196896307,0.0,74,100919,0.0007332613283920768
5,0,0.0013478656330046443,1.0513988724349455,0.0,127,99066,0.0012819736337391235
5,1,0.0005869475060608326,0.8622881384115816,0.0,66,96961,0.0006806860490300223
5,2,0.0006274726032913,0.882181660755904,0.0,70,98415,0.0007112736879540721
5,3,0.001221642012978265,1.1523807281853162,0.0,105,99047,0.0010601027794885256
5,4,0.0012344415184858814,1.4238322794553597,0.0,90,103808,0.0008669852034525277
6,0,0.0008372411840108808,1.0264158295381394,0.0,80,98076,0.0008156939516293487
6,1,0.0004351660020918897,0.9102098759073916,0.0,47,98307,0.00047809413368325753
6,2,0.0007716801604730852,0.8337879669369674,0.0,93,100485,0.0009255112703388565
6,3,0.0009846489531204676,0.9843634049240627,0.0,100,99971,0.001000290084124396
6,4,0.000853551588391946,1.1219781373100974,0.0,83,109102,0.0007607559898077029
7,0,0.0024007547619580277,1.928206199645956,0.02,132,106018,0.0012450715916165179
7,1,0.0015582047422964783,1.3165612724950322,0.0,128,108150,0.001183541377716135
7,2,0.0018072904585717964,1.7915321540470566,0.02,114,113006,0.001008795993133108
7,3,0.0011937656520537349,0.8960355925452921,0.0,146,109587,0.0013322748136184036
7,4,0.0013342511418894313,1.3037168635449528,0.0,113,110414,0.001023420942996359
8,0,0.0008059364048499571,1.1897118074622945,0.0,70,103333,0.0006774215400694841
8,1,0.0007911169314367109,1.0669085131322384,0.0,77,103843,0.00074150400123263
8,2,0.001059532766042102,1.0090346776034167,0.0,112,106662,0.0010500459395098535
8,3,0.0010566127525516418,1.061023854334139,0.0,103,103430,0.0009958425988591318
8,4,0.0011273298759250667,1.1744630012137431,0.0,105,109390,0.0009598683609105037
9,0,0.0015841429411660329,1.3560829341717373,0.0,112,95876,0.0011681755600984605
9,1,0.0012783967603619668,1.0916863763696054,0.0,119,101620,0.0011710293249360363
9,2,0.0015115554192646286,1.0262731580397528,0.0,145,98448,0.0014728587680806111
9,3,0.001064742725801235,1.1854135680587081,0.0,90,100200,0.0008982035928143712
9,4,0.001284407816209315,1.35528253262078,0.0,94,99187,0.0009477048403520623
10,0,0.0015860875964693398,1.388138441908269,0.0,117,102398,0.0011426004414148714
10,1,0.0015155291655507895,1.3178743930400718,0.0,112,97393,0.0011499799780271683
10,2,0.0010526900339628334,1.1296737138378545,0.0,92,98728,0.0009318531723523215
10,3,0.0009803633657692156,1.034015040912733,0.0,95,100199,0.0009481132546232997
10,4,0.0008618060722152202,1.390289059499563,0.0,66,106473,0.0006198754613845764
11,0,0.002198320803877459,1.7323606988296316,0.0,131,103233,0.0012689740683696105
11,1,0.0020988197898464188,1.3445957807414217,0.0,160,102503,0.0015609299240022243
11,2,0.011171677655866524,9.244876067203911,0.08,125,103441,0.0012084183254222215
11,3,0.0011020453874845673,1.089473510491418,0.0,103,101825,0.0010115394058433588
11,4,0.0015202267418063776,1.402954029343314,0.0,113,104283,0.0010835898468590278
12,0,0.0013488826872652187,1.6631723533980147,0.0,80,98640,0.0008110300081103001
12,1,0.0022256201821025472,1.6085427950908975,0.0,138,99738,0.001383625097756121
12,2,0.011061678536386699,7.244676455808033,0.06,153,100205,0.001526869916670825
12,3,0.0010686383171263926,1.4399901323278141,0.0,74,99715,0.0007421150278293135
12,4,0.0017142320050165154,1.001482406626637,0.0,171,99901,0.0017116945776318555
13,0,0.015108841795204534,24.02825211874231,0.04,64,101782,0.0006287948753217661
13,1,0.000915169143759966,1.1881984181864549,0.0,80,103867,0.0007702157566888424
13,2,0.0016982228747022118,1.5282447869682565,0.02,109,98090,0.001111224385768172
13,3,0.0012155651258709066,1.5939175633823663,0.0,78,102278,0.0007626273489900077
13,4,0.0012027279003246866,0.9701746411457778,0.0,124,100024,0.0012397024714068624
14,0,0.0021327986200078346,2.088619220021958,0.0,105,102825,0.0010211524434719183
14,1,0.002071342657899744,1.478847942003575,0.0,137,97812,0.0014006461374882428
14,2,0.009685740535512627,5.8443280083108595,0.04,162,97750,0.0016572890025575448
14,3,0.0018552384478521461,1.2875226880614732,0.0,145,100629,0.0014409365093561498
14,4,0.002346308922285177,1.4510490008161696,0.0,164,101424,0.0016169742861650103
15,0,0.0025536547155580944,2.937525767189044,0.0,90,103529,0.0008693216393474292
15,1,0.0033369148002067167,2.8119780591565977,0.02,125,105336,0.0011866788182577656
15,2,0.0038099502782939234,2.9009477051298425,0.02,133,101268,0.0013133467630445945
15,3,0.0022040794886993204,2.0087429440133433,0.0,112,102074,0.001097243176518996
15,4,0.0012967122048310378,1.1820342192162927,0.0,112,102095,0.0010970174837161468
16,0,0.006970351514216114,5.17262041034962,0.04,135,100182,0.0013475474636162185
16,1,0.005373390346488148,2.985703214715788,0.04,178,98905,0.0017997067893433093
16,2,0.0036313694803282344,2.3020052866724905,0.0,154,97624,0.0015774809473080391
16,3,0.001849894320446843,1.989599881105589,0.0,96,103250,0.0009297820823244552
16,4,0.001890533021081585,1.5480545107097161,0.0,123,100718,0.0012212315574177406
17,0,0.00163751936727945,2.2982238364971175,0.0,71,99647,0.0007125151785803888
17,1,0.0012785534514138707,1.1805350031713662,0.0,107,98797,0.0010830288369080034
17,2,0.004293479545015753,3.568827522824789,0.02,118,98084,0.0012030504465560133
17,3,0.0028675341880540837,2.8905040237666406,0.0,97,97777,0.0009920533458788877
17,4,0.001698205175623878,1.2367622752534226,0.0,134,97589,0.0013731055754234596
18,0,0.04034533662280369,29.019975945028772,0.1,114,81999,0.0013902608568397176
18,1,0.004055149225968382,1.960187574376187,0.06,170,82175,0.002068755704289626
18,2,0.011641460402815919,6.7881840669669735,0.08,144,83967,0.0017149594483547108
18,3,0.0022212623076017734,1.996229531481649,0.0,94,84477,0.001112728908460291
18,4,0.0018418050216915728,1.012905056929332,0.0,147,80843,0.0018183392501515284
