window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0005523994607374459,0.7323072430028835,0.0,76,100752,0.0007543274575194537
0,2,0.0005184573934932283,0.9913718630090123,0.0,51,97520,0.0005229696472518457
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015959124687953902,1.3828439049927341,0.0,112,97047,0.0011540799818644575
1,0,0.0006676710337935457,1.2288485376970208,0.0,54,99387,0.0005433306166802499
1,1,0.00033473588431763763,0.69844650678181,0.0,50,104328,0.00047925772563453724
1,2,0.0021015017421652446,2.9305898642699155,0.02,69,96222,0.0007170917253850471
1,3,0.0006634619654116394,1.2102631914142612,0.0,55,100329,0.0005481964337330184
1,4,0.0008995665094029421,1.1696117024529293,0.0,77,100115,0.0007691155171552714
2,0,0.0007484076245548759,0.9436858839918569,0.0,80,100874,0.0007930685806055079
2,1,0.0016739569511271754,2.162919776551423,0.0,80,103368,0.0007739339060444238
2,2,0.0012948235118293717,1.316322977223705,0.0,96,97594,0.0009836670287107815
2,3,0.004725347859742856,6.326673742452516,0.04,75,100416,0.0007468929254302103
2,4,0.0008550564041721409,1.046241050635235,0.0,86,105229,0.0008172652025582301
3,0,0.000831704865629224,0.8487591927686526,0.0,95,96948,0.000979906754136238
3,1,0.0009034986837723634,0.9702118607773614,0.0,93,99867,0.0009312385472678663
3,2,0.0005759578260254083,0.9874342223658764,0.0,57,97722,0.0005832872843372014
3,3,0.008356286747218906,10.725999440884776,0.04,77,98836,0.000779068355659881
3,4,0.0011513658194204047,1.1151946932320786,0.0,101,97827,0.0010324348083862328
4,0,0.001165097949868736,0.9184945822469069,0.0,129,101696,0.0012684864694776589
4,1,0.0006672540858793084,0.9995764976958255,0.0,67,100369,0.000667536789247676
4,2,0.0029052465682966795,3.779377155765784,0.02,75,97566,0.0007687104114138122
4,3,0.0008980757422658727,1.4123167633214138,0.0,63,99074,0.0006358883258978138
4,4,0.0007701913922250602,1.0503641231346061,0.0,74,100919,0.0007332613283920768
5,0,0.0013497272606187148,1.0528510299248315,0.0,127,99066,0.0012819736337391235
5,1,0.0005874721930028412,0.8630589591780073,0.0,66,96961,0.0006806860490300223
5,2,0.0006277027231779559,0.8825051928794075,0.0,70,98415,0.0007112736879540721
5,3,0.0012223697991559986,1.1530672523524208,0.0,105,99047,0.0010601027794885256
5,4,0.00124920936630332,1.4408658433023893,0.0,90,103808,0.0008669852034525277
6,0,0.0008371517201022905,1.026306151259403,0.0,80,98076,0.0008156939516293487
6,1,0.00043509099637239774,0.9100529910719427,0.0,47,98307,0.00047809413368325753
6,2,0.0007712403743680234,0.8333127851437724,0.0,93,100485,0.0009255112703388565
6,3,0.0009862596029807293,0.985973587695865,0.0,100,99971,0.001000290084124396
6,4,0.0008527629743089629,1.120941518350078,0.0,83,109102,0.0007607559898077029
7,0,0.00239088906859938,1.9202824035967354,0.02,132,106018,0.0012450715916165179
7,1,0.0015319433630728873,1.2943724587213497,0.0,128,108150,0.001183541377716135
7,2,0.0019021698619077327,1.8855842755679408,0.02,114,113006,0.001008795993133108
7,3,0.001198021444071822,0.899229972544512,0.0,146,109587,0.0013322748136184036
7,4,0.0013577455731289237,1.3266736257651062,0.0,113,110414,0.001023420942996359
8,0,0.0007961377948317933,1.1752472393336242,0.0,70,103333,0.0006774215400694841
8,1,0.0007848848436854908,1.0585038548419796,0.0,77,103843,0.00074150400123263
8,2,0.0010575307266172443,1.007128056807576,0.0,112,106662,0.0010500459395098535
8,3,0.0010533205447256625,1.0577179023395658,0.0,103,103430,0.0009958425988591318
8,4,0.0010381456376641809,1.0815500124198547,0.0,105,109390,0.0009598683609105037
9,0,0.0018160362250468683,1.5545918670767283,0.02,112,95876,0.0011681755600984605
9,1,0.001267570219052684,1.0824410559675104,0.0,119,101620,0.0011710293249360363
9,2,0.001519834021969257,1.031893929619513,0.0,145,98448,0.0014728587680806111
9,3,0.0011265386603865344,1.2542130418970083,0.0,90,100200,0.0008982035928143712
9,4,0.0012268141257659958,1.2945107733228918,0.0,94,99187,0.0009477048403520623
10,0,0.0013840739873083165,1.2113368218153588,0.0,117,102398,0.0011426004414148714
10,1,0.0013654306014006545,1.1873516300197673,0.0,112,97393,0.0011499799780271683
10,2,0.0010441374671747135,1.120495694122012,0.0,92,98728,0.0009318531723523215
10,3,0.0009829396883199062,1.0367323561049082,0.0,95,100199,0.0009481132546232997
10,4,0.0006618319967530218,1.0676854271255225,0.0,66,106473,0.0006198754613845764
11,0,0.0016972677292221815,1.337511751838118,0.0,131,103233,0.0012689740683696105
11,1,0.0018139423376728467,1.1620908214904988,0.0,160,102503,0.0015609299240022243
11,2,0.008747241353626561,7.238587142883881,0.08,125,103441,0.0012084183254222215
11,3,0.0011310899267745918,1.1181867164448815,0.0,103,101825,0.0010115394058433588
11,4,0.0017906015543749634,1.6524716981848169,0.0,113,104283,0.0010835898468590278
12,0,0.0011561096353481816,1.425483180384308,0.0,80,98640,0.0008110300081103001
12,1,0.001696441733230105,1.2260848231080015,0.0,138,99738,0.001383625097756121
12,2,0.005697296507062499,3.7313568398052137,0.06,153,100205,0.001526869916670825
12,3,0.0012645720501243914,1.7040108375426175,0.0,74,99715,0.0007421150278293135
12,4,0.0014923942829662604,0.8718811769743414,0.0,171,99901,0.0017116945776318555
13,0,0.0018553590713847345,2.9506587031825164,0.0,64,101782,0.0006287948753217661
13,1,0.0008187848659414313,1.0630590958842332,0.0,80,103867,0.0007702157566888424
13,2,0.0018903462195564093,1.7011381713420934,0.02,109,98090,0.001111224385768172
13,3,0.0018927426690071838,2.4818709577014966,0.0,78,102278,0.0007626273489900077
13,4,0.0011942142825007033,0.9633071725229866,0.0,124,100024,0.0012397024714068624
14,0,0.0022221174404909927,2.176087864937965,0.0,105,102825,0.0010211524434719183
14,1,0.0017175958431202465,1.2262882088122449,0.0,137,97812,0.0014006461374882428
14,2,0.005260120913024096,3.173930983012996,0.02,162,97750,0.0016572890025575448
14,3,0.0023845097744166436,1.6548333385501548,0.0,145,100629,0.0014409365093561498
14,4,0.001859934233372633,1.1502559127169873,0.0,164,101424,0.0016169742861650103
15,0,0.016486661611553967,18.96497322202856,0.02,90,103529,0.0008693216393474292
15,1,0.0021115988943798143,1.7794190491071369,0.0,125,105336,0.0011866788182577656
15,2,0.00406803511327386,3.097456991361032,0.04,133,101268,0.0013133467630445945
15,3,0.003559284497477045,3.243842908888142,0.0,112,102074,0.001097243176518996
15,4,0.0012615627140491197,1.1499932615254005,0.0,112,102095,0.0010970174837161468
16,0,0.03397687838639059,25.213863929669497,0.1,135,100182,0.0013475474636162185
16,1,0.0028440409503983914,1.5802801696581623,0.0,178,98905,0.0017997067893433093
16,2,0.003903045450024407,2.4742266819037835,0.0,154,97624,0.0015774809473080391
16,3,0.014996297791573073,16.1288306977075,0.04,96,103250,0.0009297820823244552
16,4,0.0015396759177201311,1.260756740495416,0.0,123,100718,0.0012212315574177406
17,0,0.001650503292448417,2.3164465011634845,0.0,71,99647,0.0007125151785803888
17,1,0.001163193542174014,1.074018994263234,0.0,107,98797,0.0010830288369080034
17,2,0.004321151365559323,3.5918289028772934,0.04,118,98084,0.0012030504465560133
17,3,0.024296565001759307,24.491188001824945,0.06,97,97777,0.0009920533458788877
17,4,0.0018225313311642313,1.3273060453506431,0.0,134,97589,0.0013731055754234596
18,0,0.04907839389234116,35.301572112088444,0.12,114,81999,0.0013902608568397176
18,1,0.0025685147212780595,1.2415746895354383,0.0,170,82175,0.002068755704289626
18,2,0.012444198892742744,7.256264225187014,0.08,144,83967,0.0017149594483547108
18,3,0.024383043951964934,21.912834084363208,0.06,94,84477,0.001112728908460291
18,4,0.0017307250134955255,0.9518163419457059,0.0,147,80843,0.0018183392501515284
