window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0009333611564352757,1.4475009794452438,0.004,5,5,305,500381,0.0006095355339231505
2,0.0018590310654451304,2.3583896828345168,0.008,5,5,417,507481,0.0008217056402111606
3,0.0027473502240096337,3.421329119892765,0.008,5,5,423,491200,0.000861156351791531
4,0.001221010476979791,1.5539380021354166,0.004,5,5,408,499624,0.0008166140937985365
5,0.000994079576794238,1.063644045987913,0.0,5,5,458,497297,0.0009209788114547242
6,0.0007763414994759133,0.9755887528904605,0.0,5,5,403,505941,0.0007965355644235198
7,0.0017269200304788374,1.5074650016700082,0.008,5,5,633,547175,0.001156851098825787
8,0.0010011736435466857,1.138190703148398,0.0,5,5,467,526658,0.0008867234524112422
9,0.001427600691582842,1.2905292503995232,0.0,5,5,560,495331,0.0011305571425975762
10,0.0012040633027686903,1.2624788691585054,0.0,5,5,482,505191,0.000954094589966963
11,0.0023745733882862023,1.9545872158014952,0.008,5,5,632,515285,0.001226505720135459
12,0.0017047447567198233,1.3986407942612464,0.004,5,5,616,498199,0.0012364537062499123
13,0.001505023051426063,1.7818827794013785,0.004,5,5,455,506041,0.0008991366312215809
14,0.003365632389178211,2.2662919891507243,0.004,5,5,713,500440,0.0014247462233234753
15,0.004103286028928016,3.573425590020804,0.012,5,5,572,514302,0.0011121870029671282
16,0.0026630281117541567,1.8688646299225116,0.0,5,5,686,500679,0.0013701393507616656
17,0.002392977515279506,2.233460710240373,0.008,5,5,527,491894,0.0010713690347920488
18,0.011885200395850112,8.080892688469179,0.036,5,5,669,413461,0.0016180486188540153
