window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0018020204731579675,1.4530039364743976,0.0,119,95952,0.0012402034350508587
0,1,0.0009847364787282508,0.9200383717613386,0.0,107,99970,0.0010703210963288986
0,2,0.0007771652814326916,0.950653214074465,0.0,82,100305,0.0008175066048551917
0,3,0.0018526613251026495,1.5132383314994684,0.02,120,98015,0.0012243024026934652
0,4,0.00024080136184299612,0.6862400991867493,0.0,33,94044,0.0003508995789205053
1,0,0.0010945451697635335,1.6191337025762877,0.0,69,102070,0.000676006662094641
1,1,0.0015239587240697431,1.750608171549495,0.0,87,99939,0.000870531023924594
1,2,0.0006130016985954374,1.00622721443215,0.0,61,100130,0.00060920802956157
1,3,0.0010846387020841566,1.9412514856033707,0.0,56,100227,0.0005587316790884692
1,4,0.00031510863541058394,0.7533709482313922,0.0,41,98024,0.00041826491471476374
2,0,0.0005963455536573629,0.7885159721365855,0.0,77,101813,0.0007562884896820641
2,1,0.0009286230623537225,0.8870155901432626,0.0,108,103161,0.0010469072614650886
2,2,0.001403335977727976,1.4680595340340965,0.0,99,103566,0.0009559121719483228
2,3,0.0007665995475857511,0.850089990448096,0.0,89,98693,0.0009017863475626437
2,4,0.0005337022046703328,0.9225870766320157,0.0,58,100262,0.000578484370948116
3,0,0.0005308478927502406,0.6767402603275336,0.0,76,96887,0.0007844189622962833
3,1,0.0006702062614747026,0.9018681052526638,0.0,73,98233,0.0007431311270143434
3,2,0.0009152458000237458,0.9237164932953942,0.0,98,98907,0.0009908297693793158
3,3,0.0011701440857823156,1.0003740285908476,0.0,118,100880,0.001169706582077716
3,4,0.0005199869075356322,0.8486715131226469,0.0,59,96294,0.0006127069183957464
4,0,0.0008911529898071551,0.9519142920476623,0.0,93,99341,0.0009361693560564117
4,1,0.00048432628139918074,0.8003372703494889,0.0,61,100801,0.0006051527266594577
4,2,0.0008661928254161012,0.955848439797342,0.0,93,102626,0.0009062031064252723
4,3,0.0007321693109938051,0.9860388505626987,0.0,72,96965,0.0007425359665858815
4,4,0.0008287602870157455,0.8624114078364473,0.0,96,99898,0.0009609801998037999
5,0,0.0010589273321458858,0.8913320600985277,0.0,119,100166,0.0011880278737296088
5,1,0.0008859314230202343,1.001693128961545,0.0,87,98368,0.000884433962264151
5,2,0.001182235808528967,0.9833718238287625,0.0,119,98983,0.001202226644979441
5,3,0.0005611595041303142,0.9118014001865611,0.0,61,99116,0.0006154404939666653
5,4,0.0007119569345950443,0.9817691071371252,0.0,73,100665,0.0007251775691650524
6,0,0.0007662915879455235,0.9438404256296243,0.0,83,102231,0.0008118868053721474
6,1,0.0009376094521099513,1.1365884726662607,0.0,82,99402,0.000824933099937627
6,2,0.0008580530123595574,0.8238023962828717,0.0,108,103689,0.001041576252061453
6,3,0.0005982414405412991,0.8570390259376858,0.0,72,103147,0.0006980329044955258
6,4,0.0006351001458414407,0.952445032561197,0.0,65,97479,0.0006668102873439407
7,0,0.0014538477786265628,1.0628305724056866,0.0,150,109657,0.0013679017299397212
7,1,0.00127140272592557,1.0441972796993708,0.0,132,108411,0.0012175886210808867
7,2,0.0015561530421007192,1.0680055375289332,0.0,167,114614,0.0014570645819882387
7,3,0.0008904031785379704,0.9872994494357431,0.0,96,106447,0.0009018572622995481
7,4,0.0006450505616946409,1.055771846613665,0.0,66,108024,0.000610975338813597
8,0,0.001302131338686902,1.1630203073371848,0.0,120,107180,0.0011196118678857996
8,1,0.0009253730763423538,1.111036565386679,0.0,88,105656,0.0008328916483682895
8,2,0.0009899084175830106,0.9783778176819048,0.0,108,106742,0.0010117854265425043
8,3,0.0008943899824037828,0.9997933609752393,0.0,93,103960,0.0008945748364755675
8,4,0.0006778415687180815,1.1650063041557668,0.0,60,103122,0.0005818351079304125
9,0,0.0012470380828486442,1.1678871368401451,0.0,104,97399,0.0010677727697409624
9,1,0.001125163279747046,0.9251538831844078,0.0,121,99491,0.0012161904091827402
9,2,0.001026967181733676,0.8874981344731891,0.0,119,102839,0.0011571485525919156
9,3,0.0014179121747016443,1.1391297211396088,0.0,122,98013,0.0012447328415618336
9,4,0.0011432529477353145,1.1869033182610809,0.0,94,97589,0.0009632233141030239
10,0,0.0010535537214272311,1.3901364103252993,0.0,76,100280,0.0007578779417630634
10,1,0.0008723266671624259,1.0114424839081546,0.0,86,99715,0.0008624580053151481
10,2,0.0016946287148632768,1.4170707560075555,0.0,122,102018,0.0011958673959497344
10,3,0.001051502005438731,1.4879775670574442,0.0,72,101887,0.0007066652271634262
10,4,0.0010996648549571257,0.9855916564632548,0.0,113,101278,0.001115740832164932
11,0,0.0015703897793847015,1.2245295503572908,0.0,130,101369,0.0012824433505312274
11,1,0.0012498144991256446,0.9926450076321702,0.0,124,98485,0.001259074986038483
11,2,0.0021369500208861733,1.6045105011994447,0.0,145,108872,0.0013318392240429127
11,3,0.0014082730927386178,1.3429628130707856,0.0,109,103945,0.0010486314878060514
11,4,0.0015018724480512031,1.2329171300541937,0.0,125,102615,0.0012181454952979584
12,0,0.0020853184264696175,1.8040700921410213,0.0,116,100355,0.0011558965671864879
12,1,0.0010584730633598017,0.9530739393119106,0.0,111,99947,0.0011105886119643412
12,2,0.0013982249069998862,0.9496574655267214,0.0,149,101199,0.0014723465646893745
12,3,0.001953370794887083,2.4268777660527494,0.0,79,98150,0.000804890473764646
12,4,0.0016335988704196888,1.0061641742703067,0.0,160,98547,0.0016235907739454271
13,0,0.0017955612976412005,2.260899850234831,0.0,81,101992,0.0007941799356812299
13,1,0.0013419644542881576,1.6049894873286366,0.0,84,100464,0.0008361204013377926
13,2,0.0017098577031990896,1.5900373891025286,0.0,105,97642,0.0010753569160811946
13,3,0.0014226937391228415,2.4879969992970654,0.0,58,101430,0.0005718229320713793
13,4,0.001092799805286977,0.9596894424497104,0.0,119,104505,0.001138701497536003
14,0,0.0034479094915357378,2.6896634111839757,0.0,129,100631,0.0012819111407021693
14,1,0.002451622183319325,1.431405268242209,0.0,172,100424,0.0017127379909185054
14,2,0.0031874806135186633,2.536288285053718,0.02,128,101850,0.0012567501227295041
14,3,0.0024766820118028252,2.1372450709462734,0.0,113,97513,0.0011588198496610708
14,4,0.001782978411387758,1.135745891503611,0.0,157,100008,0.0015698744100471963
15,0,0.003351205494804971,3.6811209804318348,0.0,94,103254,0.0009103763534584617
15,1,0.002070817747822558,1.636568823109993,0.0,133,105110,0.0012653410712586814
15,2,0.0017250185449639533,1.9715649454827688,0.0,92,105149,0.0008749488820625969
15,3,0.002488696811236295,2.1112723460902325,0.0,119,100953,0.0011787663566213981
15,4,0.0013089378892114432,1.0288973271030644,0.0,127,99829,0.0012721754199681455
16,0,0.018926009926367896,18.18201561382553,0.12,103,98951,0.001040919242857576
16,1,0.0024837548437618524,1.6141361881740333,0.0,155,100731,0.0015387517248910464
16,2,0.0022911716514839456,2.1343930240228577,0.0,110,102473,0.0010734534950669933
16,3,0.004379251354702824,2.8832990919363395,0.0,150,98760,0.0015188335358444715
16,4,0.0019820111317762927,1.0865994873976645,0.0,182,99778,0.001824049389645012
17,0,0.0030479855197718298,3.2298594642441723,0.0,94,99609,0.0009436898272244476
17,1,0.001797014878221687,1.708432615401112,0.0,102,96972,0.0010518500185620592
17,2,0.0025992617728869817,2.1911328596855726,0.02,116,97786,0.0011862638823553473
17,3,0.0021812001550049246,2.3322245570416786,0.0,92,98370,0.0009352444851072481
17,4,0.0016158564194723771,1.3351552284697006,0.0,120,99154,0.0012102386187143232
18,0,0.02569551870537415,17.382093365512215,0.16,125,84558,0.0014782752666808582
18,1,0.003696288090169175,2.1303453733020867,0.0,144,82994,0.0017350651854350916
18,2,0.002740511321878808,1.577333201370685,0.0,146,84032,0.0017374333587204874
18,3,0.002434907766285693,1.9671161791866079,0.0,101,81596,0.001237805774792882
18,4,0.002207297451872741,1.1735074976085547,0.0,151,80279,0.0018809402209793347
