window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0009260824786977418,1.4137829865696814,0.0,5,5,314,500390,0.0006275105417774136
2,0.0008429764906394757,0.9805965133025965,0.0,5,5,431,507495,0.0008492694509305511
3,0.0007618650517161053,0.8706163682166792,0.0,5,5,424,491201,0.0008631904251009261
4,0.000762243068552565,0.9131706714115714,0.0,5,5,415,499631,0.0008306129923883826
5,0.0008834098557691817,0.9575895821669214,0.0,5,5,459,497298,0.0009229878262128542
6,0.000761034585439823,0.9450125481726441,0.0,5,5,410,505948,0.0008103599579403417
7,0.0011672315612257112,1.0471994612754099,0.0,5,5,611,547153,0.0011166894817354561
8,0.0009587528681417495,1.0839228749729937,0.0,5,5,469,526660,0.0008905176014886264
9,0.0011945166766759668,1.0628224888385707,0.0,5,5,560,495331,0.0011305571425975762
10,0.001159561087692659,1.2642319363337413,0.0,5,5,469,505178,0.0009283856383294601
11,0.0015832651986544346,1.2867517569687208,0.0,5,5,633,515286,0.0012284440097344
12,0.001613468448637885,1.4141870407422383,0.0,5,5,615,498198,0.0012344489540303252
13,0.00147696628934361,1.7837562846377222,0.0,5,5,447,506033,0.000883341600251367
14,0.003983459342195103,3.033023116633463,0.004,5,5,699,500426,0.0013968099179499068
15,0.0022704106092633234,2.1707047336558913,0.0,5,5,565,514295,0.0010985912754353047
16,0.005481031625455119,4.714216649653583,0.016,5,5,700,500693,0.0013980622856720585
17,0.00424979622012739,3.8612595142679718,0.016,5,5,524,491891,0.0010652766568203119
18,0.003403247147765949,2.195101323618891,0.016,5,5,667,413459,0.0016132192067411762
