window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0005735018153094722,0.6774675738048094,0.0,85,100409,0.0008465376609666464
0,1,0.0011390472093839642,0.9661398429994784,0.0,115,97543,0.001178967224711153
0,2,0.0007785978005720902,0.7659278909082353,0.0,99,97389,0.0010165419092505313
0,3,0.002733490682907054,2.8878578105934207,0.02,91,96139,0.0009465461467250543
0,4,0.000622816798656877,0.8998494290087016,0.0,67,96802,0.0006921344600318175
1,0,0.00046510069650594263,0.8580431340430633,0.0,55,101467,0.0005420481535868805
1,1,0.0008033319729330714,0.8287172632777564,0.0,95,98002,0.0009693679720822024
1,2,0.00046736615801054024,0.7863591397246675,0.0,60,100952,0.0005943418654410017
1,3,0.0009588780586662579,1.4077580611731968,0.0,69,101301,0.0006811383895519294
1,4,0.00045210667823997284,1.3517441671280352,0.0,33,98666,0.00033446171933594143
2,0,0.0009249330802483914,1.1102853675158424,0.0,86,103234,0.0008330588759517213
2,1,0.0008386267915705812,0.9462412450800105,0.0,90,101549,0.0008862716521088342
2,2,0.0014105989028339056,1.6679347887241514,0.0,86,101689,0.00084571585913914
2,3,0.0008335135627782265,1.1092968792206117,0.0,76,101146,0.0007513890811302474
2,4,0.0007617293585602612,1.086596048138233,0.0,70,99854,0.0007010234943016805
3,0,0.0006783651880529458,1.0590465032660228,0.0,63,98354,0.0006405433434329056
3,1,0.0016098611308721737,0.9671413581566058,0.0,163,97924,0.0016645561864302928
3,2,0.0008585042110339745,1.1779631668953947,0.0,72,98792,0.0007288039517369827
3,3,0.0008189458891614901,0.8412451032684498,0.0,96,98614,0.0009734926075405115
3,4,0.00077255132108583,1.1594450226856137,0.0,65,97552,0.0006663113006396588
4,0,0.0009039240389507919,1.2171517969280201,0.0,75,100989,0.0007426551406588837
4,1,0.0007779974673063777,1.009322047585474,0.0,75,97300,0.0007708119218910585
4,2,0.0008035215611309987,1.0045606717221198,0.0,81,101266,0.0007998736002211997
4,3,0.0011196746646065557,1.1697917691254553,0.0,96,100297,0.0009571572429883247
4,4,0.001241983760269204,1.4409466703300042,0.0,86,99777,0.0008619220862523427
5,0,0.001095184656422056,1.040797573726922,0.0,103,97885,0.0010522551974255503
5,1,0.0028267558200244514,3.13403349663634,0.02,91,100892,0.0009019545652777227
5,2,0.0017654942084629106,1.655296516557978,0.02,103,96571,0.0010665727806484348
5,3,0.001170291815415204,0.795965619027398,0.0,147,99981,0.0014702793530770846
5,4,0.00043999403539165166,1.180943990991193,0.0,38,101992,0.00037257824143070045
6,0,0.000679510474016923,0.9907640216985636,0.0,72,104980,0.0006858449228424461
6,1,0.0009714227904420415,0.9197986078642644,0.0,105,99420,0.001056125528062764
6,2,0.0007453661277681257,0.8828204107418359,0.0,85,100675,0.0008443009684628756
6,3,0.0007640840367491935,0.8978355665073746,0.0,83,97529,0.0008510289247300803
6,4,0.0007746573361726292,1.0534830128963433,0.0,76,103355,0.0007353296889361908
7,0,0.0010904332045444493,1.1103238745166306,0.0,112,114043,0.0009820857045149637
7,1,0.0014171564410992246,1.1319457158443154,0.0,133,106233,0.0012519650202855986
7,2,0.0013381375138806432,1.014280549917792,0.0,145,109907,0.0013192972240166686
7,3,0.0014249690770317212,1.1295538459873837,0.0,134,106220,0.0012615326680474486
7,4,0.0009253882780345087,1.4232343190021015,0.0,72,110735,0.0006502009301485529
8,0,0.0009745126259972164,1.2653752920674457,0.0,83,107773,0.0007701372328876435
8,1,0.0013489994300630611,1.1762228392661052,0.0,116,101143,0.0011468910354646392
8,2,0.0011408439421113632,1.11796594662938,0.0,112,109754,0.0010204639466443136
