typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.34829405
1,1334,0,0.0,0.31307015
2,345,75,0.21739130434782608,0.38234147
3,1870,0,0.0,0.3624472
4,394,48,0.1218274111675127,0.38504714
5,656,1,0.001524390243902439,0.350787
6,529,0,0.0,0.36694306
7,338,0,0.0,0.3456038
8,382,1,0.002617801047120419,0.34936562
9,364,0,0.0,0.366985
10,506,1,0.001976284584980237,0.36484632
11,54,1,0.018518518518518517,0.32002994
12,945,0,0.0,0.36805606
13,250,0,0.0,0.3500448
14,383,1,0.0026109660574412533,0.3535708
15,354,0,0.0,0.3664049
16,237,0,0.0,0.37422067
