typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.34567294
1,1334,0,0.0,0.30202878
2,345,43,0.1246376811594203,0.3758651
3,1870,0,0.0,0.3558004
4,394,29,0.07360406091370558,0.37294808
5,656,1,0.001524390243902439,0.3537343
6,529,0,0.0,0.37208158
7,338,0,0.0,0.34500778
8,382,0,0.0,0.34903565
9,364,0,0.0,0.370408
10,506,0,0.0,0.36427647
11,54,1,0.018518518518518517,0.32256973
12,945,0,0.0,0.36764875
13,250,0,0.0,0.3539698
14,383,1,0.0026109660574412533,0.35487852
15,354,0,0.0,0.36434972
16,237,0,0.0,0.37184858
