window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0010941329671517819,1.2030422250843396,0.0,89,97859,0.0009094717910463013
0,1,0.007494060302986347,6.781222511388395,0.06,108,97727,0.0011051193631238041
0,2,0.0008470316746116893,0.8369176132296922,0.0,101,99794,0.00101208489488346
0,3,0.0017115057424923882,1.6101745348560008,0.0,102,95961,0.0010629318160502704
0,4,0.0006283680988084291,0.8959050575834532,0.0,68,96952,0.0007013780014852711
1,0,0.0005643816923173516,1.0019721182399604,0.0,58,102970,0.0005632708555890065
1,1,0.030775177519705255,47.46864433461045,0.04,67,103343,0.0006483264468807756
1,2,0.0007004142635674187,0.796649591530983,0.0,88,100091,0.0008791999280654604
1,3,0.00047762295681050683,0.9435441511791562,0.0,50,98775,0.0005062009617818274
1,4,0.00045614127344056595,0.9650428875090906,0.0,45,95205,0.00047266425082716245
2,0,0.000853957724662596,0.9481474447615513,0.0,94,104368,0.0009006592058868619
2,1,0.0008744203741085414,1.1646589051251477,0.0,76,101226,0.0007507952502321537
2,2,0.0006947265325300822,1.0295949377762368,0.0,68,100777,0.0006747571370451591
2,3,0.0011018870478168687,1.0231633398450635,0.0,108,100284,0.001076941486179251
2,4,0.0007428215876929363,0.9024655814431362,0.0,83,100838,0.0008231024018723101
3,0,0.000887613574927105,0.9617341854311827,0.0,91,98599,0.000922930252842321
3,1,0.0006734615509244635,0.9244382222356469,0.0,72,98832,0.0007285089849441476
3,2,0.0006906804465753654,1.0662132722419142,0.0,63,97254,0.0006477882657782713
3,3,0.0012715518761309084,1.0679405564786641,0.0,117,98265,0.0011906579148221645
3,4,0.0009280259205905075,0.8216875270410422,0.0,111,98281,0.0011294146376206998
4,0,0.0008728711860800353,1.1081206154991667,0.0,82,104100,0.0007877041306436119
4,1,0.0011314206269566359,1.0877251623435704,0.0,100,96138,0.0010401714202500573
4,2,0.002874771897550271,3.751429902103229,0.02,78,101786,0.0007663136384178571
4,3,0.0007381395290719911,0.9246926156220086,0.0,79,98966,0.0007982539457995675
4,4,0.0007065632312527523,0.9292719617436198,0.0,75,98640,0.0007603406326034064
5,0,0.0011684409797049885,1.5110160426407726,0.02,79,102162,0.0007732816507116149
5,1,0.0010191182655601542,0.9547503713344444,0.0,106,99305,0.0010674185589849455
5,2,0.000998551135102097,1.2423896411314512,0.0,78,97047,0.0008037342730841757
5,3,0.00094375927666815,0.8844639866187475,0.0,111,104026,0.0010670409320746737
5,4,0.0006831323796056045,0.8091105295596229,0.0,80,94753,0.0008443004443131089
6,0,0.000732835487998002,0.9956854945892853,0.0,77,104618,0.0007360110114894186
6,1,0.0008607580874982257,0.8939324068500705,0.0,98,101777,0.0009628894543953939
6,2,0.0004747718467661531,0.9076670582332842,0.0,54,103237,0.000523068279783411
6,3,0.0008894003689282207,0.9242929497176469,0.0,95,98727,0.0009622494353115155
6,4,0.0005971406644987936,0.924771842420465,0.0,63,97566,0.0006457167455876022
7,0,0.0011132651214728244,0.9434834930644572,0.0,128,108479,0.0011799518800873902
7,1,0.0012128751312205405,0.9115540441989477,0.0,147,110480,0.001330557566980449
7,2,0.0009168583088168533,0.949088061367739,0.0,105,108691,0.0009660413465696332
7,3,0.0011726276476482845,0.9784352586261719,0.0,134,111809,0.0011984723948877103
7,4,0.0008845166762403117,1.0823770259197496,0.0,88,107685,0.0008171983098853137
8,0,0.0010316340628567797,1.0380891445643692,0.0,105,105657,0.0009937817655242909
8,1,0.0012588039612478302,0.9529697287651001,0.0,137,103715,0.0013209275418213373
8,2,0.0007755975297839324,1.1415201944865134,0.0,73,107441,0.0006794426708612169
8,3,0.0009576048874205079,1.012027184982822,0.0,101,106740,0.0009462244706764099
8,4,0.0010197793009869192,1.421186483137554,0.0,74,103128,0.0007175548832518812
9,0,0.0012427487892374117,0.8801658127008966,0.0,141,99862,0.0014119484889147022
9,1,0.0012801991487657693,0.9739834516005246,0.0,129,98144,0.001314395174437561
9,2,0.0008008357656647609,1.2922438454912422,0.0,63,101658,0.0006197249601605383
9,3,0.0012445355964572264,1.063352857710384,0.0,115,98258,0.0011703881617781758
9,4,0.0024325346808756567,1.646032026661145,0.0,144,97441,0.0014778173458810972
10,0,0.000800483795361211,0.8728704014274462,0.0,91,99229,0.0009170706144373117
10,1,0.0008583215767759059,0.9133354723652584,0.0,95,101089,0.0009397659488173788
