window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.006601877064206632,10.247350061578764,0.008,5,5,308,500384,0.0006155272750527595
2,0.0008787590549200287,1.0365154936911196,0.0,5,5,429,507493,0.0008453318567940839
3,0.0008664496031414752,0.9444103760953932,0.0,5,5,454,491231,0.0009242087734691011
4,0.0013017049370428644,1.6054450525805557,0.008,5,5,414,499630,0.000828613173748574
5,0.0017079228868605288,2.0482120588394226,0.004,5,5,454,497293,0.0009129426716241733
6,0.0007080091550443337,0.9248916692663478,0.0,5,5,387,505925,0.0007649355141572368
7,0.001123266565158623,1.0346863338704662,0.0,5,5,602,547144,0.0011002587984150424
8,0.0012108418250877967,1.3672503400618592,0.0,5,5,490,526681,0.0009303544270630609
9,0.0013982761976029645,1.2052996404795902,0.0,5,5,592,495363,0.0011950832016117473
10,0.0012071100626835063,1.3348222414916762,0.0,5,5,462,505171,0.0009145418086153005
11,0.007856318328775935,7.986931609557528,0.036,5,5,637,515290,0.0012361970928991442
12,0.005324516677676112,4.918007565743582,0.02,5,5,593,498176,0.0011903423689619732
13,0.005619094354965733,5.845246950045335,0.036,5,5,461,506047,0.0009109825767171824
14,0.00258561537195937,1.8755053804502737,0.008,5,5,711,500438,0.0014207554182536098
15,0.007121058284661455,6.023199335379179,0.02,5,5,559,514289,0.001086937500121527
16,0.008128207873109592,6.5156919473681025,0.044000000000000004,5,5,673,500666,0.001344209512928779
17,0.01850748850102976,18.289573793397118,0.072,5,5,514,491881,0.001044968193526483
18,0.010494071381435096,6.596537138754565,0.032,5,5,665,413457,0.00160838974790607
