window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.018088948150322644,15.863349747900221,0.04,110,96466,0.0011402981361308647
0,1,0.001303099174765944,1.6977153261769728,0.0,76,99015,0.0007675604706357623
0,2,0.0006772977957759684,0.7902568921110233,0.0,86,100343,0.0008570602832285261
0,3,0.001540934654564376,1.2884452677040885,0.0,117,97829,0.0011959643868382586
0,4,0.0007048906650900388,1.1499318937957652,0.0,58,94619,0.0006129847070884283
1,0,0.006323560933257967,10.525204346141225,0.02,61,101531,0.0006008017255813495
1,1,0.08705147588602283,151.2759535522091,0.1,58,100791,0.0005754482047008165
1,2,0.0006301564253660697,1.0530228946079707,0.0,60,100263,0.0005984261392537626
1,3,0.0011616859185874598,1.4153836021329786,0.0,80,97471,0.0008207569430907655
1,4,0.0006909160457403741,1.2604067369693581,0.0,55,100334,0.000548169115155381
2,0,0.0013130126023502364,1.6398050264176809,0.02,80,99911,0.0008007126342444775
2,1,0.013651239240479847,17.546961638731783,0.02,80,102830,0.0007779830788680346
2,2,0.001135465024840333,1.293824546971398,0.0,90,102552,0.0008776035572197519
2,3,0.0009892794656513942,0.7964896407524754,0.0,124,99835,0.001242049381479441
2,4,0.000556838009300561,0.904844087716291,0.0,63,102373,0.0006153966377853535
3,0,0.005917579128230817,5.74063765330748,0.02,101,97980,0.0010308226168605837
3,1,0.000858271024933701,1.09210586532942,0.0,78,99251,0.0007858862882993622
3,2,0.0008782985480092403,0.9530214860167957,0.0,91,98742,0.0009215936480930101
3,3,0.0013145132868187062,1.250427510340535,0.0,101,96076,0.0010512510928847995
3,4,0.00042393370011975355,0.934010728103841,0.0,45,99144,0.00045388525780682646
4,0,0.0010820392871788086,0.9141489710012085,0.0,118,99691,0.0011836575016801918
4,1,0.0007764313671501885,1.0559466593242564,0.0,75,102000,0.0007352941176470588
4,2,0.0007313987612939608,0.8752111442375444,0.0,83,99320,0.0008356826419653645
4,3,0.0008311265385900426,1.029365609275964,0.0,81,100320,0.0008074162679425837
4,4,0.0005895885456916362,0.9823244683056531,0.0,59,98301,0.0006001973530279448
5,0,0.0011549099319722563,0.9083142795207537,0.0,129,101456,0.0012714871471376755
5,1,0.0010313987375507462,1.03431217315991,0.0,97,97274,0.000997183214425232
5,2,0.0008774472074527832,1.0538553877840846,0.0,85,102089,0.0008326068430487124
5,3,0.0010712371102942837,1.1463414263786522,0.0,91,97380,0.0009344834668309714
5,4,0.0006787163079066635,1.0510134126780906,0.0,64,99106,0.0006457732125199282
6,0,0.0009157603507523752,0.9176372061247092,0.0,101,101207,0.0009979546869287698
6,1,0.000789014445782445,1.1286271489237154,0.0,68,97269,0.0006990922082061088
6,2,0.000773476541330806,0.9680106660220551,0.0,81,101372,0.0007990372094858541
6,3,0.0009454949371941869,1.1009690816941873,0.0,87,101306,0.0008587842773379662
6,4,0.0006303975707817813,1.0485012548698123,0.0,63,104784,0.0006012368300503894
7,0,0.001200643878283518,1.0843302622402171,0.0,121,109278,0.0011072677025567817
7,1,0.001392324008271312,1.0393021897574657,0.0,144,107489,0.0013396719664337745
7,2,0.0013353385060558202,1.190687690977058,0.0,123,109676,0.0011214851015719028
7,3,0.001381836578361391,1.345082087490787,0.02,117,113888,0.001027325091317786
7,4,0.0010170125559617927,1.1556075649178625,0.0,94,106810,0.0008800674094185938
8,0,0.0010228782422607042,1.0848414644413629,0.0,97,102876,0.000942882693728372
8,1,0.0009698084945342423,1.038155503285408,0.0,99,105977,0.0009341649603215792
8,2,0.0009253444887908926,1.1431877971636881,0.0,86,106246,0.000809442237825424
8,3,0.001737864048267984,1.6584389643322768,0.02,111,105927,0.0010478914724291258
8,4,0.0009011226974735122,1.236235014904084,0.0,77,105635,0.0007289250721825152
9,0,0.0019476099658381502,2.0305491434259175,0.02,94,98003,0.000959154311602706
9,1,0.0012956502458741025,1.0480748480723232,0.0,122,98688,0.001236219195849546
9,2,0.0010338823855332636,1.2890088191386817,0.0,81,100988,0.000802075494118113
9,3,0.002161134682562962,1.365130866215556,0.02,153,96646,0.0015830970759265774
9,4,0.0017270265216337128,1.1952206424583125,0.0,146,101042,0.0014449436867837136
10,0,0.0010042971476619217,1.4361744593079497,0.0,68,97242,0.0006992863166121635
10,1,0.0010108677753676322,1.194555231238746,0.0,87,102809,0.0008462294157126322
10,2,0.0010734546558857324,1.361978321931117,0.0,82,104040,0.000788158400615148
10,3,0.0016890950593365127,1.5458290874855158,0.0,110,100670,0.0010926790503625707
10,4,0.001372796679564297,1.1028499404947736,0.0,125,100420,0.0012447719577773353
11,0,0.0024218568977241507,2.769651875362492,0.0,89,101781,0.0008744264646643283
11,1,0.0011100861852416165,1.122558330028743,0.0,102,103146,0.0009888895352219184
11,2,0.0019421386675840997,1.840702012221198,0.0,109,103307,0.001055107591934719
11,3,0.002106050172133196,1.4064971294222361,0.0,159,106186,0.0014973725349857797
11,4,0.04702671533817555,31.40605996587839,0.14,151,100843,0.0014973771109546522
12,0,0.001384392263841962,1.2806150852713185,0.0,106,98054,0.0010810369796234727
12,1,0.0011173084563658824,1.1436418831217998,0.0,102,104404,0.0009769740622964638
12,2,0.0012452108822540062,1.051280021919516,0.0,116,97934,0.0011844711744644352
12,3,0.0024112336277389373,2.10123940447275,0.0,112,97601,0.0011475292261349781
12,4,0.002459987727691477,1.3926449168241188,0.0,177,100203,0.0017664141792161912
13,0,0.0024888360494063756,4.1916816174034475,0.0,62,104420,0.0005937559854434016
13,1,0.00929479317538568,13.723363775178013,0.08,70,103352,0.0006772970044121062
13,2,0.020019683177279892,17.549644036946827,0.04,113,99058,0.0011407458256778857
13,3,0.002010804896624135,2.25004497921112,0.0,88,98470,0.0008936731999593785
13,4,0.024435437041976708,18.510670322204792,0.06,133,100752,0.001320073050659044
14,0,0.002819371968219143,2.847364304189319,0.0,98,98973,0.000990169035999717
14,1,0.0022438075723103267,1.3866190120354371,0.0,166,102584,0.001618186071902051
14,2,0.0035063770855585123,1.837860393523891,0.0,196,102733,0.0019078582344524155
14,3,0.0014098104305784761,1.503600722341799,0.0,93,99187,0.0009376228739653382
14,4,0.10816042654248909,72.31680712028437,0.3,145,96948,0.0014956471510500474
15,0,0.0259891364030626,25.45494385679767,0.16,101,98924,0.0010209858072864017
15,1,0.05140373836492975,73.62165154321366,0.08,76,108849,0.0006982149583367785
15,2,0.03295040817332453,22.706170799816547,0.1,148,101987,0.0014511653446027434
15,3,0.0022698052161923958,2.5349436855016254,0.0,90,100513,0.0008954065643250127
15,4,0.011671877378096242,7.6367111667970455,0.06,159,104031,0.0015283905758860339
16,0,0.004176358428832131,3.2126320823001104,0.0,132,101540,0.0012999803033287374
16,1,0.00435018109335358,2.946765959283692,0.04,149,100931,0.0014762560561175457
16,2,0.021562336763707612,14.955083151742047,0.12,148,102649,0.0014418065446326802
16,3,0.003576557106720351,2.7214715261894518,0.0,124,94354,0.0013141997159632872
16,4,0.11098210484433235,80.23371996788977,0.3,140,101212,0.0013832351895032209
17,0,0.06726999447770769,76.56591630282716,0.16,85,96746,0.0008785892956814752
17,1,0.029031786684847523,38.0006987844993,0.04,76,99479,0.0007639803375586807
17,2,0.02225105615680071,20.862802167436886,0.08,105,98449,0.001066542067466404
17,3,0.004692535869225553,4.697749797969136,0.0,99,99110,0.0009988901220865706
17,4,0.0018430199511606797,1.2133874372416724,0.0,149,98097,0.0015189047575359083
18,0,0.007420828300829917,6.188322381001787,0.04,103,85893,0.0011991664047128405
18,1,0.01133969973468063,8.839732085481039,0.08,104,81072,0.0012828103414249063
18,2,0.020243587699520834,8.99932562906622,0.06,183,81353,0.0022494560741460057
18,3,0.0046833616006325875,3.1465555193983428,0.0,120,80623,0.0014884090147972663
18,4,0.04058001088789321,21.172495433811097,0.12,162,84523,0.0019166380748435337
