typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35822073
1,1334,0,0.0,0.29983097
2,345,59,0.17101449275362318,0.3840455
3,1870,1,0.0005347593582887701,0.35004458
4,394,42,0.1065989847715736,0.37451848
5,656,0,0.0,0.34868586
6,529,1,0.001890359168241966,0.3710398
7,338,0,0.0,0.3399842
8,382,0,0.0,0.33934113
9,364,0,0.0,0.36738825
10,506,0,0.0,0.36439496
11,54,0,0.0,0.31306377
12,945,14,0.014814814814814815,0.37057433
13,250,0,0.0,0.34988752
14,383,0,0.0,0.34691077
15,354,1,0.002824858757062147,0.36424264
16,237,0,0.0,0.37116304
