typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35792655
1,1334,0,0.0,0.29892585
2,345,42,0.12173913043478261,0.38371778
3,1870,1,0.0005347593582887701,0.35014072
4,394,35,0.08883248730964467,0.37414768
5,656,0,0.0,0.34793827
6,529,1,0.001890359168241966,0.37062532
7,338,0,0.0,0.33939624
8,382,0,0.0,0.3390421
9,364,0,0.0,0.36708483
10,506,0,0.0,0.3646368
11,54,0,0.0,0.31259617
12,945,13,0.013756613756613757,0.3700647
13,250,0,0.0,0.34986424
14,383,0,0.0,0.34655634
15,354,1,0.002824858757062147,0.3638467
16,237,0,0.0,0.3708617
