typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.37897304
1,1334,5,0.0037481259370314842,0.35026914
2,345,78,0.22608695652173913,0.410374
3,1870,1,0.0005347593582887701,0.377913
4,394,57,0.1446700507614213,0.39768046
5,656,0,0.0,0.37106097
6,529,1,0.001890359168241966,0.391191
7,338,0,0.0,0.36151156
8,382,0,0.0,0.35027376
9,364,0,0.0,0.38449097
10,506,0,0.0,0.39730558
11,54,0,0.0,0.32213786
12,945,15,0.015873015873015872,0.39248154
13,250,0,0.0,0.36224613
14,383,0,0.0,0.35747653
15,354,0,0.0,0.39235955
16,237,0,0.0,0.401846
