window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.019171541291268863,33.10597050110705,0.024,5,5,314,500390,0.0006275105417774136
2,0.0035129150848311084,4.415892414704365,0.008,5,5,437,507501,0.0008610820471289712
3,0.00188024638859764,1.9960231430323048,0.004,5,5,416,491193,0.0008469176067248515
4,0.0008017989462587735,0.9709290021761872,0.0,5,5,416,499632,0.000832612803023025
5,0.000962463540260232,1.03799244690664,0.0,5,5,466,497305,0.0009370507032907371
6,0.000811644873012449,1.0340411558299578,0.0,5,5,400,505938,0.0007906107072408082
7,0.0012628585742382645,1.160474226628108,0.004,5,5,599,547141,0.0010947817838546188
8,0.0011088675580387612,1.2290189781594059,0.004,5,5,470,526661,0.0008924146652210815
9,0.0017896530663038782,1.4752579742900707,0.012,5,5,596,495367,0.001203148372822574
10,0.001391863658580745,1.480658687004355,0.004,5,5,472,505181,0.0009343185907625188
11,0.011451678913991658,8.121676597627333,0.028000000000000004,5,5,610,515263,0.0011838614455142325
12,0.003976725835715321,2.6760348386524893,0.02,5,5,613,498196,0.0012304394254470127
13,0.01884859465975763,22.284897225014277,0.064,5,5,466,506052,0.0009208539833851066
14,0.023139094698435565,15.65278977391591,0.064,5,5,698,500425,0.0013948144077534097
15,0.03041561519525777,32.15900889773865,0.096,5,5,574,514304,0.0011160714285714285
16,0.030587761664717494,22.122588153324113,0.12,5,5,693,500686,0.001384101013409602
17,0.04211826398087819,45.53951217144272,0.096,5,5,514,491881,0.001044968193526483
18,0.022349205908356477,14.048868318635016,0.064,5,5,672,413464,0.0016252926494205058
