window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.01917155904179494,33.10599422641213,0.024,5,5,314,500390,0.0006275105417774136
2,0.0035544132586481946,4.467828201347502,0.008,5,5,437,507501,0.0008610820471289712
3,0.001882912129143605,1.999663904936441,0.004,5,5,416,491193,0.0008469176067248515
4,0.00080886058016235,0.9801698483145194,0.0,5,5,416,499632,0.000832612803023025
5,0.0009700627479951153,1.0462678847999285,0.0,5,5,466,497305,0.0009370507032907371
6,0.0008074060316908917,1.0298166824029864,0.0,5,5,400,505938,0.0007906107072408082
7,0.0012528908293729798,1.151145411450957,0.004,5,5,599,547141,0.0010947817838546188
8,0.0010968824272377872,1.2173869313183814,0.004,5,5,470,526661,0.0008924146652210815
9,0.0015856481913045458,1.3595023607433963,0.004,5,5,596,495367,0.001203148372822574
10,0.0012020374148580715,1.2988852186947315,0.0,5,5,472,505181,0.0009343185907625188
11,0.006492696646908819,4.730842341868866,0.028000000000000004,5,5,610,515263,0.0011838614455142325
12,0.0016937906455664984,1.3769196189622632,0.0,5,5,613,498196,0.0012304394254470127
13,0.008425908332034585,7.6607009432043665,0.016,5,5,466,506052,0.0009208539833851066
14,0.019166937052685334,12.999222446582085,0.048,5,5,698,500425,0.0013948144077534097
15,0.016640878534921875,18.01232306984153,0.06,5,5,574,514304,0.0011160714285714285
16,0.02321989083793255,16.810668355604797,0.05600000000000001,5,5,693,500686,0.001384101013409602
17,0.021221423878490592,23.9641267017437,0.05600000000000001,5,5,514,491881,0.001044968193526483
18,0.014460595782490962,8.119021710591017,0.052000000000000005,5,5,672,413464,0.0016252926494205058
